MaxIWNorm,StdIW,TimeElapsed,MeanIW,LQGsigma,EpRewMean,InitialBound,StdIWNorm,EmpiricalD2,ReturnStepMaxmin,J_sample_variance,Bound,MinIWNorm,InitialReturnMax,ESSClassic,ESSRenyi,ReturnStepMax,EpLenMean,MeanIWNorm,EpisodesSoFar,InitialReturnMean,EpThisIter,Iteration,ReturnMeanIW,TimestepsSoFar,MinIW,MeanEntropy,InitialReturnStd,LQGmu,InitialReturnMin,MaxIW
0.08246496,1.5494009,60.78084349632263,0.95923144,[[0.095]],-8.315472751107118,-8.513127,0.01032934,5.5899053,17.909397,383.64185,-8.08219,7.450202e-05,-0.3817442,41.562298,26.834085,17.909397,20.0,0.0063948757,7950,-8.315473,150,53,-7.614875,159000,0.011175303,-0.93682593,7.0549736,[[-0.721]],-24.086311,12.369744
0.07106806,1.232616,61.71186685562134,0.9697819,[[0.095]],-7.955532031966025,-8.15455,0.00821744,3.211152,17.80004,233.67107,-7.5250554,2.5213649e-05,-0.26334214,57.350376,46.712208,17.80004,20.0,0.006465213,8100,-7.955532,150,54,-7.1684227,162000,0.0037820472,-0.93665606,6.7222786,[[-0.665]],-24.252342,10.660209
0.0906656,1.3251814,62.7580623626709,0.782128,[[0.095]],-7.975587868555704,-8.17465,0.008834544,21.201876,17.759333,96.7689,-5.0172577,1.3213433e-05,-0.32754603,38.752205,7.074846,17.759333,20.0,0.005214186,8250,-7.9755874,150,55,-4.1006675,165000,0.0019820149,-0.95138824,7.116885,[[-0.712]],-24.2578,13.59984
0.05485744,1.2737983,63.83576726913452,0.7778077,[[0.093]],-8.042600395282973,-8.243367,0.008491989,34.469902,18.7383,237.61278,-6.3887653,1.5083284e-06,-0.20887859,40.738857,4.3516226,18.7383,20.0,0.005185385,8400,-8.042601,150,56,-5.2100415,168000,0.00022624926,-0.9619344,7.2456656,[[-0.785]],-24.465565,8.228616
0.036975794,0.89999294,64.96517443656921,0.6331133,[[0.092]],-8.50052793087603,-8.692518,0.005999953,37.93678,19.028185,115.82667,-5.186594,2.3969621e-06,-0.2015957,49.656326,3.9539466,19.028185,20.0,0.0042207553,8550,-8.500528,150,57,-4.0040736,171000,0.0003595443,-0.96335906,6.742381,[[-0.869]],-23.396004,5.546369
0.03837637,0.93464375,65.92508625984192,0.6149096,[[0.092]],-8.342029098802294,-8.531327,0.006230958,34.367207,19.402267,56.774685,-4.6710606,8.186079e-06,-0.336836,45.31303,4.364626,19.402267,20.0,0.0040993975,8700,-8.34203,150,58,-3.5613248,174000,0.0012279118,-0.9637453,6.777745,[[-0.955]],-23.06804,5.7564554
0.049224682,0.97141707,66.88155460357666,0.64269656,[[0.092]],-8.47388497086049,-8.669282,0.0064761136,37.324436,20.637596,138.55606,-5.728232,1.7025699e-06,-0.29479054,45.668446,4.018815,20.637596,20.0,0.0042846436,8850,-8.473885,150,59,-4.5344768,177000,0.00025538547,-0.9648437,6.8213196,[[-1.045]],-23.811235,7.3837023
0.06884816,1.4637414,67.77221751213074,0.8157424,[[0.092]],-9.866419382734872,-10.067738,0.009758276,37.496216,21.811232,331.1817,-7.9383864,7.745403e-06,-0.28077966,35.547092,4.000404,21.811232,20.0,0.005438283,9000,-9.866419,150,60,-6.705636,180000,0.0011618105,-0.9158318,7.460159,[[-1.14]],-24.532663,10.327225
0.046303697,1.1174021,68.91491985321045,0.6245983,[[0.097]],-9.72165691067629,-9.919445,0.0074493485,48.774616,21.029844,133.17786,-5.2253704,6.3549223e-06,-0.36674023,35.710064,3.07537,21.029844,20.0,0.004163989,9150,-9.721657,150,61,-3.844048,183000,0.00095323834,-0.94848704,7.5564346,[[-1.06]],-24.102463,6.9455543
0.08619434,1.4233313,69.85256385803223,0.7532204,[[0.094]],-9.029750633177157,-9.224104,0.009488876,104.73943,19.965956,179.65836,-7.4870033,7.3930204e-07,-0.30550277,32.81687,1.4321253,19.965956,20.0,0.0050214697,9300,-9.029749,150,62,-5.4979525,186000,0.0001108953,-0.96988136,7.0969615,[[-0.967]],-23.683945,12.929151
0.07027931,1.4685464,71.16583847999573,0.7983889,[[0.092]],-8.013443453294643,-8.206234,0.00979031,28.95247,19.24848,204.86705,-6.2716765,9.93212e-06,-0.28664693,34.22044,5.180905,19.24848,20.0,0.005322593,9450,-8.013444,150,63,-5.234322,189000,0.0014898179,-0.9689413,6.564043,[[-0.862]],-23.493496,10.541896
0.046176884,0.91596776,72.04554986953735,0.6846201,[[0.092]],-8.530007963435198,-8.728478,0.006106452,39.899513,19.827679,155.83835,-5.514083,1.0284186e-05,-0.22777463,53.7628,3.7594445,19.827679,20.0,0.004564134,9600,-8.530008,150,64,-4.2604218,192000,0.0015426278,-0.9630154,7.3094487,[[-0.952]],-24.185751,6.9265327
0.04220654,1.1702979,72.96882843971252,0.7525685,[[0.092]],-7.692135229620122,-7.894704,0.0078019868,35.502342,20.691902,97.80601,-5.229139,5.5601586e-06,-0.1779688,43.882133,4.2250733,20.691902,20.0,0.005017123,9750,-7.6921344,150,65,-4.0221615,195000,0.00083402375,-0.9609702,6.6583447,[[-1.04]],-24.685045,6.330981
0.006666667,,74.24543404579163,1.0,[[0.093]],-8.981930718273622,-9.177274,4.656613e-10,1.0,20.079317,48.337902,-9.177274,0.006666667,-0.2371157,150.0,150.0,20.079317,20.0,0.0066666673,9900,-8.981931,150,66,-8.981931,198000,1.0,-0.9609702,6.9293323,[[-0.923]],-23.804625,1.0
