ReturnLastEpisode,LQGsigma_higher,IWMean,MinEpLen,IWLastEpisode,DenMISEMeanLog,LQGmu1_actor,Bound,ReturnMean,AvgEpLen,NumTrajectories,DenMISELogLast,Iteration,TimeElapsed,IWMax,TimestepsSoFar,IWFirstEpisode,GridSize,Regret,LQGmu1_higher,IWMin,BoundMISE,ReturnStepMax,Delta,ReturnAbsMax,ReturnMax,DenMISELogFirst,BoundBonus,NumTrainableParams,ReturnMin,Regret/t
18.193058,0.14999999,0.54924554,20,1.10964,-0.8293548,-0.6443842,65.02782,14.298695,20.0,41,-0.93754315,41,1.644235610961914,3.528956,820,1.0796243e-25,7,-381.24646,-0.6666667,,9.991285,19.986897,9.041153e-06,18.19684,18.19684,-1.2776506,55.03653,,,-9.298695
18.196354,0.14999999,0.94187474,20,0.00056765694,-0.8388304,0.040064566,64.46756,14.391497,20.0,42,-0.77518266,42,1.6915717124938965,5.490993,840,7.136473e-09,7,-394.44287,,,16.211946,19.986897,8.615746e-06,18.19684,18.19684,-1.3017482,48.25561,,,-9.391497
17.990314,0.14999999,1.1574337,20,0.2420056,-0.8376338,-0.26437753,63.207756,14.47519,20.0,43,-0.70138,43,1.7318575382232666,4.6835046,860,3.397504e-16,7,-407.43317,-0.33333334,,21.043852,19.986897,8.219675e-06,18.19684,18.19684,-1.3252786,42.163906,,,-9.47519
18.19384,0.14999999,0.9415125,20,2.7168133e-05,-0.82792,-1.0123446,61.57653,14.559705,20.0,44,-0.53369683,44,1.7724876403808594,7.220338,880,2.767395e-37,7,-420.627,-1.0,,17.125631,19.986897,7.850297e-06,18.19684,18.19684,-1.3482682,44.450897,,,-9.559705
18.18691,0.14999999,0.98937863,20,8.06653e-10,-0.8310991,-0.20632486,61.44732,14.64031,20.0,45,-0.8579498,45,1.8259375095367432,5.385667,900,7.64622e-09,7,-433.81396,,,17.115522,19.986897,7.505273e-06,18.19684,18.19684,-1.370741,44.3318,,,-9.64031
18.186432,0.14999999,1.2167177,20,3.3578186,-0.82672715,-0.1883419,61.646133,14.7174,20.0,46,-0.59158015,46,1.8705332279205322,4.4799595,920,3.6345347e-16,7,-447.00037,-0.33333334,,22.123266,19.986897,7.1825043e-06,18.19684,18.19684,-1.39272,39.52287,,,-9.7174
18.156765,0.14999999,1.2353703,20,4.0925158e-07,-0.8171109,0.8033396,60.54583,14.790577,20.0,47,-0.55820966,47,1.9162390232086182,8.491398,940,1.3596299,7,-460.1571,0.6666667,,9.230121,19.986897,6.880116e-06,18.19684,18.19684,-1.4142262,51.31571,,,-9.790577
5.8693466,0.14999999,0.60366637,20,1.3724458e-20,-0.8237745,-0.7956092,60.605198,14.604718,20.0,48,-1.3071228,48,1.9667150974273682,6.2734523,960,1.2284158e-25,7,-461.0265,-0.6666667,,10.981898,19.986897,6.5964314e-06,18.19684,18.19684,-1.4067618,49.6233,,,-9.604718
18.193651,0.14999999,1.2170935,20,5.923177e-31,-0.8370287,0.7265576,60.094227,14.677961,20.0,49,-1.0697347,49,2.012254476547241,12.079196,980,10.9064045,7,-474.2201,1.0,,5.242375,19.986897,6.329936e-06,18.19684,18.19684,-1.427381,54.851852,,,-9.677961
7.207485,0.14999999,0.66638833,20,7.4488086e-20,-0.83992314,-0.8201471,64.059586,14.528552,20.0,50,-1.112168,50,2.0576930046081543,6.828822,1000,3.0962195e-27,8,-476.4276,-0.71428573,,12.122906,19.986897,5.4037964e-06,18.19684,18.19684,-1.2466207,51.936684,,,-9.528552
