DenMISELogLast,MountainCar_mu1_higher,NumTrajectories,IWLastEpisode,AvgEpLen,Regret/t,NumTrainableParams,ActionIn1,MountainCar_std0_higher,ReturnMin,ReturnStepMax,ReturnLastEpisode,Regret,IWMean,Bound,DenMISELogFirst,MinEpLen,MountainCar_std1_higher,IWMin,ReturnMax,TimeElapsed,IWFirstEpisode,GridSize,ReturnAbsMax,Iteration,ReturnMean,TimestepsSoFar,IWMax,Delta,MountainCar_mu0_higher,DenMISEMeanLog
-28.00314,-10.0,50,599783700000.0,999.0,6.7165303,,-13.102654,0.14999999,-2.8000343,28.00704,-1.5930188,335.8265,1.2167405e+24,inf,-28.79435,999,1.5,,,21.410712957382202,1.2081015e-05,16,2.8000343,50,-1.7165302,49950,1.2678531e+25,2.8608335e-06,-1.0,-28.27668
-59.193867,-10.0,51,5.972146e+24,999.0,6.7329564,,-12.74122,0.14999999,-2.8000343,28.00704,-2.5542748,343.3808,1.3329949e+24,inf,-28.814152,999,1.5,,,21.83817458152771,1.2322627e-05,16,2.8000343,51,-1.7329565,50949,1.2932095e+25,2.7497433e-06,-1.0,-28.887716
-59.212864,-10.0,52,1.8298222e+25,999.0,6.7340326,,-12.2610445,0.14999999,-2.8000343,28.00704,-1.7889041,350.16968,1.6840722e+24,inf,-28.83357,999,1.5,,,22.28288722038269,1.25642555e-05,16,2.8000343,52,-1.7340324,51948,1.8298222e+25,2.6450014e-06,-1.0,-29.4759
-23.842323,-10.0,53,4979779600.0,999.0,6.7496624,,-12.315018,0.14999999,-2.8000343,28.00704,-2.562436,357.73212,1.6832807e+24,inf,-28.852617,999,1.5,,,22.743191719055176,1.2805858e-05,16,2.8000343,53,-1.7496626,52947,1.8649942e+25,2.5461316e-06,-1.0,-29.374796
-26.891787,-10.0,54,112144090000.0,999.0,6.7632523,,-12.65772,0.14999999,-2.8000343,28.00704,-2.483505,365.21564,1.6825193e+24,inf,-28.87131,999,1.5,,,23.191872358322144,1.3047476e-05,16,2.8000343,54,-1.7632523,53946,1.9001681e+25,2.4527033e-06,-1.0,-29.333805
-51.558468,-10.0,55,7.818517e+21,999.0,6.771291,,-12.297534,0.14999999,-2.8000343,28.00704,-2.2053823,372.42102,1.6819257e+24,inf,-28.88966,999,1.5,,,23.662128686904907,1.3289116e-05,16,2.8000343,55,-1.771291,54945,1.9353408e+25,2.3643252e-06,-1.0,-29.742699
-35.98883,-10.0,56,2060267000000000.0,999.0,6.7722845,,-9.228361,0.14999999,-2.8000343,28.00704,-1.8269252,379.24792,1.6812148e+24,inf,-28.907679,999,1.5,,,24.10633373260498,1.3530739e-05,16,2.8000343,56,-1.7722845,55944,1.9705105e+25,2.2806387e-06,-1.0,-29.858873
-59.287716,-10.0,57,1.9125672e+25,999.0,6.7711067,,-9.014936,0.14999999,-2.8000343,28.00704,-1.7051636,385.9531,2.0160605e+24,inf,-28.925377,999,1.5,,,24.579235315322876,1.3772342e-05,16,2.8000343,57,-1.771107,56943,2.005684e+25,2.2013185e-06,-1.0,-30.379639
-59.322487,-10.0,58,7.123062e+24,999.0,6.783412,,-11.929549,0.14999999,-2.8000343,28.00704,-2.4847803,393.43787,2.1381055e+24,inf,-28.94277,999,1.5,,,25.025100469589233,1.4013981e-05,16,2.8000343,58,-1.7834117,57942,2.0408548e+25,2.1260653e-06,-1.0,-30.883266
-21.148218,-10.0,59,729642900.0,999.0,6.781363,,-8.91159,0.14999999,-2.8000343,28.00704,-1.6625297,400.1004,2.1373568e+24,inf,-28.959864,999,1.5,,,25.48197627067566,1.425559e-05,16,2.8000343,59,-1.7813629,58941,2.0760245e+25,2.0546058e-06,-1.0,-30.72302
-59.232517,-10.0,60,1.6773066e+23,999.0,6.762017,,-10.029143,0.14999999,-2.8000343,28.00704,-0.6206093,405.721,2.1394235e+24,inf,-28.976671,999,1.5,,,25.948042154312134,1.4497216e-05,16,2.8000343,60,-1.7620169,59940,2.1111962e+25,1.98669e-06,-1.0,-31.20277
-14.359534,-10.0,61,740841.5,999.0,6.7582345,,-11.216355,0.14999999,-2.8000343,28.00704,-1.531295,412.25232,2.1387118e+24,inf,-28.9932,999,1.5,,,26.423027992248535,1.4738834e-05,16,2.8000343,61,-1.7582345,60939,2.1463658e+25,1.9220863e-06,-1.0,-30.931334
1.343558,-10.0,62,0.11209267,999.0,6.767849,,-12.739265,0.14999999,-2.8000343,28.00704,-2.3543155,419.60663,2.1380121e+24,inf,-29.00946,999,1.5,,,26.88659930229187,1.4980448e-05,16,2.8000343,62,-1.7678488,61938,2.1815306e+25,1.8605837e-06,-1.0,-30.415302
-57.219067,-10.0,63,2.1239905e+24,999.0,6.7748027,,-11.283925,0.14999999,-2.8000343,28.00704,-2.2059546,426.81256,2.1710515e+24,inf,-29.025461,999,1.5,,,27.34074854850769,1.5222075e-05,16,2.8000343,63,-1.7748028,62937,2.2166964e+25,1.8019862e-06,-1.0,-30.845144
1.0343951,-10.0,64,0.14451955,999.0,6.784283,,-10.301431,0.14999999,-2.8000343,28.00704,-2.3815408,434.19412,2.1699128e+24,inf,-29.04121,999,1.5,,,27.796313047409058,1.5463704e-05,16,2.8000343,64,-1.7842832,63936,2.2518618e+25,1.7461142e-06,-1.0,-30.351303
-8.99673,-10.0,65,5120.132,999.0,6.7858224,,-11.527456,0.14999999,-2.8000343,28.00704,-1.8843256,441.07843,2.1688027e+24,inf,-29.056713,999,1.5,,,28.267380952835083,1.5705305e-05,25,2.8000343,65,-1.7858223,64935,2.2870356e+25,1.1068314e-06,-1.0,-30.026913
-1.587571,-10.0,66,1.8415254,999.0,6.7952,,-10.866137,0.14999999,-2.8000343,28.00704,-2.404736,448.4832,2.1677283e+24,inf,-29.071981,999,1.5,,,29.9478759765625,1.5946938e-05,25,2.8000343,66,-1.7951998,65934,2.3222007e+25,1.073545e-06,-1.0,-29.600029
-2.7577348,-10.0,67,2.6526852,999.0,6.8089137,,-11.580342,0.14999999,-2.8000343,28.00704,-2.714033,456.1972,2.1666763e+24,inf,-29.087019,999,1.5,,,30.483593225479126,1.6188555e-05,25,2.8000343,67,-1.8089137,66933,2.3573668e+25,1.0417382e-06,-1.0,-29.203289
-3.4127321,-10.0,68,16.349579,999.0,6.8143606,,-11.149694,0.14999999,-2.8000343,28.00704,-2.1793094,463.37653,2.1656466e+24,inf,-29.101833,999,1.5,,,30.974622011184692,1.6430162e-05,25,2.8000343,68,-1.8143606,67932,2.3925268e+25,1.011324e-06,-1.0,-28.827793
1.0633479,-10.0,69,0.23194537,999.0,6.8137794,,-11.573277,0.14999999,-2.8000343,28.00704,-1.7742466,470.15076,2.1646454e+24,inf,-29.116432,999,1.5,,,31.449939727783203,1.6671784e-05,25,2.8000343,69,-1.8137794,68931,2.4276925e+25,9.822227e-07,-1.0,-28.398254
-12.40763,-10.0,70,60027.883,999.0,6.806301,,-10.547135,0.14999999,-2.8000343,28.00704,-1.2903203,476.4411,2.1636698e+24,inf,-29.130821,999,1.5,,,31.916112661361694,1.6913407e-05,25,2.8000343,70,-1.8063012,69930,2.4628585e+25,9.543596e-07,-1.0,-28.173378
-6.8347893,-10.0,71,352.76474,999.0,6.814456,,-11.746389,0.14999999,-2.8000343,28.00704,-2.3852715,483.82635,2.162718e+24,inf,-29.145006,999,1.5,,,32.37993836402893,1.7155035e-05,25,2.8000343,71,-1.8144557,70929,2.498019e+25,9.276656e-07,-1.0,-27.876287
-12.574366,-10.0,72,163522.42,999.0,6.812946,,-10.316855,0.14999999,-2.8000343,28.00704,-1.7057295,490.5321,2.1617832e+24,inf,-29.158993,999,1.5,,,32.839975118637085,1.739666e-05,25,2.8000343,72,-1.8129457,71928,2.5331793e+25,9.020761e-07,-1.0,-27.667124
-8.700728,-10.0,73,3813.667,999.0,6.8141804,,-9.917733,0.14999999,-2.8000343,28.00704,-1.9030946,497.43518,2.1608744e+24,inf,-29.172785,999,1.5,,,33.30640888214111,1.7638258e-05,25,2.8000343,73,-1.8141806,72927,2.5683443e+25,8.775309e-07,-1.0,-27.410578
-26.815119,-10.0,74,220041220000.0,999.0,6.817254,,-12.077947,0.14999999,-2.8000343,28.00704,-2.041625,504.4768,2.159985e+24,inf,-29.186392,999,1.5,,,33.78692173957825,1.7879902e-05,25,2.8000343,74,-1.8172542,73926,2.6035008e+25,8.539741e-07,-1.0,-27.405706
-26.602402,-10.0,75,178214520000.0,999.0,6.815612,,-12.579917,0.14999999,-2.8000343,28.00704,-1.6940678,511.17087,2.15911e+24,inf,-29.199814,999,1.5,,,34.26282978057861,1.8121504e-05,25,2.8000343,75,-1.8156116,74925,2.6386656e+25,8.3135325e-07,-1.0,-27.398087
-41.00277,-10.0,76,1.17250065e+17,999.0,6.8249807,,-10.424316,0.14999999,-2.8000343,28.00704,-2.5276742,518.69855,2.1582623e+24,inf,-29.21306,999,1.5,,,34.7337543964386,1.836315e-05,25,2.8000343,76,-1.8249809,75924,2.6738258e+25,8.096195e-07,-1.0,-27.58011
-8.427227,-10.0,77,2337.7476,999.0,6.8297048,,-12.678158,0.14999999,-2.8000343,28.00704,-2.188712,525.88727,2.1574267e+24,inf,-29.226131,999,1.5,,,35.22392725944519,1.860475e-05,25,2.8000343,77,-1.8297048,76923,2.7089895e+25,7.88727e-07,-1.0,-27.3343
-47.006355,-10.0,78,4.318252e+19,999.0,6.8395524,,-11.310861,0.14999999,-2.8000343,28.00704,-2.5978127,533.4851,2.1566132e+24,inf,-29.239035,999,1.5,,,35.69553303718567,1.8846365e-05,25,2.8000343,78,-1.8395523,77922,2.7441446e+25,7.6863284e-07,-1.0,-27.589355
-4.9724483,-10.0,79,37.083286,999.0,6.832535,,-12.04467,0.14999999,-2.8000343,28.00704,-1.2851906,539.77026,2.1558089e+24,inf,-29.251774,999,1.5,,,36.15474772453308,1.908799e-05,25,2.8000343,79,-1.832535,78921,2.7792997e+25,7.49297e-07,-1.0,-27.30585
-13.157594,-10.0,80,68306.85,999.0,6.8439035,,-13.032524,0.14999999,-2.8000343,28.00704,-2.7420301,547.5123,2.1550296e+24,inf,-29.264353,999,1.5,,,36.622398138046265,1.9329613e-05,25,2.8000343,80,-1.8439038,79920,2.8144543e+25,7.306816e-07,-1.0,-27.131708
-59.65649,-10.0,81,2.0786474e+25,999.0,6.847508,,-11.602841,0.14999999,-2.8000343,28.00704,-2.1358354,554.64813,2.4108834e+24,inf,-29.276775,999,1.5,,,37.104554891586304,1.9571235e-05,25,2.8000343,81,-1.8475078,80919,2.849619e+25,7.1275144e-07,-1.0,-27.535892
-3.3891087,-10.0,82,13.649309,999.0,6.8531094,,-12.215339,0.14999999,-2.8000343,28.00704,-2.306822,561.95496,2.4101364e+24,inf,-29.289045,999,1.5,,,37.5978901386261,1.9812851e-05,25,2.8000343,82,-1.8531092,81918,2.8847715e+25,6.954733e-07,-1.0,-27.244146
