Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
2.3372819e-07,,-0.51802534,0.9161962,0.9801013,1020,1.0,4.219856e-36,0.922595,1.1629479,5.231991e-13,3.2884884,,51,15.189363,0.29369158,0.9671884,14.9782715,0.922595,0.14999999,32.45668649673462,-0.88935834,-0.718138,0.67142844
2.248251e-07,,-1.1979486,0.02840601,0.30833662,1040,0.1919192,8.90404e-06,0.922595,0.8049571,0.34695113,3.2890818,,52,7.2060657,0.3060574,0.9671884,15.914986,0.922595,0.14999999,32.91915845870972,-0.89424956,-0.73755604,0.6590626
2.1642118e-07,,-0.9307315,0.4383498,-0.6779076,1060,-0.7979798,1.0395342e-11,0.922595,1.0879517,0.0006914735,3.2888849,,53,4.933795,0.31022185,0.9671884,16.441757,0.922595,0.14999999,33.42162871360779,-0.89910436,-0.7499543,0.65489817
2.0847979e-07,,-0.6562639,0.92220175,-0.36714047,1080,-0.3939394,0.85426927,0.922595,1.020888,1.7251177,3.2636788,,54,5.244203,0.30527174,0.9671884,16.484676,0.922595,0.14999999,33.930660247802734,-0.8934951,-0.76863337,0.6598483
2.0096763e-07,,-0.605657,0.9127748,-0.6693578,1100,-0.65656567,0.7575623,0.922595,0.8772677,0.024364311,3.2063336,,55,5.1899004,0.30067313,0.9671884,16.537022,0.922595,0.14999999,34.405765533447266,-0.88839984,-0.75553554,0.6644469
1.9385428e-07,,-0.5933004,0.9215509,0.11635001,1120,-0.030303031,0.0005509452,0.922595,0.72082955,3.932576,3.2004635,,56,6.6096106,0.2960819,0.9671884,16.58059,0.922595,0.14999999,35.40014839172363,-0.88560647,-0.77311116,0.6690381
1.8711206e-07,,-0.92314285,0.47696722,0.6937057,1140,0.67676765,0.0062325867,0.922595,0.9887582,9.0889046e-07,3.201886,,57,8.194519,0.2994516,0.9671884,17.06874,0.922595,0.14999999,35.87024736404419,-0.89145976,-0.72294223,0.6656684
1.8071556e-07,,-1.0247594,0.2554528,0.32916224,1160,0.37373737,0.7617291,0.922595,1.0850643,0.009603539,3.1405818,,58,7.3052974,0.30652434,0.9671884,17.778408,0.922595,0.14999999,36.34261226654053,-0.894599,-0.740334,0.6585957
1.7464151e-07,,-0.91142833,0.43206167,-0.9822002,1180,-1.0,5.89538e-17,0.922595,1.1412858,9.265145e-07,3.1404576,,59,7.088726,0.3103639,0.9671884,18.31147,0.922595,0.14999999,36.819740772247314,-0.89406353,-0.7572628,0.6547561
1.6886865e-07,,-0.5997015,0.9145375,-0.5064701,1200,-0.33333334,0.0004187231,0.922595,1.0537336,2.990499,3.1285727,,60,5.219187,0.30603415,0.9671884,18.36205,0.922595,0.14999999,37.30705785751343,-0.88740885,-0.7740699,0.65908587
1.6337734e-07,,-0.6695222,0.9213229,-0.6864814,1220,-0.6363636,3.570705,0.922595,0.9214492,0.037153415,3.1235855,,61,5.110285,0.30173516,0.9671884,18.405846,0.922595,0.14999999,37.77825951576233,-0.8834251,-0.74195987,0.66338485
