DenMISELogLast,IWLastEpisode,LQGsigma_higher,IWFirstEpisode,IWMax,LQGmu1_higher,Regret/t,IWMin,ReturnMax,Delta,DenMISEMeanLog,LQGmu1_actor,ReturnMean,TimeElapsed,TimestepsSoFar,ReturnStepMax,DenMISELogFirst,ReturnAbsMax,Regret,IWMean,ReturnMin,Bound,Iteration,ReturnLastEpisode
-0.57758516,3.9792023,0.14999999,1.3309211e-08,4.507186,-0.8181818,0.27129853,,0.9347324,9.9922275e-08,-0.9011559,-0.88824576,0.6938215,62.568214416503906,1560,0.9787392,-0.89444405,0.9347324,21.161282,1.1037048,,2.9017205,78,0.9325592
-0.4705322,1.815683e-16,0.14999999,1.1049191,7.4417553,0.41414142,0.26830357,,0.9347324,9.74086e-08,-0.8946147,0.48712474,0.69681644,63.55664658546448,1580,0.9787392,-0.90718305,0.9347324,21.195984,1.2122805,,2.9023342,79,0.93042606
-1.0001628,2.717713,0.14999999,0.005288002,8.540363,0.6969697,0.272268,,0.9347324,9.49886e-08,-0.8936922,0.8292886,0.692852,64.41792583465576,1600,0.9787392,-0.90587246,0.9347324,21.78144,0.8902891,,2.8589716,80,0.37965903
-1.1881073,4.4231563e-32,0.14999999,3.0581987e-12,6.56598,-1.0,0.27872944,,0.9347324,9.265769e-08,-0.898982,-0.9569885,0.6863906,65.22215604782104,1620,0.9787392,-0.91822886,0.9347324,22.577084,1.1573383,,2.8470054,81,0.16947605
-0.5070648,0.0013507385,0.14999999,0.036824394,5.2814465,-0.35353535,0.27577335,,0.9347324,9.041153e-08,-0.8925889,-0.46651083,0.6893467,66.02760076522827,1640,0.9787392,-0.93049896,0.9347324,22.61341,0.94397175,,2.8233879,82,0.9287924
-0.6664955,0.33167467,0.14999999,1.395983e-08,4.4260135,-0.8181818,0.2728477,,0.9347324,8.8246054e-08,-0.8907527,-0.86753863,0.6922723,66.8425977230072,1660,0.9787392,-0.94217134,0.9347324,22.646366,1.1081636,,2.8250546,83,0.9321692
-0.44605806,2.3727533e-09,0.14999999,6.8470726,6.8470726,0.11111111,0.27000713,,0.9347324,8.6157456e-08,-0.88436383,0.06389524,0.6951129,67.65046215057373,1680,0.9787392,-0.9541475,0.9347324,22.680603,1.044356,,2.8127363,84,0.93088055
-0.8837383,0.00072420965,0.14999999,9.8621786e-05,5.2809014,-0.57575756,0.2721939,,0.9347324,8.4142165e-08,-0.8841138,-0.390117,0.6929261,68.46271991729736,1700,0.9787392,-0.8876212,0.9347324,23.136482,0.8327846,,2.7980783,85,0.50923795
-0.6476306,1.1383283e-18,0.14999999,3.3260562e-07,16.584715,1.0,0.26941884,,0.9347324,8.219674e-08,-0.8834156,0.97920585,0.6957012,69.60452651977539,1720,0.9787392,-0.8993161,0.9347324,23.170021,0.82107073,,2.7731118,86,0.93158096
-1.3372788,7.303215e-17,0.14999999,0.036108866,5.1558943,-0.35353535,0.27692163,,0.9347324,8.031802e-08,-0.8911479,-0.3305274,0.6881984,71.16714453697205,1740,0.9787392,-0.9108769,0.9347324,24.092178,0.97888887,,2.7733486,87,0.042961672
-0.62091845,0.00023386703,0.14999999,3.0694186e-12,6.5757694,-1.0,0.274193,,0.9347324,7.850298e-08,-0.88851297,-0.9352018,0.690927,71.99171185493469,1760,0.9787392,-0.9218907,0.9347324,24.128986,1.1431279,,2.7681332,88,0.92831814
-0.48118126,1.2694098e-15,0.14999999,2.714807,7.16071,0.33333334,0.27151436,,0.9347324,7.674878e-08,-0.8825797,0.15804307,0.69360566,73.51966118812561,1780,0.9787392,-0.9331902,0.9347324,24.16478,1.2180251,,2.7554364,89,0.9293241
-0.90924,2.0639203,0.14999999,2.6946177,6.426081,-0.07070707,0.2737636,,0.9347324,7.505273e-08,-0.880776,-0.00020168722,0.6913564,75.44157004356384,1800,0.9787392,-0.91431606,0.9347324,24.638725,0.8275928,,2.7581,90,0.49116987
-0.8659897,1.0486157e-06,0.14999999,5.634206e-09,4.381276,-0.83838385,0.27400082,,0.9347324,7.3412274e-08,-0.88262385,-0.8363539,0.6911192,77.48300957679749,1820,0.9787392,-0.89586514,0.9347324,24.934074,1.1130985,,2.743278,91,0.66977555
-0.461058,0.009615704,0.14999999,0.08273949,5.1328883,-0.3131313,0.27138984,,0.9347324,7.182504e-08,-0.87697816,-0.5193917,0.6937302,79.40312314033508,1840,0.9787392,-0.9067942,0.9347324,24.967865,0.9824955,,2.7034702,92,0.93132704
-0.667744,4.5523543,0.14999999,5.3357948e-05,5.149259,-0.5959596,0.26882243,,0.9347324,7.028872e-08,-0.8750953,-0.62153083,0.6962976,81.40696811676025,1860,0.9787392,-0.9167062,0.9347324,25.000488,0.85959387,,2.7214842,93,0.9325028
-0.60916376,4.8425412e-20,0.14999999,0.00018447163,9.55783,0.8181818,0.2662949,,0.9347324,6.880116e-08,-0.87385464,0.910354,0.6988251,83.3703441619873,1880,0.9787392,-0.9274009,0.9347324,25.031723,0.89088714,,2.7067297,94,0.9338797
-1.2491784,6.3442826e-06,0.14999999,6.73727,6.73727,0.11111111,0.2725597,,0.9347324,6.736033e-08,-0.87923086,0.09858428,0.6925603,85.97911739349365,1900,0.9787392,-0.93798107,0.9347324,25.893173,1.105673,,2.7038293,95,0.10366986
-0.8759357,4.942671e-08,0.14999999,1.3117524e-08,4.390208,-0.8181818,0.27461022,,0.9347324,6.5964315e-08,-0.8783381,-0.564671,0.6905098,87.93358302116394,1920,0.9787392,-0.87993556,0.9347324,26.36258,1.1106058,,2.701068,96,0.49570766
-0.64705235,4.5594854,0.14999999,0.0010813872,5.0514684,-0.4949495,0.27211463,,0.9347324,6.461123e-08,-0.874959,-0.38508165,0.6930054,90.19272089004517,1940,0.9787392,-0.8902983,0.9347324,26.395119,0.9204742,,2.70886,97,0.932581
