IWLastEpisode,ReturnStepMax,Regret/t,DenMISELogFirst,Regret,ReturnLastEpisode,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGsigma_higher,Bound,IWMax,Iteration,ReturnMean,ReturnMax,Delta,IWMean,ReturnMin,DenMISELogLast,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,IWMin,TimestepsSoFar
2.0213113e-12,0.97719985,0.28138727,-0.74062276,18.008785,0.22871882,-0.81956875,-0.3939394,46.40900683403015,0.14999999,3.1164424,4.931069,64,0.68373275,0.93313843,1.484197e-07,1.051004,,-1.0862185,0.47051477,0.93313843,-0.3637204,,1280
1.1404285,0.97719985,0.27770382,-0.74880207,18.050747,0.9231593,-0.8152531,-0.61616164,47.4620943069458,0.14999999,3.0498,4.4106903,65,0.6874162,0.93313843,1.4388809e-07,1.1085985,,-0.569369,0.0058710543,0.93313843,-0.40469533,,1300
3.482925,0.97719985,0.2740603,-0.7639792,18.087982,0.9278831,-0.80978614,-0.2929293,48.40539264678955,0.14999999,3.0717669,4.8948035,66,0.6910597,0.93313843,1.3956085e-07,1.0807532,,-0.5472832,1.7164012,0.93313843,-0.43713358,,1320
4.3771634,0.97719985,0.27046502,-0.7533434,18.121155,0.93194866,-0.80433136,-0.45454547,49.40285611152649,0.14999999,3.0203872,4.3934927,67,0.694655,0.93313843,1.3542595e-07,1.1142476,,-0.50495654,0.17882398,0.93313843,-0.35202998,,1340
9.876137e-18,0.97719985,0.26707357,-0.76549304,18.161,0.92527246,-0.79827243,1.0,50.56183958053589,0.14999999,3.0031905,15.993452,68,0.69804645,0.93313843,1.3147212e-07,1.0267247,,-0.48730963,8.053413e-11,0.93313843,1.0350497,,1360
0.010063486,0.97719985,0.27686852,-0.7800918,19.103931,0.022194982,-0.8074099,0.47474748,51.291550159454346,0.14999999,2.9976444,8.240561,69,0.6882515,0.93313843,1.2768895e-07,0.7839811,,-1.3993901,0.0100024985,0.93313843,0.5083257,,1380
2.3817397e-17,0.97719985,0.28142232,-0.7943356,19.699562,0.36948597,-0.8142545,-0.83838385,51.95744872093201,0.14999999,2.99408,5.019883,70,0.6836977,0.93313843,1.2406676e-07,1.054733,,-1.0485168,8.470268e-06,0.93313843,-0.99379313,,1400
1.4732598e-12,0.97719985,0.27799052,-0.80852014,19.737328,0.9273582,-0.81538486,0.15151516,52.64588689804077,0.14999999,2.9887197,7.003643,71,0.6871295,0.93313843,1.2059652e-07,1.0326478,,-0.9278571,2.2013917,0.93313843,0.10471958,,1420
1.0553105e-11,0.97719985,0.28063685,-0.7919718,20.205853,0.49659014,-0.8160858,-1.0,53.233813524246216,0.14999999,2.9847662,10.150948,72,0.6844832,0.93313843,1.1726989e-07,0.7044327,,-0.86734205,1.7690757e-08,0.93313843,-0.98847336,,1440
5.036728e-07,0.97719985,0.27730584,-0.80576515,20.243324,0.9276443,-0.8207965,-0.13131313,53.71207785606384,0.14999999,2.9608288,5.536803,73,0.6878142,0.93313843,1.1407902e-07,0.94834626,,-0.84767306,5.3232446,0.93313843,0.027911186,,1460
0.11556554,0.97719985,0.2795748,-0.7489858,20.688538,0.519915,-0.82168674,-0.3939394,54.24008011817932,0.14999999,2.9239435,4.546228,74,0.6855452,0.93313843,1.1101664e-07,1.1024584,,-0.8185221,0.4744662,0.93313843,-0.46049744,,1480
3.927202e-12,0.97719985,0.27631795,-0.75601757,20.723846,0.92980945,-0.81612927,0.65656567,54.73205518722534,0.14999999,2.9239511,8.00377,75,0.68880206,0.93313843,1.0807592e-07,0.9528541,,-0.48827866,6.2039195e-05,0.93313843,0.39734453,,1500
1.3938476e-14,0.97719985,0.27990198,-0.76926196,21.272552,0.41641384,-0.82020086,-0.83838385,55.21439504623413,0.14999999,2.902518,4.8200216,76,0.68521804,0.93313843,1.0525054e-07,1.0704864,,-1.0515769,8.260533e-06,0.93313843,-0.8588157,,1520
2.5886997e-13,0.97719985,0.2767157,-0.78233397,21.307106,0.9305657,-0.81617284,0.3131313,55.70249080657959,0.14999999,2.8942547,7.0663958,77,0.6884043,0.93313843,1.02534514e-07,0.95974,,-0.560701,0.2619904,0.93313843,0.35263112,,1540
1.7292417e-07,0.97719985,0.2799862,-0.7918407,21.83892,0.4333008,-0.81899667,-0.53535354,56.18589806556702,0.14999999,2.870821,4.363979,78,0.6851338,0.93313843,9.9922275e-08,1.047432,,-0.9740023,0.039020855,0.93313843,-0.77982104,,1560
1.5056105,0.97719985,0.2768582,-0.80407953,21.871803,0.932245,-0.8146277,-1.0,56.67083144187927,0.14999999,2.8764958,9.548963,79,0.6882618,0.93313843,9.74086e-08,0.7618775,,-0.50832325,1.7906256e-08,0.93313843,-0.89818865,,1580
3.8987446,0.97719985,0.27383715,-0.8166583,21.906975,0.92994756,-0.81518877,-0.7979798,57.15944957733154,0.14999999,2.878519,4.441001,80,0.69128287,0.93313843,9.49886e-08,1.1703802,,-0.6056246,3.3775257e-05,0.93313843,-0.7892974,,1600
1.3917534e-06,0.97719985,0.2708665,-0.8290804,21.940186,0.93190885,-0.8090096,0.030303031,57.64567685127258,0.14999999,2.8736324,6.5296297,81,0.6942535,0.93313843,9.265769e-08,1.0066864,,-0.4645396,5.076318,0.93313843,0.31483755,,1620
2.1588573e-11,0.97719985,0.27392024,-0.7805654,22.461456,0.4438481,-0.8114133,-0.7777778,58.1279513835907,0.14999999,2.8181136,4.2729144,82,0.6911998,0.93313843,9.041153e-08,1.1734728,,-0.9920396,6.260502e-05,0.93313843,-1.106044,,1640
