DenMISELogFirst,LQGmu1_higher,IWFirstEpisode,ReturnMax,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,Iteration,TimestepsSoFar,IWMean,IWLastEpisode,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,IWMin,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret/t,ReturnMin,ReturnStepMax,Delta,IWMax
-0.7613311,-1.0,1.2656749e-07,0.9213294,3.023206,0.14999999,19.539864,-0.8437977,65,1300,0.98114485,0.06537764,-0.58175635,-0.63559675,0.9213294,,0.66450673,51.62338852882385,0.9213294,0.30061328,,0.96595293,1.4388809e-07,7.5985284
-0.7765986,-0.61616164,0.019258589,0.9213294,3.0537498,0.14999999,19.583992,-0.8403,66,1320,1.079078,4.6536927,-0.5678735,-0.70293736,0.9213294,,0.6683929,52.253108978271484,0.9209936,0.29672712,,0.96595293,1.3956085e-07,4.7211514
-0.7913447,0.5151515,0.0010064224,0.9213294,3.0091214,0.14999999,19.628166,-0.83421135,67,1340,1.2774645,2.0856235e-14,-0.4927106,0.7565368,0.9213294,,0.6721623,52.720017194747925,0.92094344,0.29295772,,0.96595293,1.3542595e-07,7.542136
-0.8061448,1.0,7.845993e-12,0.9213294,2.984246,0.14999999,20.382309,-0.8356814,68,1360,1.0670142,2.2842746,-1.1650747,1.1757497,0.9213294,,0.6653801,53.22509551048279,0.21097836,0.2997399,,0.96595293,1.3147212e-07,15.407795
-0.82074356,-0.6969697,0.0028216825,0.9213294,2.9776564,0.14999999,21.3434,-0.85661656,69,1380,1.1240959,3.6372076e-33,-2.2627876,-0.797281,0.9213294,,0.65579545,53.76384234428406,0.004034651,0.30932456,,0.96595293,1.2768895e-07,4.490728
-0.8350914,0.09090909,2.511156,0.9213294,2.9281456,0.14999999,21.39029,-0.849611,70,1400,1.0111322,1.03847015e-07,-0.472177,-0.091435045,0.9213294,,0.65954447,54.234336614608765,0.9182247,0.30557555,,0.96595293,1.2406676e-07,6.6481214
-0.8140308,-0.17171717,5.507941,0.9213294,2.958257,0.14999999,21.500496,-0.8493485,71,1420,0.8835258,5.210836,-0.8157859,-0.07398074,0.9213294,,0.6622961,54.73232960700989,0.8549123,0.3028239,,0.96595293,1.2059652e-07,5.7023993
-0.75330245,-0.8181818,8.0344966e-05,0.9213294,2.9266915,0.14999999,21.650078,-0.8500392,72,1440,1.1556258,2.581679e-05,-0.7647855,-0.57952714,0.9213294,,0.6644245,55.563108682632446,0.8155404,0.30069554,,0.96595293,1.1726989e-07,4.4058347
-0.7670946,-0.5151515,0.14786443,0.9213294,2.9306428,0.14999999,21.694916,-0.8441331,73,1460,1.0187416,4.222075,-0.55423903,-0.2769825,0.9213294,,0.66792935,56.22991442680359,0.92028064,0.29719067,,0.96595293,1.1407902e-07,4.8784037
-0.7786768,0.7979798,6.534538e-08,0.9213294,2.8954318,0.14999999,21.751877,-0.8423933,74,1480,0.6352433,3.8375185e-11,-0.7169656,0.68266594,0.9213294,,0.6711758,56.71639084815979,0.9081631,0.29394424,,0.96595293,1.1101664e-07,8.641702
