LQGsigma_higher,TimeElapsed,LQGmu1_actor,ReturnLastEpisode,IWMean,DenMISEMeanLog,Bound,ReturnStepMax,ReturnMax,LQGmu1_higher,ReturnMin,DenMISELogFirst,ReturnMean,ReturnAbsMax,Delta,IWMax,IWFirstEpisode,Regret/t,TimestepsSoFar,Regret,IWMin,Iteration,DenMISELogLast,IWLastEpisode
0.14999999,72.86294102668762,-0.67954665,0.7668273,0.9470787,-0.8873716,2.849304,0.9880711,0.94453454,-0.7171717,,-0.7864699,0.7009679,0.94453454,8.6157456e-08,4.9169836,0.004634197,0.2641521,1680,22.188778,,84,-0.8649285,3.6735455e-05
0.14999999,74.02485990524292,-0.14856304,0.9441289,0.82115316,-0.8843941,2.8490472,0.9880711,0.94453454,-0.11111111,,-0.7982492,0.70382863,0.94453454,8.4142165e-08,6.0902357,5.7096763,0.26129138,1700,22.20977,,85,-0.56983817,0.003579961
0.14999999,75.24019193649292,1.1496,0.9246023,1.0901276,-0.88500726,2.8367789,0.9880711,0.94453454,1.0,,-0.7449324,0.7063958,0.94453454,8.219674e-08,16.151093,9.472412e-13,0.2587242,1720,22.250282,,86,-0.7461313,1.0406465e-12
0.14999999,76.95567059516907,-1.0306367,0.034592256,1.0977142,-0.89854485,2.8359513,0.9880711,0.94453454,-1.0,,-0.7564932,0.6986739,0.94453454,8.031802e-08,7.0878015,6.120109e-07,0.2664461,1740,23.180809,,87,-2.0964243,
0.14999999,79.29592967033386,-0.7342429,0.94057417,1.0061166,-0.8959455,2.8108556,0.9880711,0.94453454,-0.41414142,,-0.7679219,0.70142275,0.94453454,7.850298e-08,4.937016,1.2215319,0.26369727,1760,23.20536,,88,-0.7426594,0.0012004245
0.14999999,81.60637760162354,-0.65984464,0.94381464,1.0023669,-0.89268136,2.8209524,0.9880711,0.94453454,-0.7777778,,-0.7654359,0.70414627,0.94453454,7.674878e-08,4.791307,0.00090854865,0.26097375,1780,23.226665,,89,-0.5973693,4.63406
0.14999999,84.94909906387329,-0.53402257,0.94431555,1.0312794,-0.8891863,2.8043578,0.9880711,0.94453454,-0.61616164,,-0.776599,0.7068148,0.94453454,7.505273e-08,4.670327,0.0465895,0.2583052,1800,23.247467,,90,-0.56867194,4.501672
0.14999999,87.30423378944397,-0.27320904,0.9442337,0.8485063,-0.88509446,2.7662282,0.9880711,0.94453454,-0.17171717,,-0.7871313,0.70942384,0.94453454,7.3412274e-08,5.78458,5.78458,0.25569618,1820,23.268349,,91,-0.5341958,0.24545848
0.14999999,89.82375526428223,-0.9541242,0.93714327,1.0844514,-0.8842492,2.760298,0.9880711,0.94453454,-1.0,,-0.7364322,0.71189904,0.94453454,7.182504e-08,6.922814,5.998554e-07,0.25322098,1840,23.296326,,92,-0.6439096,4.0417523e-05
0.14999999,92.46110963821411,-0.6042527,0.9413285,1.039937,-0.8801189,2.7468457,0.9880711,0.94453454,-0.57575756,,-0.7472431,0.71436596,0.94453454,7.028872e-08,4.6100407,0.100701705,0.25075406,1860,23.32013,,93,-0.56213105,0.19377634
0.14999999,94.83275389671326,0.11790547,0.9438076,0.89912707,-0.8759251,2.7372153,0.9880711,0.94453454,0.07070707,,-0.75685614,0.71680677,0.94453454,6.880116e-08,6.6985908,1.9132875,0.24831325,1880,23.341446,,94,-0.5125094,0.00017811105
0.14999999,96.37207698822021,0.44626707,0.54743737,0.9942624,-0.877335,2.728334,0.9880711,0.94453454,0.35353535,,-0.7472885,0.71502393,0.94453454,6.736033e-08,7.2908244,0.019891884,0.25009608,1900,23.759125,,95,-0.8929009,1.8913149
0.14999999,97.59972143173218,0.8650839,0.41703957,1.0527569,-0.87938094,2.7215323,0.9880711,0.94453454,0.8181818,,-0.7575505,0.71192,0.94453454,6.5964315e-08,9.270079,5.0130593e-09,0.2532,1920,24.307198,,96,-1.0463798,0.35020736
0.14999999,98.88607025146484,-0.9542463,0.15282194,1.0044022,-0.88249034,2.7217424,0.9880711,0.94453454,-0.8181818,,-0.7679132,0.70615613,0.94453454,6.461123e-08,4.5939775,0.0002846923,0.25896388,1940,25.119492,,97,-1.2039361,4.006164e-27
0.14999999,100.54572916030884,-0.2577741,0.94165987,0.93864596,-0.8794652,2.7177627,0.9880711,0.94453454,-0.3131313,,-0.77816683,0.7085592,0.94453454,6.329935e-08,5.189779,3.2146835,0.2565608,1960,25.14296,,98,-0.5799183,0.0005126771
