TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,DenMISELogLast,LQGmu1_higher,DenMISEMeanLog,ReturnStepMax,Bound,Iteration,IWMin,IWMax,DenMISELogFirst,Regret/t,IWMean,IWFirstEpisode,LQGmu1_actor,ReturnMin,ReturnLastEpisode,Regret,ReturnMax,TimeElapsed,Delta,LQGsigma_higher
1400,0.953255,5.515372e-29,0.7544919,-1.1952194,-0.7979798,-0.8582969,0.99639696,3.1104927,70,,5.243472,-0.6667627,0.21062809,0.9472392,1.8752653e-05,-0.7101977,,0.13503131,14.743969,0.953255,52.69565153121948,1.2406676e-07,0.14999999
1420,0.953255,3.8852005e-10,0.7572851,-0.6243071,0.3131313,-0.85598457,0.99639696,3.1094606,71,,7.991338,-0.68094707,0.2078349,0.7332066,0.29385084,0.36328322,,0.9528083,14.756279,0.953255,53.75047302246094,1.2059652e-07,0.14999999
1440,0.953255,4.1861323e-09,0.7536504,-1.0483798,-0.61616164,-0.8625893,0.99639696,3.0722098,72,,4.955866,-0.6908031,0.21146959,1.0218997,0.003977539,-0.709681,,0.495586,15.225811,0.953255,54.744067430496216,1.1726989e-07,0.14999999
1460,0.953255,0.00016952626,0.7563784,-0.5960806,-0.030303031,-0.8588704,0.99639696,3.0499623,73,,5.4911838,-0.7045412,0.2087416,1.0639879,5.3465304,-0.14627403,,0.9527928,15.238136,0.953255,55.75907516479492,1.1407902e-07,0.14999999
1480,0.953255,3.3578753,0.7589857,-0.58846986,-0.27272728,-0.85460556,0.99639696,3.043849,74,,4.600626,-0.64746463,0.20613432,1.1592338,1.6395681,-0.37277198,,0.9493164,15.253944,0.953255,56.789363622665405,1.1101664e-07,0.14999999
1500,0.953255,9.194699e-09,0.761572,-0.51070064,0.57575756,-0.8481664,0.99639696,3.0444412,75,,6.779629,-0.6389732,0.20354801,0.5153254,0.000908077,0.36666858,,0.95296293,15.266102,0.953255,57.835458755493164,1.0807592e-07,0.14999999
1520,0.953255,7.2585215e-18,0.7581576,-1.0637504,-1.0,-0.85747707,0.99639696,3.0337753,76,,7.7733235,-0.6522063,0.2069624,1.004438,8.808822e-09,-1.0135688,,0.5020801,15.729141,0.953255,58.471766233444214,1.0525054e-07,0.14999999
1540,0.953255,0.003470274,0.76066834,-0.8138959,-0.43434343,-0.85723835,0.99639696,3.0126,77,,4.649247,-0.6652784,0.20445168,1.1006339,0.184739,-0.6379149,,0.95147914,15.742779,0.953255,58.96753001213074,1.02534514e-07,0.14999999
1560,0.953255,3.9317856,0.7631325,-0.61073565,-0.7373737,-0.8529912,0.99639696,3.0321503,78,,5.0594115,-0.6757855,0.2019875,1.0280514,0.00013180048,-0.6362232,,0.9528784,15.75502,0.953255,59.45840525627136,9.9922275e-08,0.14999999
1580,0.9533075,5.349949e-07,0.76553977,-0.5738857,0.21212122,-0.8493159,0.9964463,2.9920242,79,,6.988674,-0.6885228,0.19958025,0.9845587,1.1893287,0.14723511,,0.9533075,15.766842,0.9533075,59.93601107597351,9.74086e-08,0.14999999
1600,0.9533075,0.00049885135,0.76364166,-0.8290333,0.7979798,-0.8495428,0.9964463,2.9769974,80,,9.329433,-0.68615896,0.20147836,1.0233035,6.766344e-07,0.925484,,0.6136868,16.11827,0.9533075,60.414984464645386,9.49886e-08,0.14999999
