IWMin,Delta,Iteration,ReturnAbsMax,LQGmu1_actor,Bound,ReturnMin,DenMISELogLast,Regret,Regret/t,LQGmu1_higher,ReturnStepMax,TimeElapsed,DenMISELogFirst,LQGsigma_higher,IWLastEpisode,IWMean,IWMax,ReturnLastEpisode,ReturnMax,IWFirstEpisode,TimestepsSoFar,DenMISEMeanLog,ReturnMean
,1.3147212e-07,68,0.9509597,0.9468558,3.0954251,,-0.566581,16.240574,0.238832,1.0,0.9941904,55.552863121032715,-0.86051047,0.14999999,6.5422984e-22,0.74707294,14.661829,0.9500701,0.9509597,1.704946e-05,1360,-0.8699111,0.726288
,1.2768895e-07,69,0.9509597,-1.1694756,3.0804963,,-1.2199206,17.091835,0.24770772,-1.0,0.9941904,56.34085988998413,-0.875109,0.14999999,2.3712822e-36,1.0460151,7.408227,0.1138648,0.9509597,8.976916e-15,1380,-0.8792002,0.7174123
,1.2406676e-07,70,0.9509597,-0.33036244,3.0719426,,-1.5492834,17.109753,0.244425,-0.43434343,0.9941904,57.13677382469177,-0.88949776,0.14999999,7.62226e-05,1.0264227,4.9856114,0.947199,0.9509597,0.00026043615,1400,-0.8885978,0.720695
,1.2059652e-07,71,0.9509597,0.44359314,3.0680752,,-0.6471417,17.125362,0.2412023,0.3939394,0.9941904,57.92520546913147,-0.90367866,0.14999999,4.3937245e-05,1.1694309,7.181389,0.9495065,0.9509597,3.8914704,1420,-0.8851005,0.7239177
,1.1726989e-07,72,0.9509597,-0.38067454,3.048019,,-0.93379545,17.644096,0.24505693,-0.13131313,0.9941904,58.714815855026245,-0.8643048,0.14999999,0.004370614,0.85793865,5.8740454,0.4463862,0.9509597,0.29231745,1440,-0.8838764,0.7200631
,1.1407902e-07,73,0.9509597,-0.21700212,3.030676,,-0.6175193,17.660675,0.24192709,-0.3939394,0.9941904,59.505653381347656,-0.8740463,0.14999999,4.9125376,1.0440296,4.9125376,0.94854075,0.9509597,0.00083089387,1460,-0.88238966,0.72319293
,1.1101664e-07,74,0.9509597,0.86082584,3.029202,,-0.67874414,17.67839,0.23889714,0.7979798,0.9941904,60.29727363586426,-0.8876406,0.14999999,5.987668e-10,0.9848076,8.857494,0.9474081,0.9509597,0.0064734244,1480,-0.87929577,0.7262229
,1.0807592e-07,75,0.9509597,-0.8022878,3.020833,,-1.1318208,18.458069,0.24610758,-0.7777778,0.9941904,61.090696811676025,-0.9009762,0.14999999,1.00749204e-25,0.8976831,5.2956934,0.18544205,0.9509597,6.4380223e-10,1500,-0.88330996,0.71901244
,1.0525054e-07,76,0.9509597,-1.2025579,3.0019855,,-0.6387559,18.473335,0.24307019,-1.0,0.9941904,61.888766050338745,-0.9142214,0.14999999,2.113337,1.0631356,7.346989,0.9498523,0.9509597,9.334978e-15,1520,-0.88162863,0.72204983
,1.02534514e-07,77,0.9509597,-0.0118738115,2.9686022,,-1.8363681,18.492088,0.24015701,0.15151516,0.9941904,62.68792700767517,-0.9272935,0.14999999,3.366064e-17,1.0327667,6.538685,0.94636244,0.9509597,5.637516,1540,-0.89361465,0.724963
