ReturnLastEpisode,IWMax,ReturnMin,IWMin,IWFirstEpisode,delta,DenMISELogFirst,Iteration,DenMISEMeanLog,Bound,ReturnMax,IWLastEpisode,Regret,ReturnAbsMax,Regret/t,IWMean,TimestepsSoFar,LQGsigma_higher,LQGmu1_actor,ReturnMean,LQGmu1_higher,TimeElapsed,DenMISELogLast,ReturnStepMax
5.9076138,6.4058237,,,5.8762655,3.162992e-07,-0.8940349,62,-0.95687497,57.786465,17.419645,0.005263504,290.37372,17.419645,4.683447,0.81613183,1240,0.14999999,-0.05431714,12.676554,0.020408163,27.848347187042236,-1.0498229,19.209023
13.958441,5.0964146,,,0.8186526,3.0633765e-07,-0.8194832,63,-0.9577879,57.06978,17.419645,0.8954927,293.77527,17.419645,4.6630993,1.0138907,1260,0.14999999,-0.33978164,12.696901,-0.3469388,28.31127405166626,-0.81426895,19.209023
17.255535,4.779301,,,5.8135074e-06,2.968394e-07,-0.8223208,64,-0.9521345,56.89144,17.419645,0.019836783,293.8797,17.419645,4.5918703,1.0535097,1280,0.14999999,-0.643646,12.76813,-0.8367347,28.77885627746582,-0.58965474,19.209023
17.413738,4.8067474,,,0.0030178698,2.8777617e-07,-0.8378249,65,-0.9461339,55.867584,17.419645,4.8067474,293.82593,17.419645,4.520399,0.9845485,1300,0.14999999,-0.68206507,12.8396015,-0.63265306,29.248945951461792,-0.5945247,19.209023
17.387102,7.010795,,,1.9111056,2.791217e-07,-0.85304594,66,-0.9403512,55.708908,17.419645,2.647745e-07,293.79883,17.419645,4.451498,1.0427816,1320,0.14999999,0.10012519,12.908503,0.18367347,29.72189164161682,-0.5330575,19.209023
9.013378,5.7741804,,,5.0227838,2.708519e-07,-0.839539,67,-0.9392443,55.74258,17.419645,1.7221992,302.14545,17.419645,4.509634,0.9320182,1340,0.14999999,-0.22429562,12.850367,-0.14285715,30.192274808883667,-0.87743,19.209023
16.82689,4.799784,,,0.44111538,2.6294424e-07,-0.7820642,68,-0.9362028,55.38159,17.419645,2.7995622,302.6786,17.419645,4.4511566,1.0346107,1360,0.14999999,-0.42025873,12.908844,-0.3877551,30.66680932044983,-0.6450372,19.209023
17.297989,9.4022045,,,1.6938606e-07,2.553779e-07,-0.79019696,69,-0.93030316,55.366085,17.419645,2.5876753e-15,302.74066,17.419645,4.3875456,0.85368365,1380,0.14999999,0.7782482,12.972455,0.8367347,31.136341333389282,-0.5456322,19.209023
3.5902357,8.053241,,,0.0059798835,2.4813352e-07,-0.8045857,70,-0.9359165,55.34893,17.419645,1.6905386,316.51038,17.419645,4.521576,0.96908975,1400,0.14999999,0.5979861,12.838425,0.5102041,31.611743450164795,-1.1434802,19.209023
5.848944,7.764559,,,1.0404443e-08,2.4119305e-07,-0.8186849,71,-0.93846935,55.010193,17.419645,1.734163e-24,328.02148,17.419645,4.620021,1.0694208,1420,0.14999999,-0.9498481,12.73998,-1.0,32.09468388557434,-1.056073,19.209023
17.244535,4.7959037,,,8.888222e-05,2.3453978e-07,-0.8326711,72,-0.9332969,54.684204,17.419645,2.0969071,328.1369,17.419645,4.557457,1.0280185,1440,0.14999999,-0.84862137,12.802544,-0.75510204,32.57083821296692,-0.605083,19.209023
17.322306,5.0770836,,,2.1524866,2.2815804e-07,-0.8464632,73,-0.9275731,53.972397,17.419645,0.0023428136,328.17456,17.419645,4.4955425,1.0272392,1460,0.14999999,-0.3812771,12.864458,-0.26530612,33.05094790458679,-0.5266762,19.209023
17.308882,4.669582,,,0.116076805,2.2203328e-07,-0.8310091,74,-0.9225901,54.083027,17.419645,3.9452307,328.22565,17.419645,4.435482,1.034113,1480,0.14999999,-0.56943244,12.924519,-0.46938777,33.53390836715698,-0.5668479,19.209023
17.414824,4.6085787,,,5.9341755e-06,2.1615185e-07,-0.84286475,75,-0.91742414,53.58284,17.419645,0.9448217,328.17084,17.419645,4.3756113,1.066422,1500,0.14999999,-1.0458237,12.984389,-0.8367347,34.02353501319885,-0.5528487,19.209023
17.197903,7.4696636,,,1.0801197e-08,2.1050109e-07,-0.8561099,76,-0.9157482,53.67856,17.419645,5.8738103,328.333,17.419645,4.3201704,1.1093206,1520,0.14999999,-1.0135688,13.03983,-1.0,34.50486993789673,-0.8389845,19.209023
17.195976,6.398039,,,5.732023,2.0506903e-07,-0.869182,77,-0.9114909,53.058197,17.419645,2.4982894e-10,328.49707,17.419645,4.2661953,0.8340825,1540,0.14999999,-0.18316333,13.093805,0.020408163,34.99328351020813,-0.6695389,19.209023
16.656322,4.7349424,,,0.021186318,1.9984455e-07,-0.8102841,78,-0.9108079,52.746346,17.419645,0.25879517,329.20068,17.419645,4.220521,0.99993473,1560,0.14999999,-0.44986987,13.13948,-0.5510204,35.48022127151489,-0.6771851,19.209023
17.39455,18.338345,,,1.5866226e-10,1.948172e-07,-0.8227515,79,-0.9061893,52.620586,17.419645,2.33509e-20,329.16614,17.419645,4.1666594,1.0327547,1580,0.14999999,0.9351139,13.193341,1.0,35.96813702583313,-0.53201014,19.209023
1.1431983,4.84893,,,1.3807725,1.899772e-07,-0.8353303,80,-0.9110926,52.647503,17.419645,1.2765683e-14,345.3828,17.419645,4.3172855,1.0714872,1600,0.14999999,-0.17861822,13.042715,-0.30612245,36.45593047142029,-1.2668608,19.209023
16.5414,7.6800547,,,0.3814156,1.8531539e-07,-0.83064044,81,-0.9074499,52.408993,17.419645,0.02807055,346.20154,17.419645,4.2740936,1.0369886,1620,0.14999999,0.28164893,13.085907,0.30612245,36.97714328765869,-0.67041814,19.209023
8.382417,7.3381433,,,1.0609611e-08,1.8082306e-07,-0.8382127,82,-0.9081443,52.406044,17.419645,9.869933e-16,355.17908,17.419645,4.3314524,1.1051854,1640,0.14999999,-0.92039645,13.028548,-1.0,37.502209424972534,-0.9727085,19.209023
17.274113,8.538942,,,0.00021609661,1.7649211e-07,-0.8503341,83,-0.90263057,52.32989,17.419645,2.3828411e-23,355.265,17.419645,4.280302,0.90821123,1660,0.14999999,0.6553386,13.079699,0.63265306,37.98822021484375,-0.529835,19.209023
