DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,ReturnLastEpisode,Iteration,delta,TimestepsSoFar,Regret,LQGmu1_actor,DenMISELogFirst,IWFirstEpisode,Bound,IWMean,LQGsigma_higher,DenMISELogLast,IWMin,ReturnMax,ReturnMin,ReturnStepMax,TimeElapsed,Regret/t,LQGmu1_higher,IWMax,ReturnMean
-0.8460392,17.405561,4.2341e-07,17.363522,80,1.899772e-07,1600,352.65723,0.44329494,-0.9765579,3.2183423,52.570766,0.89253914,0.14999999,-0.6341114,,17.405561,,19.194527,32.31751585006714,4.4082155,0.42857143,8.190952,12.951785
-0.8500937,17.405561,3.4860724e-07,7.315494,81,1.8531539e-07,1620,362.70178,-0.6207967,-0.9495393,0.00032858163,52.479355,0.971853,0.14999999,-1.0447445,,17.405561,,19.194527,32.8311607837677,4.4778004,-0.42857143,5.0778494,12.8822
-0.84827536,17.410173,2.188233e-19,17.410173,82,1.8082306e-07,1640,362.6515,1.1167531,-0.96180534,0.0073364144,52.260193,0.93741924,0.14999999,-0.6576038,,17.410173,,19.198915,33.316357135772705,4.42258,0.79591835,9.557515,12.937421
-0.8629047,17.410173,2.1949613e-09,,83,1.7649211e-07,1660,380.01147,0.1138146,-0.97383726,4.5992355,52.069942,1.115745,0.14999999,-1.9656348,,17.410173,,19.198915,33.796398878097534,4.578452,0.10204082,6.5925503,12.7815485
-0.86161315,17.410173,2.598183e-05,8.986713,84,1.7231491e-07,1680,388.38477,-0.9999892,-0.9318818,2.9604456e-07,51.485233,0.86561185,0.14999999,-0.8462388,,17.410173,,19.198915,34.2816162109375,4.6236286,-0.63265306,5.251815,12.736372
-0.860661,17.410173,4.0754762e-07,17.20366,85,1.6828433e-07,1700,388.54126,-0.14186311,-0.9437162,0.2607383,51.359024,1.0404885,0.14999999,-0.6348327,,17.410173,,19.198915,34.817221879959106,4.5710735,-0.14285715,5.362509,12.788927
-0.8579025,17.410173,3.9727655e-07,16.054518,86,1.6439348e-07,1720,389.84668,-1.0472723,-0.9523494,9.697773e-15,51.20239,1.143968,0.14999999,-0.64760697,,17.410173,,19.198915,35.43980121612549,4.5331,-1.0,6.3541064,12.8269005
-0.8550676,17.410173,6.5037656e-26,17.199348,87,1.6063603e-07,1740,390.00732,0.7057185,-0.9639103,0.4490184,50.531654,0.7778931,0.14999999,-0.7309661,,17.410173,,19.198915,35.98164916038513,4.4828424,0.59183675,8.387463,12.877158
-0.86118585,17.410173,9.217953e-23,4.570184,88,1.5700596e-07,1760,402.79712,-0.6040001,-0.9701911,4.4306003e-11,50.40383,1.0027798,0.14999999,-1.1537946,,17.410173,,19.198915,36.73800778388977,4.57724,-0.8367347,4.634785,12.782761
-0.8590395,17.415846,3.4414423,17.415846,89,1.5349757e-07,1780,402.7412,-0.46764898,-0.9814907,9.712002e-05,50.661064,0.9240258,0.14999999,-0.6603864,,17.415846,,19.204563,37.45499229431152,4.5251827,-0.46938777,5.10976,12.834818
-0.8572682,17.415846,3.203757e-05,17.365519,90,1.5010546e-07,1800,402.73572,0.19604431,-0.99266285,7.079401,50.333755,1.0636681,0.14999999,-0.611512,,17.415846,,19.204563,38.08282160758972,4.474842,0.26530612,7.320332,12.885159
-0.85736746,17.415846,0.12919992,8.75473,91,1.4682455e-07,1820,411.34106,-0.3360185,-0.9279932,0.055079576,50.22297,1.0312991,0.14999999,-0.9054012,,17.415846,,19.204563,38.42035245895386,4.520232,-0.2244898,5.070689,12.839768
-0.85420585,17.415846,2.8292383e-17,17.246614,92,1.4365008e-07,1840,411.4546,0.93714076,-0.9383171,1.842899e-05,49.915436,1.1096961,0.14999999,-0.5833372,,17.415846,,19.204563,38.666839599609375,4.472332,1.0,16.217484,12.887669
-0.8584558,17.415846,7.864513e-19,1.1086481,93,1.4057744e-07,1860,427.70593,-0.61047155,-0.94912785,9.402725e-05,49.910667,0.95855457,0.14999999,-1.2977835,,17.415846,,19.204563,38.968217611312866,4.5989876,-0.46938777,4.992229,12.761013
-0.85670096,17.415846,0.0007269429,17.387138,94,1.3760231e-07,1880,427.6787,0.193818,-0.9598221,2.3664207,49.73685,1.0794603,0.14999999,-0.6398063,,17.415846,,19.204563,39.2047917842865,4.549773,0.020408163,5.822278,12.810227
-0.8566124,17.415846,3.6348632e-07,8.762633,95,1.3472066e-07,1900,436.276,-0.82228,-0.9455412,5.9332983e-08,49.716442,0.893778,0.14999999,-0.90957093,,17.415846,,19.204563,39.442089319229126,4.5923786,-0.67346936,5.0266705,12.767622
-0.85474986,17.415846,2.3101974,17.338877,96,1.3192863e-07,1920,436.29712,-0.84296423,-0.95601255,9.733353e-15,49.7873,1.1261377,0.14999999,-0.5610271,,17.415846,,19.204563,39.68179154396057,4.5447617,-1.0,6.5549808,12.815239
-0.850397,17.415846,4.5454597,17.334414,97,1.2922246e-07,1940,436.32275,-0.9758666,-0.9663753,4.4137225e-11,49.248466,1.03064,0.14999999,-0.53680986,,17.415846,,19.204563,39.92316651344299,4.4981728,-0.8367347,4.5774803,12.861828
-0.84720594,17.415846,6.01138e-17,17.223618,98,1.265987e-07,1960,436.4591,0.4499937,-0.9766318,5.4911394,48.555542,0.99063104,0.14999999,-0.55628854,,17.415846,,19.204563,40.16854786872864,4.453665,0.3469388,7.5997095,12.906336
-0.8497945,17.415846,2.3634717e-05,7.2610126,99,1.2405411e-07,1980,446.55798,-0.34717053,-0.93226564,0.0088274265,48.51938,0.98863244,0.14999999,-1.073731,,17.415846,,19.204563,40.41141629219055,4.510687,-0.30612245,4.95057,12.849314
-0.8473092,17.415846,0.0003650604,17.263815,100,1.2158542e-07,2000,446.6543,-0.81025606,-0.9422268,9.600087e-15,48.51641,1.1161041,0.14999999,-0.5771785,,17.415846,,19.204563,40.657434701919556,4.466543,-1.0,6.348154,12.893457
-0.84319764,17.415846,2.977047,17.323664,101,1.1918971e-07,2020,446.69067,-0.8028245,-0.95217717,5.972801e-08,48.396744,0.90736073,0.14999999,-0.5285416,,17.415846,,19.204563,40.897146701812744,4.42268,-0.67346936,4.914355,12.937321
-0.84096736,17.415846,2.7223504e-22,17.344564,102,1.1686409e-07,2040,446.70605,0.6514495,-0.96202946,0.04746757,48.31354,0.88124925,0.14999999,-0.51363385,,17.415846,,19.204563,41.14038157463074,4.379471,0.71428573,9.558548,12.98053
