ReturnMin,Iteration,TimestepsSoFar,IWLastEpisode,LQGmu1_actor,Regret/t,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,ReturnMean,delta,IWMean,Regret,Bound,DenMISEMeanLog,LQGsigma_higher,LQGmu1_higher,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,IWMin,IWMax,ReturnMax,TimeElapsed
,71,1420,6.7405376,0.23751888,4.900056,-0.9464852,19.18772,7.741944,12.459945,2.4119305e-07,0.8194066,347.904,54.61992,-0.86438036,0.14999999,0.30612245,-1.0748663,17.398554,2.201118,,7.872489,17.398554,22.80589509010315
,72,1440,3.584288,-0.013300002,4.9537916,-0.92994064,19.18772,8.591012,12.406209,2.3453978e-07,0.9824882,356.67297,54.20632,-0.86888415,0.14999999,0.06122449,-0.98903877,17.398554,6.687516,,6.687762,17.398554,23.159706592559814
,73,1460,7.2784464e-06,-0.96816903,4.97336,-0.85491556,19.18772,10.977636,12.386641,2.2815804e-07,0.8440619,363.0553,54.146393,-0.86855423,0.14999999,-0.79591835,-0.80214924,17.398554,2.4582192e-07,,5.285629,17.398554,23.51416301727295
,74,1480,5.6192565,-1.0406461,4.90802,-0.8685212,19.18772,17.221813,12.451981,2.2203328e-07,1.0125071,363.19348,54.676933,-0.86949,0.14999999,-1.0,-0.7705336,17.398554,3.499082e-11,,7.770663,17.398554,23.869349002838135
,75,1500,3.9950148e-05,-0.46123528,4.844721,-0.88194424,19.18772,17.19947,12.51528,2.1615185e-07,0.95535827,363.354,53.439552,-0.86994344,0.14999999,-0.30612245,-0.8833862,17.398554,0.23364803,,5.158981,17.398554,24.22625494003296
,76,1520,4.1757054,-0.5721965,4.7815332,-0.892079,19.18772,17.317541,12.578467,2.1050109e-07,1.148953,363.3966,53.17115,-0.86590296,0.14999999,-0.5102041,-0.5043894,17.398554,0.0028169896,,4.358043,17.398554,24.583797693252563
,77,1540,0.072611704,-1.1470745,4.719125,-0.905114,19.18772,17.383867,12.640876,2.0506903e-07,1.0171657,363.37268,53.14934,-0.85902095,0.14999999,-1.0,-0.46620885,17.398554,3.6294936e-11,,7.317267,17.398554,24.944973707199097
,78,1560,4.4533995e-11,-0.29492164,4.6607313,-0.9180174,19.18772,17.195572,12.699269,1.9984455e-07,0.9811656,363.5371,52.600548,-0.8659753,0.14999999,-0.06122449,-1.3886133,17.398554,4.2744117,,6.097261,17.398554,25.307631015777588
,79,1580,1.7469289,-0.6624476,4.6048927,-0.8774051,19.18772,17.110556,12.755108,1.948172e-07,1.1657572,363.78656,52.316593,-0.86324203,0.14999999,-0.5102041,-0.60960084,17.398554,0.0027759555,,4.280221,17.398554,25.66957712173462
,80,1600,0.35843801,-0.92825073,4.546812,-0.8899488,19.190777,17.401512,12.813189,1.899772e-07,1.0328896,363.745,52.02024,-0.8572033,0.14999999,-1.0,-0.5278558,17.401512,3.5748664e-11,,6.9425693,17.401512,26.032767057418823
,81,1620,1.7946435,-0.68786824,4.4918756,-0.9023713,19.190777,17.263084,12.868125,1.8531539e-07,0.96459264,363.84192,52.101425,-0.85426855,0.14999999,-0.71428573,-0.62398106,17.401512,5.335349e-06,,4.722109,17.401512,26.39659333229065
,82,1640,5.295785e-13,0.76470613,4.4371414,-0.9146413,19.190777,17.356262,12.922859,1.8082306e-07,1.0196391,363.84558,51.96425,-0.8507236,0.14999999,0.46938777,-0.51605076,17.401512,0.22863588,,8.127348,17.401512,26.763785362243652
,83,1660,7.7168517,1.0735456,4.5472918,-0.9239783,19.190777,3.7804754,12.812709,1.7649211e-07,1.1674917,377.42517,51.75121,-0.85479164,0.14999999,0.8367347,-1.1805164,17.401512,1.9965693e-05,,9.250019,17.401512,27.13026785850525
,84,1680,1.1923837e-27,-0.65157187,4.6998243,-0.9359543,19.190777,,12.660176,1.7231491e-07,1.0973464,394.78516,51.25744,-0.8635557,0.14999999,-0.63265306,-1.719401,17.401512,8.492856e-05,,4.404703,17.401512,27.496031284332275
,85,1700,7.8978803e-07,0.21956974,4.644288,-0.9477877,19.190777,17.38071,12.715713,1.6828433e-07,0.8220303,394.76453,51.191425,-0.85800153,0.14999999,0.18367347,-0.4733152,17.401512,5.4052634,,7.4755216,17.401512,27.862799644470215
,86,1720,0.0153362425,0.025095016,4.6913815,-0.8978325,19.190777,8.6657095,12.668619,1.6439348e-07,0.93080497,403.45886,51.037224,-0.86174625,0.14999999,-0.30612245,-0.9854456,17.401512,0.23738995,,5.182273,17.401512,28.234236478805542
,87,1740,1.9872261e-06,-0.7619658,4.7319965,-0.9066368,19.190777,9.135092,12.628004,1.6063603e-07,0.8849659,411.68372,50.608128,-0.8627977,0.14999999,-0.79591835,-0.8722251,17.401512,2.5887076e-07,,4.897181,17.401512,28.612547159194946
,88,1760,8.370265e-05,0.036631763,4.678155,-0.9180655,19.190777,17.366062,12.681846,1.5700596e-07,0.96822476,411.6776,50.201607,-0.86060065,0.14999999,-0.06122449,-0.5455443,17.401512,4.2746177,,6.1377964,17.401512,28.99242401123047
