Iteration,ReturnMean,IWMean,TimestepsSoFar,ReturnLastEpisode,LQGsigma_higher,DenMISELogLast,delta,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,DenMISELogFirst,DenMISEMeanLog,ReturnMax,TimeElapsed,IWMin,Bound,IWLastEpisode,LQGmu1_higher,ReturnStepMax,Regret,Regret/t,IWMax,ReturnMin
61,11.772419,0.6971384,1220,17.18743,0.14999999,-3.3251815,3.2675467e-07,0.16317722,17.40675,-0.3360929,-0.85508275,-0.9763162,17.40675,19.62531352043152,,57.1653,4.313926e-09,-0.30612245,19.19513,340.84253,5.5875816,6.2019835,
62,11.860353,0.89725,1240,17.224346,0.14999999,-0.7753805,3.162992e-07,4.3306045e-05,17.40675,-0.8153955,-0.8686718,-0.9781747,17.40675,19.970303297042847,,56.207863,0.818046,-0.63265306,19.19513,340.97815,5.499647,5.212967,
63,11.947303,1.073938,1260,17.338129,0.14999999,-0.551559,3.0633765e-07,4.694083,17.40675,0.18290505,-0.88467145,-0.9733268,17.40675,20.317532539367676,,56.205814,3.671859e-06,-0.020408163,19.19513,341.0,5.412698,6.119579,
64,11.898127,1.1941392,1280,8.800064,0.14999999,-0.886843,2.968394e-07,1.3470545e-11,17.40675,-0.8332195,-0.8285557,-0.97124493,17.40675,20.66650700569153,,56.220707,2.0215376e-13,-1.0,19.19513,349.55994,5.461874,6.335127,
65,11.981994,1.1814513,1300,17.349417,0.14999999,-0.5383662,2.8777617e-07,4.3578377,17.40675,0.08828364,-0.84405994,-0.9621468,17.40675,21.017449140548706,,56.020615,7.270991e-11,0.2244898,19.19513,349.57043,5.378007,6.771532,
66,11.937323,0.9852866,1320,9.033691,0.14999999,-0.7920074,2.791217e-07,1.1003864e-07,17.40675,-0.8200314,-0.7944355,-0.9573513,17.40675,21.369054317474365,,55.624714,1.6730634e-07,-0.79591835,19.19513,357.89673,5.422678,4.746507,
67,12.017947,0.70893,1340,17.339182,0.14999999,-0.5091089,2.708519e-07,0.012324562,17.40675,-0.53102267,-0.8094734,-0.95115644,17.40675,21.721348762512207,,54.945637,0.1468911,-0.42857143,19.19513,357.91754,5.3420534,5.1925054,
68,12.096141,0.9946538,1360,17.335169,0.14999999,-0.6681558,2.6294424e-07,5.5380343e-07,17.40675,-0.7213095,-0.82410455,-0.9514289,17.40675,22.075098276138306,,54.156803,1.6998242,-0.75510204,19.19513,357.94238,5.2638597,4.5293307,
69,12.172409,0.87954646,1380,17.358654,0.14999999,-0.5201086,2.553779e-07,8.982411e-08,17.40675,1.1303428,-0.83870333,-0.94549537,17.40675,22.427148818969727,,54.167313,1.1368992e-28,1.0,19.19513,357.94385,5.1875916,12.723217,
70,11.998518,1.0543089,1400,,0.14999999,-1.902774,2.4813352e-07,0.06651247,17.40675,0.54276586,-0.8530921,-0.96154696,17.40675,22.78139352798462,,53.878525,0.010284205,0.5510204,19.19513,375.30383,5.3614826,7.9072194,
71,11.919982,0.7861287,1420,6.42247,0.14999999,-0.9943729,2.4119305e-07,1.0720474,17.40675,-0.11387063,-0.866327,-0.9617233,17.40675,23.137474060058594,,53.813965,5.8037167e-05,-0.18367347,19.19513,386.24133,5.4400187,6.2406435,
72,11.9729,1.2541462,1440,15.730123,0.14999999,-0.7940568,2.3453978e-07,6.31732,17.40675,-0.010443322,-0.8653268,-0.96258694,17.40675,23.496586084365845,,53.706,2.08817,0.10204082,19.19513,387.87122,5.3871,6.323107,
