Regret/t,TimestepsSoFar,Regret,IWMean,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,Iteration,DenMISEMeanLog,ReturnStepMax,Bound,LQGmu1_actor,IWFirstEpisode,ReturnMean,delta,ReturnMin,IWMax,ReturnAbsMax,ReturnLastEpisode,LQGmu1_higher,DenMISELogFirst,LQGsigma_higher,TimeElapsed
4.4246798,1140,252.20673,1.1526245,17.40866,0.028964257,,-0.72171646,57,-0.81894666,19.196686,59.349136,0.0805679,0.0023558342,12.935321,3.7422413e-07,,7.2815895,17.40866,16.964386,0.26530612,-0.6121688,0.14999999,24.263805866241455
4.491745,1160,260.52118,0.88470566,17.40866,0.00028863497,,-0.982501,58,-0.8199388,19.196686,58.95587,1.0245162,3.3162657e-11,12.868256,3.6143112e-07,,8.935069,17.40866,9.045553,0.75510204,-0.6295192,0.14999999,24.75053358078003
4.7098513,1180,277.88116,1.165059,17.40866,3.4701307e-26,,-1.4256978,59,-0.83276224,19.196686,58.58322,-0.8058973,0.5871819,12.650149,3.4928303e-07,,4.441609,17.40866,,-0.63265306,-0.64661366,0.14999999,25.259246826171875
4.631749,1200,277.90503,1.1867605,17.40866,4.2385154,,-0.48716363,60,-0.8246037,19.196686,58.294693,-0.79358906,0.0138832405,12.728251,3.377373e-07,,4.4638324,17.40866,17.33627,-0.8367347,-0.6535177,0.14999999,25.88453435897827
4.5560246,1220,277.91754,1.0059673,17.40866,0.020806434,,-0.42985266,61,-0.8154736,19.196686,57.85241,-0.5122258,5.1707726,12.803976,3.2675467e-07,,5.342639,17.40866,17.347437,-0.30612245,-0.66981566,0.14999999,26.62175703048706
4.4826717,1240,277.92566,1.2434498,17.40866,1.1937702,,-0.5097986,62,-0.8108524,19.196686,56.794254,-0.81311244,0.07404169,12.877329,3.162992e-07,,4.0981007,17.40866,17.351837,-0.75510204,-0.6047112,0.14999999,27.16238045692444
4.411771,1260,277.9416,0.51609313,17.40866,3.4560603e-06,,-0.41044125,63,-0.80101275,19.196686,56.73059,-0.10865089,0.6627654,12.94823,3.0633765e-07,,6.1250105,17.40866,17.344078,-0.020408163,-0.61951804,0.14999999,27.907109022140503
4.3651323,1280,279.36847,0.9572994,17.40866,1.342402e-07,,-0.85381174,64,-0.8094574,19.196686,56.574123,-1.0265594,0.00017692041,12.994868,2.968394e-07,,8.074903,17.40866,15.933097,-1.0,-0.6248013,0.14999999,28.552321434020996
4.300514,1300,279.5334,1.0566922,17.40866,0.005945622,,-0.7953899,65,-0.8103034,19.196686,56.306892,-0.78051853,3.0948343,13.059486,2.8777617e-07,,4.6733394,17.40866,17.195063,-0.46938777,-0.64030266,0.14999999,29.112966537475586
4.2355337,1320,279.54517,1.2407867,17.40866,3.7416143,,-0.41156366,66,-0.8036758,19.196686,55.991867,-0.8353007,0.013279488,13.124467,2.791217e-07,,4.146978,17.40866,17.348204,-0.8367347,-0.60905606,0.14999999,29.7645046710968
4.172801,1340,279.57764,1.0563397,17.40866,1.5083474e-15,,-0.39123145,67,-0.79426026,19.196686,55.61405,0.21562037,1.8709567e-05,13.1872,2.708519e-07,,7.7711034,17.40866,17.3275,0.42857143,-0.6238928,0.14999999,30.27903985977173
4.239065,1360,288.25635,0.9814354,17.40866,7.116455,,-1.0069083,68,-0.7971016,19.196686,55.680965,0.043604553,0.017511249,13.120935,2.6294424e-07,,7.389093,17.40866,8.681358,0.18367347,-0.6387076,0.14999999,30.766711473464966
4.2975216,1380,296.52905,1.1705636,17.40866,1.0482227e-08,,-0.9747305,69,-0.80040187,19.196686,55.3823,1.1941566,7.326486e-17,13.062479,2.553779e-07,,15.742017,17.40866,9.087342,1.0,-0.6530489,0.14999999,31.246984481811523
4.484129,1400,313.88904,0.7392869,17.40866,1.697828e-16,,-2.4343896,70,-0.82241005,19.196686,55.414772,-0.4414202,2.559283,12.875872,2.4813352e-07,,6.5248437,17.40866,,-0.14285715,-0.6674376,0.14999999,31.770262479782104
