ReturnStepMax,IWMean,LQGmu1_higher,DenMISELogLast,DenMISEMeanLog,ReturnMin,ReturnMean,ReturnLastEpisode,delta,Regret/t,Regret,DenMISELogFirst,IWLastEpisode,TimeElapsed,IWMin,ReturnAbsMax,ReturnMax,IWFirstEpisode,LQGsigma_higher,TimestepsSoFar,Bound,Iteration,IWMax,LQGmu1_actor
19.195608,0.7457812,-0.3877551,-0.9991969,-0.8420963,,12.38249,6.2720203,3.377373e-07,4.9775105,298.6507,-0.7373791,1.6998698e-08,18.728733777999878,,17.40648,17.40648,0.17776099,0.14999999,1200,57.522957,60,5.606712,-0.37772265
19.195608,0.98433673,0.18367347,-0.69687414,-0.8440551,,12.463055,17.296926,3.2675467e-07,4.896946,298.71375,-0.7509501,0.004850734,19.072460412979126,,17.40648,17.40648,2.7912312,0.14999999,1220,57.32499,61,6.5721693,0.32609993
19.195608,0.9418735,-0.67346936,-0.9250855,-0.84601605,,12.393271,8.136454,3.162992e-07,4.966729,307.93726,-0.72246873,1.527218e-09,19.417096614837646,,17.40648,17.40648,0.00019267286,0.14999999,1240,57.07038,62,5.2969804,-0.5443789
19.195608,1.1801245,-0.2244898,-0.73601097,-0.8455138,,12.472822,17.404978,3.0633765e-07,4.8871784,307.89227,-0.73846596,0.5713314,19.756117582321167,,17.40648,17.40648,1.7118216,0.14999999,1260,57.016598,63,4.957779,-0.14481959
19.195608,1.0769072,-0.8367347,-0.58013254,-0.83899736,,12.533758,16.372698,2.968394e-07,4.8262424,308.87952,-0.72740513,0.00011386459,20.09882426261902,,17.40648,17.40648,7.743297e-07,0.14999999,1280,55.79261,64,4.6027555,-0.79065305
19.195608,1.2129441,-0.10204082,-0.5024048,-0.8329745,,12.607745,17.34295,2.8777617e-07,4.7522554,308.8966,-0.7429093,0.000116584044,20.44942593574524,,17.40648,17.40648,4.3162527,0.14999999,1300,55.685608,65,4.9753666,0.006834917
19.195608,0.6730249,-0.5102041,-0.6952148,-0.82805663,,12.55852,9.358956,2.791217e-07,4.8014803,316.89764,-0.6938847,0.014020198,20.797483205795288,,17.40648,17.40648,0.014319919,0.14999999,1320,55.447033,66,5.5379815,-0.33105445
19.195608,0.8803608,0.63265306,-0.61843264,-0.8298973,,12.627191,17.159412,2.708519e-07,4.73281,317.0982,-0.7087056,5.372999e-09,21.147671461105347,,17.40648,17.40648,0.0008729165,0.14999999,1340,55.15164,67,7.100573,0.52200085
19.195608,1.120182,0.3877551,-1.0138035,-0.83471745,,12.538905,6.6237726,2.6294424e-07,4.8210955,327.8344,-0.72350764,4.911099,21.498406410217285,,17.40648,17.40648,0.2145183,0.14999999,1360,55.120842,68,7.205415,0.27456334
19.195608,0.9527014,1.0,-0.9238836,-0.8347758,,12.479186,8.418299,2.553779e-07,4.8808146,336.77625,-0.73495674,5.586524e-05,21.850403785705566,,17.40648,17.40648,1.6058711e-09,0.14999999,1380,54.800343,69,15.13913,1.006272
19.195608,1.0273819,-0.30612245,-1.3537319,-0.8436903,,12.300912,,2.4813352e-07,5.0590887,354.13623,-0.7493455,2.4551435e-16,22.204907178878784,,17.40648,17.40648,0.6470257,0.14999999,1400,54.601166,70,5.086564,-0.23502466
19.195608,0.9388105,-1.0,-0.54926854,-0.8394351,,12.366869,16.983782,2.4119305e-07,4.9931316,354.5124,-0.7543293,1.036876e-05,22.55978751182556,,17.40648,17.40648,9.729109e-10,0.14999999,1420,54.574142,71,8.343001,-0.8232329
19.195608,1.101298,-0.79591835,-0.5593146,-0.8367521,,12.435865,17.334631,2.3453978e-07,4.924135,354.53772,-0.7683156,4.5764174,22.91480040550232,,17.40648,17.40648,3.5845744e-06,0.14999999,1440,54.32705,72,4.6891975,-0.5818921
19.195608,1.0523783,0.10204082,-0.7125884,-0.8339669,,12.503747,17.391314,2.2815804e-07,4.8562536,354.50647,-0.78210884,0.00016592215,23.27043867111206,,17.40648,17.40648,4.7336636,0.14999999,1460,54.340523,73,6.553013,0.3153465
19.195608,0.8106772,-0.59183675,-0.9588713,-0.83524644,,12.445579,8.199255,2.2203328e-07,4.914422,363.66718,-0.73288554,7.9189256e-08,23.62637710571289,,17.40648,17.40648,0.0019743508,0.14999999,1480,53.754814,74,5.4858694,-0.66879874
19.195608,1.2016382,-0.18367347,-0.5902203,-0.83464384,,12.511304,17.374945,2.1615185e-07,4.8486967,363.65222,-0.74628186,0.025693374,23.98447060585022,,17.40648,17.40648,2.524928,0.14999999,1500,53.371986,75,4.768615,0.15462828
19.195608,1.1679349,0.26530612,-0.8954207,-0.833098,,12.463615,8.886962,2.1050109e-07,4.896385,372.12537,-0.7264157,4.959918,24.342843055725098,,17.40648,17.40648,1.2320974,0.14999999,1520,53.369835,76,7.007406,0.23918688
19.195608,1.045653,-0.71428573,-0.88155377,-0.8319413,,12.413228,8.583773,2.0506903e-07,4.9467726,380.90155,-0.72340596,1.0810885e-08,24.701642274856567,,17.40648,17.40648,5.419418e-05,0.14999999,1540,52.753452,77,4.779855,-0.80963707
19.195608,0.8984197,0.8367347,-0.51073086,-0.82747936,,12.4764595,17.34524,1.9984455e-07,4.883541,380.91626,-0.7363087,3.0706617e-26,25.07637310028076,,17.40648,17.40648,1.2076378e-06,0.14999999,1560,52.15056,78,9.021946,1.0309072
19.195608,0.73890054,-0.42857143,-1.4818406,-0.8374506,,12.318529,,1.948172e-07,5.0414715,398.27625,-0.7490477,3.24351e-20,25.460243701934814,,17.40648,17.40648,0.08486428,0.14999999,1580,51.90524,79,5.502551,-0.7062105
19.195608,1.1084728,-0.8367347,-0.55355304,-0.8372513,,12.381877,17.386389,1.899772e-07,4.9781237,398.24988,-0.7605528,3.1681376,25.83495783805847,,17.40648,17.40648,8.004264e-07,0.14999999,1600,52.51259,80,4.58069,-0.76561683
19.195608,1.0956061,-0.71428573,-0.49465263,-0.83191067,,12.443458,17.36986,1.8531539e-07,4.916543,398.24,-0.7729753,4.1135283,26.206593990325928,,17.40648,17.40648,5.6948233e-05,0.14999999,1620,51.685432,81,4.5087833,-0.56802684
19.195608,1.0934943,0.020408163,-0.629247,-0.828494,,12.503555,17.371435,1.8082306e-07,4.8564453,398.22852,-0.7852447,0.0022718883,26.582889795303345,,17.40648,17.40648,5.805002,0.14999999,1640,51.714054,82,5.814966,0.09416993
