LQGmu1_higher,LQGsigma_higher,LQGmu1_actor,delta,IWFirstEpisode,DenMISEMeanLog,TimestepsSoFar,Regret/t,ReturnMean,IWMax,ReturnLastEpisode,IWMin,IWMean,Bound,ReturnMin,DenMISELogLast,ReturnAbsMax,Regret,DenMISELogFirst,TimeElapsed,IWLastEpisode,Iteration,ReturnStepMax,ReturnMax
0.79591835,0.14999999,0.749205,3.8770855e-07,8.644068e-12,-0.8299479,1120,4.5547276,12.805273,8.662854,17.392866,,0.8653822,59.921818,,-0.49364072,17.39706,255.06476,-0.6255647,18.543153524398804,5.8314173e-22,56,19.185783,17.39706
-0.42857143,0.14999999,-0.6361817,3.7422413e-07,3.6622355,-0.8366611,1140,4.7093086,12.650692,4.802681,3.9941373,,1.0655174,59.096138,,-1.045363,17.39706,268.4306,-0.64326423,18.883280992507935,3.1000826e-13,57,19.185783,17.39706
-0.8367347,0.14999999,-0.92656946,3.6143112e-07,0.00968403,-0.8299832,1160,4.627612,12.7323885,4.789686,17.389069,,1.0986096,59.238495,,-0.4933296,17.39706,268.4015,-0.59838593,19.222105741500854,1.7819349,58,19.185783,17.39706
-1.0,0.14999999,-0.8922741,3.4928303e-07,0.000117420575,-0.82578003,1180,4.55083,12.809171,8.68161,17.262543,,0.9302912,58.71598,,-0.65721434,17.39706,268.4989,-0.6153134,19.564082860946655,4.5520267,59,19.185783,17.39706
0.10204082,0.14999999,0.08807403,3.377373e-07,0.11944228,-0.8229429,1200,4.4761496,12.883851,7.095285,17.290003,,0.90184957,58.051155,,-0.55563384,17.39706,268.56903,-0.6321185,19.905672788619995,1.3321699e-09,60,19.185783,17.39706
-0.67346936,0.14999999,-0.57382447,3.2675467e-07,0.26072338,-0.82600564,1220,4.539262,12.820739,4.378191,9.034028,,1.1817002,57.84603,,-0.8853888,17.39706,276.89502,-0.6466591,20.246864557266235,1.6302814e-05,61,19.185783,17.39706
-0.10204082,0.14999999,-0.05151634,3.162992e-07,2.0031662,-0.81789404,1240,4.465521,12.89448,5.898298,17.392694,,0.95070577,56.931374,,-0.48205325,17.39706,276.8623,-0.6586546,20.592572689056396,0.03062363,62,19.185783,17.39706
0.42857143,0.14999999,0.25247794,3.0633765e-07,2.9432344e-05,-0.8181709,1260,4.4377403,12.92226,7.836497,14.644637,,0.995098,56.935406,,-0.7640718,17.39706,279.57764,-0.6428567,20.93844485282898,0.034060426,63,19.185783,17.39706
-0.5102041,0.14999999,-0.7401489,2.968394e-07,2.0702422,-0.82105553,1280,4.5064583,12.853542,4.618148,8.524276,,1.0923436,56.601173,,-0.9627504,17.39706,288.41333,-0.6586046,21.28611159324646,1.6947719e-05,64,19.185783,17.39706
-0.8367347,0.14999999,-0.7925746,2.8777617e-07,0.010118503,-0.8147226,1300,4.4369764,12.923024,4.554266,17.369926,,1.1385484,56.84369,,-0.482749,17.39706,288.40344,-0.6422734,21.634482860565186,3.5030127,65,19.185783,17.39706
