IWFirstEpisode,Iteration,DenMISEMeanLog,IWMean,ReturnMax,IWMin,delta,LQGsigma_higher,ReturnStepMax,LQGmu1_actor,IWMax,ReturnLastEpisode,IWLastEpisode,Regret,DenMISELogLast,DenMISELogFirst,ReturnAbsMax,TimestepsSoFar,ReturnMin,LQGmu1_higher,Bound,Regret/t,ReturnMean,TimeElapsed
5.4039707,92,-0.88813,0.8983318,17.42954,,1.4365008e-07,0.14999999,19.218552,-0.049189642,5.4039707,7.733875,0.0005381987,416.7827,-0.979702,-0.72227734,17.42954,1840,,-0.26530612,49.87944,4.530246,12.829755,37.437464237213135
7.234925e-15,93,-0.88908523,1.2362003,17.42954,,1.4057744e-07,0.14999999,19.218552,0.9748279,17.69834,13.91659,1.5000139e-10,420.2262,-0.8636465,-0.67600983,17.42954,1860,,1.0,49.793243,4.5185604,12.84144,37.81320023536682
1.0761397e-06,94,-0.89249086,0.9557838,17.42954,,1.3760231e-07,0.14999999,19.218552,0.80797887,8.329639,0.4525977,0.40108952,437.13354,-1.3678529,-0.6867051,17.42954,1880,,0.59183675,49.605774,4.6503563,12.709644,38.180813789367676
0.00567332,95,-0.89646363,0.9617833,17.42954,,1.3472066e-07,0.14999999,19.218552,-0.46145874,4.663623,3.1608639,1.3203944e-24,451.33264,-1.204076,-0.6972872,17.42954,1900,,-0.79591835,49.549286,4.7508698,12.609131,38.54433083534241
1.6903067,96,-0.8928375,1.1111149,17.42954,,1.3192863e-07,0.14999999,19.218552,-0.40149474,4.3830094,17.301367,4.378848,451.39136,-0.5000012,-0.7076988,17.42954,1920,,-0.46938777,49.63173,4.701993,12.658008,38.92615056037903
3.4931443,97,-0.8879141,0.84340125,17.42954,,1.2922246e-07,0.14999999,19.218552,-0.164972,6.3141828,17.279142,0.60568297,451.47217,-0.51314586,-0.7006075,17.42954,1940,,-0.10204082,49.04895,4.654352,12.705648,39.31809186935425
3.2345333,98,-0.88822484,1.0564587,17.42954,,1.265987e-07,0.14999999,19.218552,-0.29901987,4.557681,16.574348,1.8665252,452.2578,-0.74883723,-0.67548543,17.42954,1960,,-0.3877551,48.94563,4.614876,12.745125,39.710896492004395
1.39985395e-05,99,-0.88471663,0.9604697,17.42954,,1.2405411e-07,0.14999999,19.218552,-1.0949471,7.454927,17.161385,8.642912e-05,452.45642,-0.5850373,-0.65316534,17.42954,1980,,-1.0,48.453667,4.5702677,12.789733,40.10376596450806
5.1318774,100,-0.887227,0.9242388,17.42954,,1.2158542e-07,0.14999999,19.218552,-0.31174886,5.250042,17.197268,3.7973524e-07,452.61914,-1.0757152,-0.6632155,17.42954,2000,,-0.2244898,48.448505,4.5261917,12.833809,40.498692750930786
0.18825176,101,-0.8847601,0.92401856,17.42954,,1.1918971e-07,0.14999999,19.218552,-0.04442604,7.280494,17.208923,0.046740636,452.77026,-0.55126965,-0.6231205,17.42954,2020,,0.14285715,48.36116,4.482874,12.877127,40.89528965950012
2.2840211,102,-0.8851712,1.1037072,17.42954,,1.1686409e-07,0.14999999,19.218552,-0.40836036,4.276749,12.839057,0.23059559,457.29114,-0.83401096,-0.63111067,17.42954,2040,,-0.42857143,48.23971,4.483246,12.876755,41.290891885757446
