DenMISELogLast,Regret,LQGmu1_actor,TimestepsSoFar,ReturnLastEpisode,IWMax,IWLastEpisode,ReturnMean,Iteration,ReturnMin,ReturnStepMax,DenMISEMeanLog,ReturnMax,LQGmu1_higher,IWFirstEpisode,Bound,IWMin,delta,Regret/t,LQGsigma_higher,TimeElapsed,ReturnAbsMax,DenMISELogFirst,IWMean
-0.59532857,368.40088,0.72546685,1600,16.89877,9.55987,8.64714e-11,12.75499,80,,19.214617,-0.87618935,17.426403,0.8367347,3.6022736e-14,52.600243,,1.899772e-07,4.605011,0.14999999,31.223074436187744,17.426403,-0.47702044,0.96500874
-1.1554552,381.448,-1.0212853,1620,4.312855,7.198289,1.5608247e-28,12.650765,81,,19.214617,-0.8804926,17.426403,-1.0,0.00065787433,51.7886,,1.8531539e-07,4.709235,0.14999999,31.707282543182373,17.426403,-0.48944294,1.0257175
-0.7438376,381.60962,-0.073449865,1640,17.198278,4.5408607,6.483189e-05,12.706224,82,,19.214617,-0.8788281,17.426403,-0.30612245,4.001091,51.766808,,1.8082306e-07,4.653776,0.14999999,32.19180703163147,17.426403,-0.50170493,1.1248896
-0.79726946,384.08984,-0.38874283,1660,14.879785,6.0790024,5.8833685,12.732411,83,,19.214617,-0.8765529,17.426403,-0.06122449,0.5030508,51.61267,,1.7649211e-07,4.627589,0.14999999,32.67993664741516,17.426403,-0.46618554,0.8803075
-0.47422683,384.2362,-0.444817,1680,17.21369,4.7917843,2.3802562,12.785759,84,,19.214617,-0.87333006,17.426403,-0.5510204,2.0741203,51.529633,,1.7231491e-07,4.5742416,0.14999999,33.16178560256958,17.426403,-0.47211918,0.9861563
-0.46936432,384.23254,0.50818783,1700,17.363762,8.382589,6.70393e-09,12.839619,85,,19.214617,-0.8688913,17.426403,0.5102041,1.3535927e-07,51.268234,,1.6828433e-07,4.520382,0.14999999,33.647093534469604,17.426403,-0.45956165,0.8915813
-1.0631449,394.83923,-0.6608857,1720,6.753332,4.254625,1.3789702e-07,12.768847,86,,19.214617,-0.8726544,17.426403,-0.3877551,4.2339892,50.84115,,1.6439348e-07,4.591153,0.14999999,34.16938924789429,17.426403,-0.4712577,1.1585201
-0.63617694,394.80835,-0.88891435,1740,17.39088,5.1918526,3.3506768,12.821974,87,,19.214617,-0.86830086,17.426403,-0.79591835,0.07421245,51.094406,,1.6063603e-07,4.538027,0.14999999,34.65762448310852,17.426403,-0.43475962,0.8788231
-0.6154229,394.8717,-1.1069107,1760,17.29659,7.1663785,3.7411077,12.872822,88,,19.214617,-0.86693037,17.426403,-1.0,0.00062948815,50.84261,,1.5700596e-07,4.487179,0.14999999,35.14987754821777,17.426403,-0.44533566,1.0473434
-1.0944865,395.03052,0.13232265,1780,17.201189,7.3190117,5.3399844e-18,12.921455,89,,19.214617,-0.86922586,17.426403,0.26530612,0.00052060187,50.752975,,1.5349757e-07,4.438545,0.14999999,35.63709282875061,17.426403,-0.45662805,1.1449662
-0.92290574,403.4452,-0.6077526,1800,8.945237,4.805665,5.8154903e-05,12.877275,90,,19.214617,-0.86854166,17.426403,-0.59183675,1.4354634,49.992958,,1.5010546e-07,4.482725,0.14999999,36.12706780433655,17.426403,-0.46779552,0.93982357
-0.5571128,403.41418,-0.96684515,1820,17.391003,6.8525763,0.1520155,12.926877,91,,19.214617,-0.8658984,17.426403,-1.0,0.00064072025,49.892147,,1.4682455e-07,4.4331236,0.14999999,36.622042179107666,17.426403,-0.4630216,1.0551301
-0.60775155,403.54224,0.7779326,1840,17.232132,16.944029,2.2599574e-37,12.973673,92,,19.214617,-0.8627432,17.426403,1.0,3.1062659e-18,49.708736,,1.4365008e-07,4.3863277,0.14999999,37.10800743103027,17.426403,-0.47394365,1.0872741
-1.2458014,417.3075,0.6054689,1860,3.5947073,9.012987,7.2534804,12.872824,93,,19.214617,-0.86656755,17.426403,0.67346936,1.2836149e-10,49.92975,,1.4057744e-07,4.487177,0.14999999,37.66445446014404,17.426403,-0.48475456,0.9696836
-1.1134268,428.9005,-0.015545465,1880,5.7669544,6.946291,0.029002028,12.79723,94,,19.214617,-0.86979383,17.426403,0.10204082,0.030275824,49.593346,,1.3760231e-07,4.562771,0.14999999,38.15556740760803,17.426403,-0.49544984,1.0156343
-0.860454,434.56775,0.02526091,1900,11.692822,5.673308,4.3861494,12.785604,95,,19.214617,-0.8697505,17.426403,-0.14285715,1.3881944,49.81469,,1.3472066e-07,4.574397,0.14999999,38.6582305431366,17.426403,-0.50570995,0.926307
-0.8543656,442.79248,-0.90990347,1920,9.135201,5.0671444,1.9402648e-06,12.747579,96,,19.214617,-0.8704834,17.426403,-0.79591835,0.07934827,49.265255,,1.3192863e-07,4.612422,0.14999999,39.221593379974365,17.426403,-0.5016744,0.8843134
-0.5867758,442.8827,-1.040355,1940,17.269768,6.780118,3.9931123,12.7942,97,,19.214617,-0.8688504,17.426403,-1.0,0.00067235203,49.05656,,1.2922246e-07,4.5658007,0.14999999,39.778807640075684,17.426403,-0.511211,1.0686159
-0.75731105,443.04126,-0.40908632,1960,17.201315,4.537376,0.0040500266,12.839171,98,,19.214617,-0.86723,17.426403,-0.46938777,3.6117752,48.851738,,1.265987e-07,4.520829,0.14999999,40.38270807266235,17.426403,-0.52146053,1.0566596
-0.48768649,443.12415,-0.117853254,1980,17.277088,4.741691,2.7359362,12.883999,99,,19.214617,-0.86295325,17.426403,-0.26530612,3.4065697,48.455082,,1.2405411e-07,4.4760017,0.14999999,41.27547073364258,17.426403,-0.49542096,1.0375078
-0.7274263,444.30225,0.3330843,2000,16.181898,7.989383,0.007230093,12.916978,100,,19.214617,-0.86134934,17.426403,0.42857143,2.8892828e-06,48.467,,1.2158542e-07,4.4430227,0.14999999,41.948060035705566,17.426403,-0.4716403,0.9593315
-0.9959396,453.56787,0.49541694,2020,8.094536,6.2783437,0.44811755,12.86923,101,,19.214617,-0.86326844,17.426403,-0.020408163,0.2806925,48.46496,,1.1918971e-07,4.4907703,0.14999999,42.613187313079834,17.426403,-0.4815906,0.9510282
-1.0832539,464.05786,-0.8557363,2040,6.8700256,6.6638193,2.056068e-21,12.810414,102,,19.214617,-0.8660361,17.426403,-1.0,0.0006573645,48.260605,,1.1686409e-07,4.5495863,0.14999999,43.29445171356201,17.426403,-0.4886676,1.0712024
