Regret/t,ReturnLastEpisode,LQGmu1_higher,Iteration,Regret,LQGsigma_higher,LQGmu1_actor,ReturnMean
1.7157410646130091,16.577008440775945,-0.18367347,4004,6869.827222710489,0.14999999,-0.18485902,0.8970331958364097
1.7167801117824169,11.482875021909935,-0.10204082,4005,6875.704347688579,0.14999999,-0.018815115,0.8969736174436684
1.716350877271617,17.362733338481455,-0.9183673,4006,6875.701614350098,0.14999999,-0.73234856,0.8969982295142419
1.715926136025917,17.345587294247657,-0.5102041,4007,6875.71602705585,0.14999999,-0.48318353,0.8970225839434678
1.7154937868125446,17.376929511170488,-0.67346936,4008,6875.699097544679,0.14999999,-0.636956,0.897047374609372
1.7150770313154995,17.31527900084102,-0.9591837,4009,6875.743818543838,0.14999999,-0.8416681,0.8970712711401659
1.7146694531235016,17.279311518596217,-0.5510204,4010,6875.8245070252415,0.14999999,-0.3839839,0.8970946414493404
1.7142541439470558,17.311135653600626,-1.0,4011,6875.873371371641,0.14999999,-0.8618063,0.897118455048907
1.7139277396203922,16.95528001462688,-0.06122449,4012,6876.278091357014,0.14999999,-0.23339815,0.8971371708933258
1.715539739056715,9.177118522416539,-0.2244898,4013,6884.460972834598,0.14999999,0.022625223,0.8970447397329863
1.7151020926635157,17.401172883245984,-0.3877551,4014,6884.419799951352,0.14999999,-0.62720585,0.897069834136266
1.7146655727366154,17.397525413841056,-0.46938777,4015,6884.382274537511,0.14999999,-0.5396615,0.8970948639485882
1.7142239318211099,17.418964343933034,-0.75510204,4016,6884.3233101935775,0.14999999,-0.54647225,0.8971201873955783
1.7138770438829032,17.039224915955096,-0.42857143,4017,6884.644085277622,0.14999999,-0.2726872,0.8971400777590076
1.7134363898344327,17.416670922871475,-0.63265306,4018,6884.587414354751,0.14999999,-0.5702137,0.8971653446195851
1.7130088085903485,17.365012630139976,-0.71428573,4019,6884.5824017246105,0.14999999,-0.77746236,0.8971898618927548
1.7125702369237668,17.410049291067757,-0.79591835,4020,6884.532352433543,0.14999999,-0.5912967,0.8972150093507012
1.712136042751382,17.393324530235013,-0.30612245,4021,6884.499027903307,0.14999999,-0.54839444,0.8972399058055399
1.7138919277533473,8.585694479344127,0.30612245,4022,6893.273333423963,0.14999999,0.23874521,0.8971392243260694
1.7135066258530953,17.19617761696001,-0.8367347,4023,6893.4371558070025,0.14999999,-1.0499101,0.897161317324937
1.7130960730979379,17.29855766089985,-0.59183675,4024,6893.498598146102,0.14999999,-0.3841802,0.8971848581939255
1.7126711008206728,17.357417342894767,-0.877551,4025,6893.501180803208,0.14999999,-0.653257,0.8972092258703742
1.7123490272137425,16.943997240680588,-0.26530612,4026,6893.9171835625275,0.14999999,-0.22693428,0.8972276933937073
1.7119258310947896,17.351861743810126,-0.9183673,4027,6893.925321818718,0.14999999,-0.8074469,0.897251959226216
