IWLastEpisode,IWMin,ReturnMax,IWMean,IWFirstEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,DenMISELogLast,ReturnStepMax,IWMax,TimeElapsed,ReturnAbsMax,Bound,LQGmu1_actor,ReturnMin,Iteration,LQGmu1_higher,MISE,DenMISEMeanLog,ReturnLastEpisode,ReturnMean
0.9845413,,17.296911,1.0139717,0.6540884,1180,0.11,0.3158893,1.1582808,19.081175,1.2966466,24.7945659160614,17.296911,16.301386,-0.1325528,,59,-0.1919192,16.301386,0.8384009,15.781068,15.667977
1.4409984,,17.296911,1.0052915,0.47588697,1200,0.11,0.31010747,0.6493537,19.081175,1.7044743,25.25784683227539,17.296911,16.388857,-0.2934984,,60,-0.21212122,16.388857,0.835473,17.159798,15.692841
1.1448447,,17.296911,1.0055845,0.48001125,1220,0.11,0.3014783,1.1529622,19.081175,1.6850145,25.619088172912598,17.296911,16.39827,-0.21052454,,61,-0.21212122,16.39827,0.8407471,16.881477,15.712326
1.5399415,,17.296911,1.0123184,0.4840711,1240,0.11,0.293056,0.28641236,19.081175,1.666601,26.018693208694458,17.296911,16.523827,-0.32958758,,62,-0.21212122,16.523827,0.83188015,17.18157,15.736023
1.0402862,,17.296911,1.0108111,0.4880681,1260,0.11,0.28483284,1.2074908,19.081175,1.6491513,26.424890518188477,17.296911,16.497961,-0.18048792,,63,-0.21212122,16.497961,0.83802044,16.601393,15.74976
1.0645474,,17.296911,1.0098312,0.49200362,1280,0.11,0.27680176,1.2020484,19.081175,1.632592,26.84821081161499,17.296911,16.482754,-0.18815318,,64,-0.21212122,16.482754,0.8438616,16.706337,15.764706
1.6726097,,17.296911,1.018322,0.49587908,1300,0.11,0.26895574,-0.5112997,19.081175,1.6726097,27.229618072509766,17.296911,16.640947,-0.38848186,,65,-0.21212122,16.640947,0.8231497,17.293434,15.788225
0.75271994,,17.296911,1.0124565,0.4996959,1320,0.11,0.2612881,0.958079,19.081175,1.655736,27.551132440567017,17.296911,16.533037,-0.090192825,,66,-0.21212122,16.533037,0.8254554,15.755541,15.787731
2.29885,,17.336594,1.0147692,0.35210234,1340,0.11,0.25379285,-0.80842316,19.122255,2.29885,27.953469038009644,17.336594,16.7697,-0.40724403,,67,-0.23232323,16.7697,0.80124104,17.336594,15.810847
0.86412555,,17.336594,1.0090348,0.35548943,1360,0.11,0.24421924,1.1956645,19.122255,2.2557635,28.252628087997437,17.336594,16.66761,-0.15631823,,68,-0.23232323,16.66761,0.8072306,16.436058,15.820042
1.0890965,,17.336594,1.0069679,0.35884124,1380,0.11,0.23483461,1.1767865,19.122255,2.2154434,28.582733154296875,17.336594,16.631449,-0.20714241,,69,-0.23232323,16.631449,0.81269276,16.766216,15.833755
1.1676875,,17.336594,1.0170875,0.517834,1400,0.11,0.22563307,1.125496,19.122255,1.5989189,28.916675090789795,17.336594,16.623304,-0.22587344,,70,-0.21212122,16.623304,0.8172384,16.793674,15.847468
1.1443683,,17.336594,1.0174254,0.52137476,1420,0.11,0.21881874,1.1519005,19.122255,1.5855441,29.304094552993774,17.336594,16.63165,-0.21831082,,71,-0.21212122,16.63165,0.8221805,16.802027,15.860912
