DenMISELogFirst,LQGmu1_actor,ReturnAbsMax,IWMean,ReturnLastEpisode,TimeElapsed,IWMax,Delta,IWMin,LQGsigma_higher,Iteration,ReturnMean,ReturnStepMax,Regret,LQGmu1_higher,ReturnMax,DenMISELogLast,IWFirstEpisode,DenMISEMeanLog,ReturnMin,Bound,IWLastEpisode,TimestepsSoFar,Regret/t
-0.72697365,0.33271047,0.93505776,1.0495198,0.91049486,40.8869686126709,7.3294654,2.0096763e-07,,0.14999999,55,0.67942965,0.9790224,15.712971,0.37373737,0.93505776,-0.6861093,0.032298114,-0.81986266,,3.262646,0.008881757,1100,0.28569037
-0.7444051,-0.7692369,0.93505776,1.0408119,0.44022578,41.454115867614746,5.0078406,1.9385428e-07,,0.14999999,56,0.67515814,0.9790224,16.237865,-0.83838385,0.93505776,-0.9212672,3.8637165e-05,-0.8214688,,3.253728,3.881106e-13,1120,0.28996187
-0.762104,0.8814061,0.93505776,1.2882682,0.9328253,42.343560457229614,8.394357,1.8711206e-07,,0.14999999,57,0.6796787,0.9790224,16.270157,0.8181818,0.93505776,-0.5369862,3.1125683e-08,-0.8161957,,3.2328465,2.1803116e-24,1140,0.28544134
-0.7794957,0.25456578,0.93505776,0.8723582,0.12874511,43.31483721733093,6.747692,1.8071556e-07,,0.14999999,58,0.67017984,0.9790224,17.10653,0.11111111,0.93505776,-1.071918,2.0128107,-0.8167149,,3.214541,1.4584413e-05,1160,0.29494017
-0.76247513,-0.3809173,0.93505776,0.94865745,0.46699855,44.13378667831421,5.31261,1.7464151e-07,,0.14999999,59,0.666736,0.9790224,17.604656,-0.2929293,0.93505776,-0.9072924,2.6465988,-0.8207754,,3.1797063,0.008432541,1180,0.298384
-0.73540163,-0.6503819,0.93505776,1.0750026,0.9308839,45.033862590789795,4.648146,1.6886865e-07,,0.14999999,60,0.6711385,0.9790224,17.63889,-0.67676765,0.93505776,-0.5992093,0.00409505,-0.8182726,,3.1649113,0.6923502,1200,0.2939815
-0.7518627,0.56022143,0.93505776,1.0682576,0.9344973,45.86922907829285,7.6881595,1.6337734e-07,,0.14999999,61,0.6754558,0.9790224,17.669518,0.5555556,0.93505776,-0.5182938,0.00032618662,-0.81246334,,3.1353595,4.117356e-14,1220,0.2896642
-0.76811785,-0.24498811,0.93505776,0.88310283,0.3445801,46.64411187171936,5.792617,1.581496e-07,,0.14999999,62,0.6701191,0.9790224,18.290054,-0.09090909,0.93505776,-0.96009755,5.70004,-0.81425786,,3.1072738,0.00056239724,1240,0.2950009
-0.6961658,-0.5776338,0.93505776,1.0109881,0.91859335,47.420276403427124,4.896524,1.5316883e-07,,0.14999999,63,0.6740632,0.9790224,18.336582,-0.41414142,0.93505776,-0.6399222,0.65663505,-0.8136713,,3.1201806,2.670492,1260,0.2910568
-0.70154536,-0.9963539,0.93505776,1.0432596,0.9342236,48.195780515670776,5.045396,1.484197e-07,,0.14999999,64,0.67812824,0.9790224,18.367474,-0.83838385,0.93505776,-0.5387787,3.7016198e-05,-0.8094759,,3.1054792,1.0060763,1280,0.28699178
-0.71704894,-1.0013565,0.93505776,0.86340004,0.9288664,48.97499418258667,7.5196652,1.4388809e-07,,0.14999999,65,0.68198574,0.9790224,18.403728,-1.0,0.93505776,-0.86756337,1.10102675e-07,-0.81003934,,3.0951242,6.3309445,1300,0.28313428
-0.73231643,0.6625978,0.93505776,1.0515038,0.92889464,49.75420069694519,7.1533656,1.3956085e-07,,0.14999999,66,0.68572676,0.9790224,18.439957,0.27272728,0.93505776,-0.80528253,0.22413841,-0.81241167,,3.072242,1.2829287e-15,1320,0.27939326
-0.743964,-0.55588603,0.93505776,1.0874547,0.2862254,50.534871101379395,4.657035,1.3542595e-07,,0.14999999,67,0.67976403,0.9790224,19.11885,-0.5959596,0.93505776,-1.0658118,0.027637472,-0.81593955,,3.061154,3.9888806e-15,1340,0.285356
