DenMISELogLast,ReturnAbsMax,ReturnMean,TimestepsSoFar,Delta,IWMax,LQGmu1_higher,Regret,ReturnMin,LQGmu1_actor,ReturnMax,IWMean,Bound,DenMISELogFirst,ReturnLastEpisode,LQGsigma_higher,IWMin,DenMISEMeanLog,IWLastEpisode,ReturnStepMax,IWFirstEpisode,Regret/t,Iteration,TimeElapsed
-0.6631536,0.92670065,0.6753698,1040,2.248251e-07,5.16507,-0.37373737,15.067013,,-0.2794688,0.92670065,0.89056265,3.3126395,-0.74036354,0.91957587,0.14999999,,-0.8573125,0.0017066046,0.9710588,1.8874382,0.28975022,52,35.115275621414185
-0.6576449,0.92670065,0.67977554,1060,2.1642118e-07,6.5331545,0.01010101,15.123257,,-0.07384062,0.92670065,0.86458945,3.3120189,-0.72375804,0.9088738,0.14999999,,-0.8559478,0.79650474,0.9710588,3.0379696,0.28534448,53,35.880953311920166
-0.7259921,0.92670065,0.68275654,1080,2.0847979e-07,4.8783393,-0.8181818,15.247627,,-0.8778868,0.92670065,1.0848097,3.2943015,-0.6867126,0.8407501,0.14999999,,-0.8565086,2.4719604e-05,0.9710588,0.00028320105,0.28236347,54,36.658174991607666
-0.5499287,0.92670065,0.6871061,1100,2.0096763e-07,5.3409653,-0.17171717,15.290768,,-0.39086908,0.92670065,1.0765201,3.2589865,-0.70505655,0.9219763,0.14999999,,-0.84982896,7.094767e-05,0.9710588,5.3409653,0.27801394,55,37.42071533203125
-0.65415853,0.92670065,0.6912232,1120,1.9385428e-07,8.120117,0.75757575,15.3382225,,0.4904283,0.92670065,1.3016902,3.2326357,-0.63039696,0.917667,0.14999999,,-0.8455068,9.549455e-13,0.9710588,4.982853e-08,0.2738968,56,38.18324017524719
-1.0337677,0.92670065,0.6856335,1140,1.8711206e-07,7.777068,0.3939394,15.930733,,0.26740664,0.92670065,1.0346168,3.257288,-0.64809656,0.37260735,0.14999999,,-0.8445139,6.080323,0.9710588,0.006604637,0.27948654,57,38.9539532661438
-0.9926872,0.92670065,0.6816092,1160,1.8071556e-07,5.1840105,-0.57575756,16.443626,,-0.37457722,0.92670065,1.0029382,3.2084498,-0.66537243,0.45222932,0.14999999,,-0.8471046,9.88096e-07,0.9710588,0.09737967,0.2835108,58,39.726603746414185
-0.66683316,0.92670065,0.6856662,1180,1.7464151e-07,5.130358,-0.35353535,16.487774,,-0.22245882,0.92670065,1.0193204,3.2182097,-0.6807893,0.9209728,0.14999999,,-0.8443731,5.130358,0.9710588,2.1486068,0.2794538,59,40.51330828666687
-0.62370723,0.92670065,0.68942505,1200,1.6886865e-07,8.058315,-1.0,16.541698,,-0.88335,0.92670065,1.0593988,3.188947,-0.6618268,0.9111945,0.14999999,,-0.8407306,7.2608923e-06,0.9710588,6.132361e-07,0.27569497,60,41.42402648925781
-0.5861419,0.92670065,0.6932487,1220,1.6337734e-07,4.7559013,-0.8181818,16.584152,,-0.7522031,0.92670065,1.0845385,3.1376414,-0.6783561,0.9226695,0.14999999,,-0.8361656,4.349008,0.9710588,0.00028084446,0.27187133,61,42.190035343170166
-0.53743714,0.92670065,0.69699603,1240,1.581496e-07,5.1522074,-0.21212122,16.623688,,-0.0059274286,0.92670065,1.096742,3.1232038,-0.694612,0.92558324,0.14999999,,-0.8303347,0.006968556,0.9710588,4.9281964,0.26812398,62,42.9659366607666
-0.82791835,0.92670065,0.6966043,1260,1.5316883e-07,7.018079,0.09090909,16.916492,,0.1935609,0.92670065,0.80190915,3.1349783,-0.63412637,0.67231506,0.14999999,,-0.8291673,4.9417286,0.9710588,1.3375982,0.2685157,63,43.73610711097717
-0.983695,0.92670065,0.6930635,1280,1.484197e-07,7.6030245,0.57575756,17.411617,,0.34867883,0.92670065,1.3945816,3.0722344,-0.62886524,0.46999457,0.14999999,,-0.83496594,0.27686664,0.9710588,3.7427788e-05,0.27205652,64,44.490846157073975
-1.0274978,0.92670065,0.6889954,1300,1.4388809e-07,7.3562517,0.2929293,17.948097,,0.25508487,0.92670065,0.9314447,3.0778372,-0.6443689,0.42864117,0.14999999,,-0.83266693,6.935217,0.9710588,0.061096586,0.2761246,65,45.26961827278137
-0.9385124,0.92670065,0.6854541,1320,1.3956085e-07,4.9116592,-0.7171717,18.457954,,-0.8236197,0.92670065,1.0404589,3.0506926,-0.65869683,0.45526227,0.14999999,,-0.83568156,5.1226503e-09,0.9710588,0.0043498,0.27966595,66,46.05243897438049
-0.5448148,0.92670065,0.6890125,1340,1.3542595e-07,15.073073,1.0,18.499199,,1.0623155,0.92670065,0.5869003,3.017757,-0.6736688,0.9238747,0.14999999,,-0.831021,3.683019e-32,0.9710588,7.73604e-13,0.2761075,67,46.82991647720337
-1.5325603,0.92670065,0.67906237,1360,1.3147212e-07,4.7256684,-0.85858583,19.45192,,-0.83928984,0.92670065,1.1200694,3.0190601,-0.6884839,0.012392829,0.14999999,,-0.847837,3.017051e-35,0.9710588,8.285232e-05,0.28605765,68,47.61537837982178
-0.512425,0.92670065,0.6826096,1380,1.2768895e-07,5.2440696,-0.41414142,19.493221,,-0.35597387,0.92670065,0.91490835,3.0062828,-0.7030815,0.92382646,0.14999999,,-0.84156597,0.07997135,0.9710588,1.179599,0.2825104,69,48.39502000808716
-0.6306827,0.92670065,0.6859578,1400,1.2406676e-07,5.9746137,-0.05050505,19.541359,,-0.03185322,0.92670065,0.9887835,2.9938555,-0.7005191,0.9169819,0.14999999,,-0.839989,0.6283119,0.9710588,4.243996,0.27916223,70,49.174118518829346
-0.7489317,0.92670065,0.6873238,1420,1.2059652e-07,8.181865,-1.0,19.72353,,-1.0823443,0.92670065,0.99743545,2.9608755,-0.655842,0.78294665,0.14999999,,-0.83917075,5.059697e-09,0.9710588,6.0957666e-07,0.2777962,71,49.95949625968933
-1.0350274,0.92670065,0.6904796,1440,1.1726989e-07,5.070439,-0.23232323,19.774109,,0.027730763,0.92670065,1.0426846,2.9311254,-0.66982824,0.9145404,0.14999999,,-0.84227777,7.964152e-07,0.9710588,4.5176277,0.27464044,72,50.739999771118164
-0.8231244,0.92670065,0.6878683,1460,1.1407902e-07,7.0374885,0.15151516,20.239372,,0.25529575,0.92670065,0.92354095,2.9410143,-0.62276655,0.49985763,0.14999999,,-0.84169424,4.309424,0.9710588,0.631945,0.27725172,73,51.51931309700012
-0.96264756,0.92670065,0.68472433,1480,1.1101664e-07,7.413807,0.41414142,20.749283,,0.12365058,0.92670065,1.1542362,2.9162247,-0.62775266,0.45521158,0.14999999,,-0.84463525,3.975375,0.9710588,0.003924861,0.2803957,74,52.3096399307251
-0.8656536,0.92670065,0.68200094,1500,1.0807592e-07,5.0867395,-0.61616164,21.233932,,-0.55493206,0.92670065,0.9193336,2.903545,-0.64112264,0.48046964,0.14999999,,-0.843287,3.3003995e-05,0.9710588,0.042898133,0.28311908,75,53.09317493438721
-0.6343763,0.92670065,0.6851968,1520,1.0525054e-07,8.280193,0.8181818,21.274162,,0.95137393,0.92670065,0.923807,2.8993268,-0.6537961,0.9248888,0.14999999,,-0.8417813,3.1911571e-18,0.9710588,4.046202e-09,0.2799232,76,53.891112089157104
-1.2643436,0.92670065,0.6770711,1540,1.02534514e-07,7.9558167,-1.0,22.179764,,-1.0563228,0.92670065,1.0148785,2.891221,-0.66686815,0.05951917,0.14999999,,-0.848624,1.6760857e-36,0.9710588,6.163353e-07,0.28804892,77,54.67999792098999
-0.90649533,0.92670065,0.6801401,1560,9.9922275e-08,5.9253483,-0.01010101,22.228432,,0.034698132,0.92670065,1.0523936,2.8709345,-0.67977154,0.91644806,0.14999999,,-0.84949327,1.7977211e-10,0.9710588,3.3351796,0.28497994,78,55.4711651802063
-0.77561635,0.92670065,0.6779259,1580,9.74086e-08,5.3038635,-0.45454547,22.68834,,-0.65280163,0.92670065,0.89597833,2.8643684,-0.6506408,0.505219,0.14999999,,-0.8481656,0.028288545,0.9710588,0.6753093,0.28719413,79,56.260998487472534
-0.6145821,0.92670065,0.6810123,1600,9.49886e-08,4.668411,-0.7979798,22.728622,,-0.5821831,0.92670065,1.0817146,2.8739197,-0.6547077,0.92483586,0.14999999,,-0.846712,3.0783463,0.9710588,0.0004939227,0.28410774,80,57.05163550376892
-0.620085,0.92670065,0.6840382,1620,9.265769e-08,4.81921,-0.61616164,22.767624,,-0.38799584,0.92670065,0.991856,2.8371494,-0.66712403,0.9261198,0.14999999,,-0.84310967,4.81921,0.9710588,0.044028174,0.2810818,81,57.845728635787964
-0.6400306,0.92670065,0.68692297,1640,9.041153e-08,5.054699,-0.37373737,22.812157,,-0.2844853,0.92670065,0.9496851,2.8046951,-0.6788507,0.9205851,0.14999999,,-0.8409117,5.0213265,0.9710588,1.7748353,0.27819705,82,58.64535140991211
-0.6126492,0.92670065,0.6896725,1660,8.8246054e-08,7.1927905,0.23232323,22.862144,,0.26440975,0.92670065,0.99303234,2.801968,-0.66955864,0.9151382,0.14999999,,-0.83893317,0.012977654,0.9710588,0.19191022,0.2754475,83,59.4405562877655
-0.9398597,0.92670065,0.6868548,1680,8.6157456e-08,8.031543,0.6363636,23.374283,,0.81865895,0.92670065,1.1509525,2.7892666,-0.6792253,0.45298016,0.14999999,,-0.8404777,0.3146178,0.9710588,5.0953004e-06,0.27826524,84,60.232107400894165
-1.1712401,0.92670065,0.6807763,1700,8.4142165e-08,7.922091,-1.0,24.169216,,-1.2910769,0.92670065,0.9951829,2.7882652,-0.6910597,0.17018476,0.14999999,,-0.8429979,1.0295295e-31,0.9710588,6.314274e-07,0.28434372,85,61.020875692367554
-2.9196186,0.92670065,0.6834284,1720,8.219674e-08,5.3879156,-0.15151516,24.225475,,0.108094275,0.92670065,1.041233,2.78307,-0.70275575,0.9088592,0.14999999,,-0.86746234,1.445468e-11,0.9710588,5.370343,0.2816916,86,61.82016372680664
-0.8727319,0.92670065,0.6811141,1740,8.031802e-08,7.5879846,-1.0,24.708515,,-1.0373445,0.92670065,1.0269339,2.7466633,-0.6537429,0.48207626,0.14999999,,-0.8672417,8.987809e-12,0.9710588,6.082985e-07,0.28400594,87,62.61507725715637
-0.7901414,0.92670065,0.68379784,1760,7.850298e-08,15.765469,1.0,24.756355,,1.1313998,0.92670065,0.78988224,2.7449725,-0.6651716,0.9172857,0.14999999,,-0.86631864,,0.9710588,7.6705835e-13,0.28132218,88,63.31197142601013
-1.9872057,0.92670065,0.67622185,1780,7.674878e-08,6.3128004,0.07070707,25.71194,,-0.18231602,0.92670065,1.0774657,2.7422361,-0.6764712,0.00953317,0.14999999,,-0.8816818,2.69044e-10,0.9710588,1.7213333,0.28889817,89,64.40213871002197
-0.6605607,0.92670065,0.6787013,1800,7.505273e-08,5.1003737,-0.3131313,25.777687,,-0.20824474,0.92670065,0.98418325,2.7361226,-0.6684883,0.89937294,0.14999999,,-0.8785936,3.5200014,0.9710588,2.9342434,0.28641874,90,64.99870538711548
-0.62310064,0.92670065,0.6811939,1820,7.3412274e-08,5.035616,-0.5959596,25.837276,,-0.4281534,0.92670065,0.92257404,2.7063737,-0.64745563,0.9055283,0.14999999,,-0.87611383,0.1756564,0.9710588,0.06484503,0.28392613,91,68.67815256118774
-0.6098406,0.92670065,0.68382597,1840,7.182504e-08,5.048434,-0.1919192,25.879051,,-0.030285195,0.92670065,1.0619835,2.7084527,-0.65767235,0.923343,0.14999999,,-0.87419164,1.4160557,0.9710588,4.9634314,0.28129405,92,71.04302310943604
-0.7184914,0.92670065,0.68466824,1860,7.028872e-08,7.6492286,0.3939394,26.08202,,0.3994808,0.92670065,1.0251495,2.6957119,-0.61593795,0.76216036,0.14999999,,-0.87201476,0.10000011,0.9710588,0.0063956184,0.28045177,93,72.7889518737793
-1.0054042,0.92670065,0.6817541,1880,6.880116e-08,7.540728,-1.0,26.636398,,-0.5925417,0.92670065,1.029617,2.6924849,-0.62656444,0.4107357,0.14999999,,-0.87340575,9.110614e-19,0.9710588,5.9198834e-07,0.2833659,94,74.64501667022705
-0.6274956,0.92670065,0.6843122,1900,6.736033e-08,4.9782314,-0.47474748,26.676743,,-0.8729714,0.92670065,0.9549337,2.6976912,-0.6371466,0.9247816,0.14999999,,-0.8707344,3.6595237,0.9710588,0.50361365,0.2808078,95,76.24127340316772
-0.57078147,0.92670065,0.68679637,1920,6.5964315e-08,4.7380548,-0.7777778,26.71907,,-1.0395747,0.92670065,0.9900444,2.6847987,-0.6423307,0.92277884,0.14999999,,-0.8681986,3.8481364,0.9710588,0.00086271873,0.27832365,96,77.83589601516724
-0.818249,0.92670065,0.6891689,1940,6.461123e-08,5.7433186,-0.030303031,26.767258,,0.15409538,0.92670065,1.0793289,2.6631284,-0.65268445,0.9169296,0.14999999,,-0.8679064,8.9001506e-10,0.9710588,3.6569316,0.27595115,97,79.76928234100342
-0.90629727,0.92670065,0.68698275,1960,6.329935e-08,7.267619,-1.0,27.257454,,-0.9846238,0.92670065,1.0484692,2.649396,-0.62593395,0.47494215,0.14999999,,-0.8676664,9.202734e-13,0.9710588,5.916153e-07,0.27813727,98,81.78099656105042
