ReturnMean,Bound,DenMISELogFirst,IWMin,ReturnMax,Delta,LQGsigma_higher,LQGmu1_higher,IWMax,IWFirstEpisode,ReturnStepMax,TimeElapsed,ReturnLastEpisode,IWLastEpisode,TimestepsSoFar,Iteration,LQGmu1_actor,IWMean,ReturnMin,DenMISELogLast,Regret,Regret/t,DenMISEMeanLog,ReturnAbsMax
0.727412,3.0770142,-0.72926855,,0.9440862,1.3147212e-07,0.14999999,1.0,15.4882145,2.6494787e-12,0.9876555,59.14177846908569,0.9382388,,1360,68,1.1402013,1.0141684,,-1.1566625,16.164143,0.23770803,-0.84907585,0.9440862
0.71736324,3.0680335,-0.74386734,,0.9440862,1.2768895e-07,0.14999999,-0.09090909,5.941271,5.411283,0.9876555,60.205230474472046,0.034044866,4.5657458e-14,1380,69,-0.17305611,0.88354284,,-1.9849398,17.095222,0.24775678,-0.8664631,0.9440862
0.7203331,3.0578701,-0.682755,,0.9440862,1.2406676e-07,0.14999999,-0.3131313,4.6024885,2.4938064,0.9876555,61.228647232055664,0.9252588,3.2567923,1400,70,-0.2459013,1.1699566,,-0.6385848,17.135086,0.24478692,-0.865089,0.9440862
0.7233141,3.0286274,-0.6619338,,0.9440862,1.2059652e-07,0.14999999,-1.0,7.45977,2.5329544e-07,0.9876555,62.23640060424805,0.9319807,1.4744626e-05,1420,71,-0.93771255,1.0443516,,-0.53418577,17.16822,0.24180591,-0.8583506,0.9440862
0.7263424,3.0127628,-0.67592,,0.9440862,1.1726989e-07,0.14999999,0.65656567,8.788822,5.6351173e-06,0.9876555,63.29476308822632,0.9413522,1.4532597e-24,1440,72,0.609922,0.766013,,-0.6163197,17.19199,0.23877764,-0.85478395,0.9440862
0.72095144,3.0110044,-0.68971324,,0.9440862,1.1407902e-07,0.14999999,-0.8181818,4.849424,0.00014147317,0.9876555,64.31028532981873,0.33280674,1.6196993e-19,1460,73,-0.7033787,1.0181946,,-1.0767348,17.824303,0.24416858,-0.8613735,0.9440862
0.7239578,3.0100791,-0.7033169,,0.9440862,1.1101664e-07,0.14999999,0.17171717,6.993315,0.71290624,0.9876555,65.27159023284912,0.94341755,1.9871757e-07,1480,74,-0.06742716,1.0557115,,-0.6080556,17.846008,0.24116224,-0.85794127,0.9440862
0.72645724,3.0314932,-0.7071522,,0.9440862,1.0807592e-07,0.14999999,-0.1919192,5.0910425,4.950581,0.9876555,68.91390347480774,0.911416,4.1024117,1500,75,-0.029661939,1.1115588,,-0.7777996,17.899712,0.23866278,-0.8565159,0.9440862
0.7283668,2.9745038,-0.65647686,,0.9440862,1.0525054e-07,0.14999999,-0.57575756,5.044168,0.061703555,0.9876555,71.35875797271729,0.87158275,0.0077133523,1520,76,-0.5680896,0.94396067,,-0.7841374,17.993244,0.23675323,-0.8543603,0.9440862
0.731137,2.974283,-0.66873735,,0.9440862,1.02534514e-07,0.14999999,-0.01010101,6.050441,3.7760243,0.9876555,73.07045459747314,0.94167185,0.00476656,1540,77,-0.12723242,0.9283009,,-0.5946064,18.016693,0.23398304,-0.85187936,0.9440862
0.73361874,2.959963,-0.633766,,0.9440862,9.9922275e-08,0.14999999,0.43434343,7.783401,0.0042546447,0.9876555,75.22305583953857,0.9247133,0.004545016,1560,78,0.4097441,1.0300562,,-0.63626003,18.057098,0.23150128,-0.85023147,0.9440862
0.72978055,2.9401603,-0.64645046,,0.9440862,9.74086e-08,0.14999999,-0.21212122,4.7458296,4.3663783,0.9876555,78.10147881507874,0.43040216,0.0013103079,1580,79,-0.2873015,1.137539,,-0.978026,18.59182,0.23533946,-0.8518071,0.9440862
