LQGsigma_higher,IWMin,ReturnStepMax,ReturnLastEpisode,Regret,ReturnMax,LQGmu1_actor,IWMax,DenMISELogFirst,ReturnMin,IWMean,Regret/t,DenMISELogLast,ReturnMean,LQGmu1_higher,Iteration,DenMISEMeanLog,IWLastEpisode,TimestepsSoFar,TimeElapsed,ReturnAbsMax,Delta,Bound,IWFirstEpisode
0.14999999,,0.97448486,0.9302682,12.6392765,0.9302682,-0.9652432,7.9207726,-0.7534855,,1.0902562,0.30827504,-0.63898665,0.656845,-1.0,41,-0.89386946,0.38413516,820,31.17534327507019,0.9302682,3.6164613e-07,3.6281357,9.720892e-10
0.14999999,,0.97448486,0.9253799,12.67902,0.9302682,0.41812366,7.9192715,-0.77758306,,0.621412,0.30188137,-0.65512276,0.66323864,0.41414142,42,-0.8874423,2.2201344e-18,840,32.147655963897705,0.9302682,3.4462983e-07,3.5652225,0.14247051
0.14999999,,0.97448486,0.4066639,13.237473,0.9302682,-0.60008025,5.287389,-0.79772717,,0.97100973,0.30784822,-0.9521783,0.6572718,-0.53535354,43,-0.89813834,1.159978e-08,860,32.60976266860962,0.9302682,3.2878697e-07,3.5440273,0.008798758
0.14999999,,0.97448486,0.9302624,13.272333,0.9302682,-0.13367963,5.5460234,-0.82051206,,1.1501727,0.3016439,-0.6002224,0.6634761,-0.07070707,44,-0.8926929,0.009570569,880,33.06371283531189,0.9302682,3.140119e-07,3.517577,5.303836
0.14999999,,0.97448486,0.88197595,13.355476,0.9302682,-0.7906036,5.201042,-0.72917265,,0.9611519,0.29678833,-0.6640094,0.6683317,-0.7979798,45,-0.88508546,0.00028461873,900,33.51941967010498,0.9302682,3.0021093e-07,3.517381,3.2025393e-06
0.14999999,,0.97448486,0.9291121,13.391481,0.9302682,0.4029523,6.7230353,-0.7511515,,1.0134941,0.29111922,-0.5846733,0.6740008,0.1919192,46,-0.8799173,2.302218e-09,920,34.26669645309448,0.9302682,2.8730017e-07,3.446573,2.6117158
0.14999999,,0.97448486,0.4124993,13.944103,0.9302682,0.5362699,8.031119,-0.7174345,,0.895026,0.296683,-0.97858685,0.668437,0.5959596,47,-0.88252634,3.0924082,940,34.72816824913025,0.9302682,2.7520463e-07,3.4368868,0.0023752148
0.14999999,,0.97448486,0.3538422,14.555382,0.9302682,-0.1062396,5.4749775,-0.7384374,,1.002302,0.30323714,-0.9521325,0.6618829,-0.25252524,48,-0.88700944,6.8155346e-06,960,35.215052366256714,0.9302682,2.6385726e-07,3.4393892,1.2624424
0.14999999,,0.97448486,0.8802604,14.640244,0.9302682,-1.2055075,7.8849506,-0.73309577,,1.0580522,0.29878044,-0.6705641,0.6663396,-1.0,49,-0.88314664,1.0156802e-07,980,36.18502473831177,0.9302682,2.531974e-07,3.3950152,9.524694e-10
0.14999999,,0.97448486,0.9146218,14.690739,0.9302682,0.8567461,14.485942,-0.75329846,,1.059531,0.29381478,-1.8779986,0.67130524,1.0,50,-0.9028053,,1000,37.14398956298828,0.9302682,2.4317083e-07,3.3744335,1.6355963e-09
0.14999999,,0.97448486,0.14471202,15.511147,0.9302682,-0.59616697,5.206507,-0.7731011,,0.99035376,0.3041401,-1.0946968,0.6609799,-0.6363636,51,-0.90699214,2.4240916e-21,1020,38.16679048538208,0.9302682,2.3372819e-07,3.3515725,0.00060264993
0.14999999,,0.975632,0.93145394,15.544815,0.93145394,0.25011578,5.6229005,-0.79250735,,1.1649505,0.29893875,-0.6164418,0.66618127,-0.05050505,52,-0.9021021,0.006591489,1040,38.99806475639343,0.93145394,2.248251e-07,3.312275,5.474491
0.14999999,,0.975632,0.46024907,16.049683,0.93145394,0.59429866,6.7124224,-0.711458,,0.9346814,0.3028242,-0.95059246,0.6622958,0.33333334,53,-0.90054494,5.899581,1060,39.96219277381897,0.93145394,2.1642118e-07,3.275335,0.49981946
0.14999999,,0.975632,0.32310918,16.691696,0.93145394,-0.50784945,5.3006287,-0.7207638,,0.8974789,0.30910546,-1.0492438,0.65601456,-0.45454547,54,-0.90503144,1.8352597e-10,1080,40.92876863479614,0.93145394,2.0847979e-07,3.2721877,0.049218718
0.14999999,,0.975632,0.9288091,16.728008,0.93145394,-0.98774236,7.622874,-0.7382019,,1.0723106,0.30414563,-0.6166637,0.6609744,-1.0,55,-0.90198517,0.02264882,1100,41.9620087146759,0.93145394,2.0096763e-07,3.2676997,9.573451e-10
0.14999999,,0.975632,0.92459255,16.76854,0.93145394,0.7510663,8.611047,-0.7562204,,1.0511601,0.29943818,-0.7011222,0.66568184,0.7777778,56,-0.8978811,4.431842e-30,1120,42.75668811798096,0.93145394,1.9385428e-07,3.253064,1.0059249e-05
0.14999999,,0.975632,0.22430816,17.509346,0.93145394,-0.7650806,5.1341147,-0.7739198,,0.9494082,0.30718154,-1.0449914,0.6579385,-0.7777778,57,-0.900256,2.0930153e-22,1140,43.21260166168213,0.93145394,1.8711206e-07,3.2332714,6.8302334e-06
0.14999999,,0.975632,0.9292524,17.545212,0.93145394,-0.46475822,4.9555244,-0.79131144,,1.0233117,0.3025037,-0.59478277,0.6626163,-0.5959596,58,-0.89618254,2.553248,1160,43.666515827178955,0.93145394,1.8071556e-07,3.1664684,0.0018752986
0.14999999,,0.975632,0.92760503,17.58273,0.93145394,-0.20494866,5.5177746,-0.8083735,,0.93968755,0.29801238,-0.6263368,0.66710764,-0.25252524,59,-0.8916141,1.8286285,1180,44.1200966835022,0.93145394,1.7464151e-07,3.1783857,1.3538933
0.14999999,,0.975632,0.90881723,17.63903,0.93145394,0.54538596,7.8452063,-0.8024926,,1.0339608,0.29398388,-0.66761744,0.67113614,0.53535354,60,-0.8892385,2.6641686e-05,1200,44.57337546348572,0.93145394,1.6886865e-07,3.1503808,0.011681744
0.14999999,,0.975632,0.34922305,18.254929,0.93145394,0.23333557,6.531472,-0.8188273,,1.0679504,0.2992611,-0.9773179,0.6658589,0.09090909,61,-0.8907662,0.07175596,1220,45.14205002784729,0.93145394,1.6337734e-07,3.1426458,5.1358795
0.14999999,,0.975632,0.4670535,18.75299,0.93145394,-0.87090945,7.524077,-0.7542502,,1.0485641,0.30246758,-0.90887576,0.66265243,-1.0,62,-0.8904857,1.3780293e-14,1240,45.62009620666504,0.93145394,1.581496e-07,3.116859,9.728329e-10
0.14999999,,0.975632,0.9275428,18.790573,0.93145394,-0.3546732,5.2060256,-0.77025056,,0.9271895,0.298263,-0.6048428,0.666857,-0.43434343,63,-0.885759,0.07048834,1260,46.10044002532959,0.93145394,1.5316883e-07,3.093843,0.07748397
