ReturnMin,IWMax,IWFirstEpisode,Regret/t,TimeElapsed,ReturnMax,TimestepsSoFar,Bound,ReturnMean,NumTrainableParams,MountainCar_std0_higher,Iteration,ReturnStepMax,Delta,Regret,MountainCar_std1_higher,DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,DenMISELogLast,IWMean,BoundBonus,AvgEpLen,NumTrajectories,ActionIn1,ReturnLastEpisode,MountainCar_mu1_higher,MinEpLen,IWMin,MountainCar_mu0_higher,DenMISELogFirst,BoundMISE,GridSize
-9.966432,23.713692,0.12472951,5.7368784,24.21970844268799,9.443005,44020,43.426403,-0.73687834,,0.14999999,51,107.17791,2.7497433e-06,292.5808,3.0,-4.23638,9.966432,2.300513e-05,-4.2981052,0.7521652,43.678104,863.1372549019608,51,-7.2719254,-1.4018939,-10.0,229,,-0.33333334,-3.8434434,-0.25169957,16
-9.966432,18.055155,0.0028159728,5.7232456,24.731980085372925,9.443005,45019,43.384945,-0.7232455,,0.14999999,52,107.17791,2.6450014e-06,297.60876,3.0,-4.2393603,9.966432,6.312579e-08,-4.0517797,0.98075,45.178135,865.75,52,-3.823985,-0.027967507,-3.3333333,229,,-1.0,-3.8604188,-1.7931886,16
-9.966432,21.461206,6.4888976e-05,5.757986,25.25838351249695,9.443005,46018,43.193466,-0.7579862,,0.14999999,53,107.17791,2.5461316e-06,305.17328,3.0,-4.2454505,9.966432,6.620348e-23,-4.4471617,0.9828481,43.740414,868.2641509433962,53,9.928826,-2.564504,3.3333333,229,,0.33333334,-3.879413,-0.546949,16
-9.966432,20.517681,1.3126823e-06,5.688616,25.544860124588013,9.443005,46351,43.256073,-0.68861574,,0.14999999,54,107.17791,2.4527033e-06,307.18524,3.0,-4.2375803,9.966432,7.6294375e-09,-3.716747,1.0305153,43.873295,858.3518518518518,54,-14.151241,2.9880164,-10.0,229,,0.33333334,-3.898104,-0.61722237,16
-9.966432,14.074664,6.7578006,5.6837707,26.194981336593628,9.443005,47350,43.041134,-0.6837708,,0.14999999,55,107.17791,2.3643252e-06,312.6074,3.0,-4.2536893,9.966432,2.1173719e-11,-5.054396,0.93634045,43.018444,860.9090909090909,55,-3.6432354,-0.42214304,3.3333333,229,,-0.33333334,-3.916453,0.022688402,16
-9.966432,20.400545,2.6719013e-18,5.6808157,26.7005934715271,9.443005,48349,42.858135,-0.68081564,,0.14999999,56,107.17791,2.2806387e-06,318.12567,3.0,-4.2551694,9.966432,2.1940242e-20,-4.2124815,0.667272,45.523636,863.375,56,-0.05319631,-0.5182813,-3.3333333,229,,1.0,-3.8185844,-2.6655004,16
-9.966432,20.975079,0.000103444676,5.735035,27.201672315597534,9.443005,49348,42.907124,-0.7350347,,0.14999999,57,107.17791,2.2013185e-06,326.89697,3.0,-4.25091,9.966432,0.0030745275,-3.625337,1.6148738,43.910362,865.7543859649123,57,-2.4802132,-3.7713017,-3.3333333,229,,0.33333334,-3.836284,-1.0032405,16
-9.966432,19.218163,1.6626136e-18,5.725466,27.83626079559326,9.443005,50347,41.720684,-0.72546583,,0.14999999,58,107.17791,2.1260653e-06,332.07703,3.0,-4.236517,9.966432,6.192904e-06,-3.8516872,1.0495676,45.64644,868.051724137931,58,7.5234556,-0.1800428,3.3333333,229,,1.0,-3.853674,-3.9257543,16
-9.966432,15.943612,10.745647,5.8337655,28.34474492073059,9.443005,51346,40.661343,-0.8337653,,0.14999999,59,107.17791,2.0546058e-06,344.19214,3.0,-4.239532,9.966432,6.415762e-21,-4.362595,1.1624997,41.058216,870.271186440678,59,-2.6956306,-7.1151323,-3.3333333,229,,-0.33333334,-3.8707683,-0.39687356,16
-9.966432,19.879875,6.3322354e-06,5.8219147,28.906928539276123,9.443005,52345,39.48111,-0.82191455,,0.14999999,60,107.17791,1.98669e-06,349.31488,3.0,-4.231799,9.966432,3.2991212e-09,-3.8423955,0.95781934,36.34847,872.4166666666666,60,3.7305517,-0.122721106,10.0,229,,-1.0,-3.7202578,3.1326425,16
-9.966432,17.707743,0.024313392,5.8357115,29.39400339126587,9.443005,53093,38.644928,-0.8357113,,0.14999999,61,107.17791,1.9220863e-06,355.9784,3.0,-4.230441,9.966432,0.0016339845,-3.9952981,0.9833246,36.180042,870.3770491803278,61,9.845501,-1.6635199,10.0,229,,-0.33333334,-3.736787,2.4648838,16
-9.966432,17.461092,2.4614238e-07,5.7513843,29.613759994506836,9.443005,53395,37.668655,-0.75138414,,0.14999999,62,107.17791,1.8605837e-06,356.58582,3.0,-4.222834,9.966432,0.0005602218,-3.660039,0.922123,36.22472,861.2096774193549,62,2.0595183,4.392577,10.0,229,,0.33333334,-3.752649,1.4439341,16
-9.966432,19.715385,0.11574082,5.743183,30.218397855758667,9.443005,54394,36.12822,-0.7431831,,0.14999999,63,107.17791,1.8019862e-06,361.82053,3.0,-4.2201405,9.966432,2.490088e-06,-3.8901782,0.61723524,36.310947,863.3968253968254,63,-7.7939754,-0.23472229,-10.0,229,,-0.33333334,-3.7686493,-0.18272778,16
