AvgEpLen,Regret,TimeElapsed,BoundBonus,ActionIn1,IWFirstEpisode,Iteration,NumTrainableParams,IWMax,ReturnStepMax,ReturnLastEpisode,ReturnAbsMax,ReturnMean,IWLastEpisode,NumTrajectories,IWMean,Bound,MountainCar_std1_higher,TimestepsSoFar,DenMISELogFirst,ReturnMax,MountainCar_mu1_higher,IWMin,DenMISEMeanLog,MountainCar_std0_higher,Delta,BoundMISE,ReturnMin,Regret/t,GridSize,MountainCar_mu0_higher,MinEpLen,DenMISELogLast
842.4347826086956,265.94934,21.7284836769104,118.42914,-10.109527,4.5151627e-10,46,,14.281134,99.11324,-0.28424168,19.432583,-0.7815075,0.014056607,46,0.44425902,118.19726,3.0,38752,-4.865803,19.432583,-10.0,,-4.2607417,0.14999999,3.3800018e-06,-0.23188181,-8.619729,5.7815075,16,0.33333334,157,-3.9259708
845.7659574468086,271.83414,22.239402770996094,118.63114,-9.198898,0.03988258,47,,41.609726,99.11324,-0.88478345,19.432583,-0.7837049,3.971688e-06,47,2.0448477,117.58572,3.0,39751,-4.8873086,19.432583,-10.0,,-4.2877593,0.14999999,3.2377015e-06,-1.0454291,-8.619729,5.7837048,16,-0.33333334,157,-4.9436765
848.9583333333334,277.69406,22.798509120941162,84.61196,12.5662365,2.7180244e-10,48,,16.767624,99.11324,-0.8599385,19.432583,-0.7852931,5.176466e-16,48,0.9067076,89.73837,3.0,40750,-4.907514,19.432583,10.0,,-4.3042045,0.14999999,3.1042032e-06,5.126413,-8.619729,5.785293,16,0.33333334,157,-5.6928825
836.6122448979592,274.7363,22.958401203155518,84.749405,7.1641173,0.02398708,49,,14.12325,99.11324,7.9577546,19.432583,-0.6068635,0.0012709245,49,0.98910445,86.65228,3.0,40994,-4.928133,19.432583,10.0,,-4.3013706,0.14999999,2.9787932e-06,1.9028778,-8.619729,5.6068635,16,-0.33333334,157,-3.9735854
833.34,279.71973,23.324153184890747,87.37639,-3.6082497,1.1228932,50,,11.905582,99.11324,0.016571762,19.432583,-0.59439474,1.5054239e-08,50,0.7828745,85.63406,3.0,41667,-4.9478464,19.432583,-3.3333333,,-4.2935405,0.14999999,2.8608335e-06,-1.742325,-8.619729,5.5943947,16,-1.0,157,-3.8203318
836.5882352941177,287.46027,23.956139087677002,88.28734,4.293951,1.443684e-24,51,,6.241762,99.11324,-2.7405436,19.432583,-0.6364761,,51,0.42189848,85.52735,3.0,42666,-4.94544,19.432583,3.3333333,,-4.307605,0.14999999,2.7497433e-06,-2.759986,-8.619729,5.636476,16,1.0,157,-4.744112
839.7115384615385,298.62213,24.616703271865845,85.15823,-1.0023664,4.169683,52,,18.604557,99.11324,-6.1618576,19.432583,-0.7427334,6.423878e-18,52,1.0856514,85.20134,3.0,43665,-4.964858,19.432583,3.3333333,,-4.3066106,0.14999999,2.6450014e-06,0.04310716,-8.619729,5.7427335,16,-0.33333334,157,-3.6701493
842.7169811320755,303.92676,25.085214376449585,85.28521,5.078096,4.5509967e-08,53,,15.760267,99.11324,-0.3046068,19.432583,-0.7344669,0.00021365784,53,0.74701476,85.20792,3.0,44664,-4.9067726,19.432583,3.3333333,,-4.300736,0.14999999,2.5461316e-06,-0.077291004,-8.619729,5.734467,16,0.33333334,157,-3.9900646
845.6111111111111,309.04987,25.716806888580322,86.86978,1.4063649,0.9143373,54,,19.389889,99.11324,-0.12312711,19.432583,-0.7231458,1.982139e-13,54,1.028739,85.27352,3.0,45663,-4.9254646,19.432583,3.3333333,,-4.2995486,0.14999999,2.4527033e-06,-1.5962616,-8.619729,5.723146,16,-1.0,157,-3.9325957
848.4,315.67255,26.219388961791992,85.53118,-3.7090564,5.5771572e-08,55,,13.970482,99.11324,-1.6226655,19.432583,-0.7395007,1.2005569e-14,55,0.8778562,85.25203,3.0,46662,-4.9270234,19.432583,-3.3333333,,-4.2884393,0.14999999,2.3643252e-06,-0.27915156,-8.619729,5.7395005,16,0.33333334,157,-3.6352336
