MountainCar_mu1_higher,MountainCar_mu0_higher,ReturnLastEpisode,IWLastEpisode,AvgEpLen,TimestepsSoFar,MountainCar_std1_higher,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,IWMin,MinEpLen,ReturnMax,ReturnMin,IWMax,BoundBonus,DenMISELogLast,Regret,MountainCar_std0_higher,Bound,Iteration,BoundMISE,ReturnMean,Delta,IWFirstEpisode,Regret/t,TimeElapsed,NumTrajectories,DenMISEMeanLog,IWMean,ActionIn1,NumTrainableParams,GridSize
-3.3333333,-0.33333334,-1.9720726,0.00029561616,859.925,34397,3.0,11.750882,118.33327,-4.806981,,243,8.218238,-11.750882,7.659527,71.33652,-3.3403056,251.16852,0.14999999,71.26645,40,-0.070066236,-1.2792128,4.4700523e-06,0.82516724,6.279213,20.837687015533447,40,-4.1701756,0.47476825,-4.4260144,,16
10.0,-0.33333334,-0.2976895,0.00030663825,863.3170731707318,35396,3.0,11.750882,118.33327,-4.8112545,,243,8.218238,-11.750882,11.424675,71.2037,-3.9598298,256.4662,0.14999999,71.31982,41,0.11611907,-1.2552732,4.2546603e-06,0.07383973,6.2552733,21.31810712814331,41,-4.178145,0.44814518,10.155932,,16
3.3333333,0.33333334,6.473678,1.1191773e-09,848.8571428571429,35652,3.0,11.750882,118.33327,-4.833553,,243,8.218238,-11.750882,16.480186,71.36857,-5.5044584,254.99252,0.14999999,71.30073,42,-0.06783739,-1.0712506,4.0544687e-06,6.693198e-09,6.0712504,21.52831196784973,42,-4.2234535,0.6790212,4.9087744,,16
3.3333333,-0.33333334,-0.40174848,0.00090037123,852.3488372093024,36651,3.0,11.750882,118.33327,-4.8570833,,243,8.218238,-11.750882,20.242762,71.25534,-3.9295516,260.3943,0.14999999,71.13969,43,-0.11565088,-1.0556808,3.868082e-06,3.0589983,6.0556808,22.07701301574707,43,-4.2255163,0.95619565,0.49293548,,16
-10.0,-0.33333334,-0.43957952,0.025370914,855.6818181818181,37650,3.0,11.750882,118.33327,-4.81135,,243,8.218238,-11.750882,17.828968,71.36095,-4.1813083,265.83386,0.14999999,71.218765,44,-0.1421801,-1.0416785,3.6942577e-06,0.0016846008,6.0416784,22.586769342422485,44,-4.228186,0.9681914,-9.124476,,16
-3.3333333,0.33333334,-0.51413935,4.105735e-06,858.8666666666667,38649,3.0,11.750882,118.33327,-4.8337846,,243,8.218238,-11.750882,19.266804,71.76407,-4.421243,271.348,0.14999999,71.29992,45,-0.46415287,-1.0299554,3.5318933e-06,1.898697e-09,6.0299554,23.100221395492554,45,-4.235595,1.0336092,-6.3707166,,16
3.3333333,-1.0,-0.41036636,9.380039e-20,861.9130434782609,39648,3.0,11.750882,118.33327,-4.8557634,,243,8.218238,-11.750882,23.939583,72.48083,-4.355796,276.75836,0.14999999,71.41123,46,-1.0695966,-1.016486,3.3800018e-06,3.59812,6.016486,23.673537015914917,46,-4.23956,1.3579541,6.224315,,16
-10.0,0.33333334,1.4627643,1.0878678e-25,850.468085106383,39972,3.0,11.750882,118.33327,-4.801958,,243,8.218238,-11.750882,24.974998,71.736244,-3.8100066,280.2956,0.14999999,70.726036,47,-1.0102112,-0.963736,3.2377015e-06,3.7384453e-12,5.963736,23.955437660217285,47,-4.226091,1.2552125,-4.7173367,,16
10.0,0.33333334,-0.8307361,5.4721524e-05,853.5625,40971,3.0,11.750882,118.33327,-4.8230114,,243,8.218238,-11.750882,18.658405,51.254833,-4.7215037,286.12634,0.14999999,53.375343,48,2.1205084,-0.96096516,3.1042032e-06,1.6736673e-10,5.960965,24.483838081359863,48,-4.2351193,0.8209036,8.443893,,16
10.0,-0.33333334,-0.28514528,0.0020079012,856.530612244898,41970,3.0,11.750882,118.33327,-4.843631,,243,8.218238,-11.750882,8.872005,51.338085,-3.7356887,291.41147,0.14999999,52.632854,49,1.2947677,-0.947173,2.9787932e-06,0.07626951,5.947173,25.0562686920166,49,-4.2303653,0.49198186,9.93426,,16
