IWMean,IWFirstEpisode,Regret/t,MountainCar_std1_higher,NumTrajectories,ReturnMax,ReturnMin,Delta,MountainCar_mu0_higher,DenMISELogFirst,TimeElapsed,Bound,Regret,ReturnStepMax,MountainCar_mu1_higher,IWMax,IWMin,DenMISELogLast,GridSize,ReturnLastEpisode,AvgEpLen,Iteration,MinEpLen,IWLastEpisode,TimestepsSoFar,ReturnAbsMax,ActionIn1,NumTrainableParams,DenMISEMeanLog,ReturnMean,MountainCar_std0_higher
2.1617832e+24,1.739666e-05,6.812946,1.5,72,,-2.8000343,5.863494e-07,-1.0,-29.158993,90.18324589729309,inf,490.5321,28.00704,-10.0,2.5331793e+25,,-12.574366,400,-1.7057295,999.0,72,999,163522.42,71928,2.8000343,-10.316855,,-27.667124,-1.8129457,0.14999999
2.1608744e+24,1.7638258e-05,6.8141804,1.5,73,,-2.8000343,5.703951e-07,-1.0,-29.172785,91.44303941726685,inf,497.43518,28.00704,-10.0,2.5683443e+25,,-8.700728,400,-1.9030946,999.0,73,999,3813.667,72927,2.8000343,-9.917733,,-27.410578,-1.8141806,0.14999999
2.159985e+24,1.7879902e-05,6.817254,1.5,74,,-2.8000343,5.550832e-07,-1.0,-29.186392,92.74674487113953,inf,504.4768,28.00704,-10.0,2.6035008e+25,,-26.815119,400,-2.041625,999.0,74,999,220041220000.0,73926,2.8000343,-12.077947,,-27.405706,-1.8172542,0.14999999
2.15911e+24,1.8121504e-05,6.815612,1.5,75,,-2.8000343,5.4037963e-07,-1.0,-29.199814,93.95145559310913,inf,511.17087,28.00704,-10.0,2.6386656e+25,,-26.602402,400,-1.6940678,999.0,75,999,178214520000.0,74925,2.8000343,-12.579917,,-27.398087,-1.8156116,0.14999999
2.1582623e+24,1.836315e-05,6.8249807,1.5,76,,-2.8000343,5.262527e-07,-1.0,-29.21306,95.30485010147095,inf,518.69855,28.00704,-10.0,2.6738258e+25,,-41.00277,400,-2.5276742,999.0,76,999,1.17250065e+17,75924,2.8000343,-10.424316,,-27.58011,-1.8249809,0.14999999
2.1574267e+24,1.860475e-05,6.8297048,1.5,77,,-2.8000343,5.126726e-07,-1.0,-29.226131,96.5521810054779,inf,525.88727,28.00704,-10.0,2.7089895e+25,,-8.427227,400,-2.188712,999.0,77,999,2337.7476,76923,2.8000343,-12.678158,,-27.3343,-1.8297048,0.14999999
2.1566132e+24,1.8846365e-05,6.8395524,1.5,78,,-2.8000343,4.9961136e-07,-1.0,-29.239035,97.91882610321045,inf,533.4851,28.00704,-10.0,2.7441446e+25,,-47.006355,400,-2.5978127,999.0,78,999,4.318252e+19,77922,2.8000343,-11.310861,,-27.589355,-1.8395523,0.14999999
2.1558089e+24,1.908799e-05,6.832535,1.5,79,,-2.8000343,4.8704305e-07,-1.0,-29.251774,99.2894675731659,inf,539.77026,28.00704,-10.0,2.7792997e+25,,-4.9724483,400,-1.2851906,999.0,79,999,37.083286,78921,2.8000343,-12.04467,,-27.30585,-1.832535,0.14999999
2.1550296e+24,1.9329613e-05,6.8439035,1.5,80,,-2.8000343,4.7494302e-07,-1.0,-29.264353,100.58647441864014,inf,547.5123,28.00704,-10.0,2.8144543e+25,,-13.157594,400,-2.7420301,999.0,80,999,68306.85,79920,2.8000343,-13.032524,,-27.131708,-1.8439038,0.14999999
2.4108834e+24,1.9571235e-05,6.847508,1.5,81,,-2.8000343,4.6328847e-07,-1.0,-29.276775,101.87581419944763,inf,554.64813,28.00704,-10.0,2.849619e+25,,-59.65649,400,-2.1358354,999.0,81,999,2.0786474e+25,80919,2.8000343,-11.602841,,-27.535892,-1.8475078,0.14999999
