ReturnMean,GridSize,LQGmu1_higher,Bound,IWMax,TimeElapsed,Iteration,IWMin,ReturnLastEpisode,Delta,LQGsigma_higher,IWLastEpisode,IWFirstEpisode,DenMISELogFirst,DenMISELogLast,TimestepsSoFar,ReturnAbsMax,Regret,Regret/t,ReturnMin,IWMean,LQGmu1_actor,ReturnMax,ReturnStepMax,DenMISEMeanLog
0.70483094,10,1.0,11.626588,20.801788,18.502062797546387,58,,0.9560181,1.8071556e-06,0.41111228,4.359008e-05,6.21154,-1.8862586,-1.1404878,1160,0.95648247,15.096764,0.26028907,,1.1353849,0.74381244,0.95648247,0.9994784,-0.7721352
0.6992621,10,1.0,11.487093,7.4224553,18.877394914627075,59,,0.37626633,1.7464151e-06,1.0,0.72721225,2.4052117,-1.8016131,-0.6332177,1180,0.95648247,15.685619,0.26585793,,0.7216361,1.0160148,0.95648247,0.9994784,-0.768598
0.6903843,10,-1.0,10.001135,4.4777713,19.185733795166016,60,,0.16660081,1.6886866e-06,0.41111228,6.9501116e-06,1.2342774e-05,-1.778463,-0.17695102,1200,0.95648247,16.484138,0.2747357,,0.6268625,-1.4116757,0.95648247,0.9994784,-0.763451
0.6947336,10,-1.0,9.676559,16.56688,19.512779235839844,61,,0.9556865,1.6337734e-06,1.0,16.56688,0.26455286,-1.7949921,-3.8110826,1220,0.95648247,16.493572,0.2703864,,0.81062275,-1.2448897,0.95648247,0.9994784,-0.81958944
0.698944,10,0.11111111,7.809788,10.734158,19.83327555656433,62,,0.9557785,1.581496e-06,0.1690133,4.344055e-13,5.229822e-07,-1.806925,-2.8609705,1240,0.95648247,16.502914,0.26617604,,0.95441484,0.1567209,0.95648247,0.9994784,-0.85600835
0.6994463,10,-0.11111111,7.4981294,6.5366087,20.14532160758972,63,,0.73058707,1.5316882e-06,0.26359713,2.402675,0.00024261986,-1.8229253,-0.9783825,1260,0.95648247,16.737446,0.2656737,,0.9873917,0.23950857,0.95648247,0.9994784,-0.85909075
0.6993745,10,0.33333334,6.878805,7.098691,20.567378759384155,64,,0.6948524,1.4841969e-06,0.26359713,6.937803,0.1379871,-1.8386699,-1.5859369,1280,0.95648247,17.007713,0.26574552,,1.0866833,0.30306816,0.95648247,0.9994784,-0.8709002
0.69853395,10,-0.11111111,6.394557,4.167257,20.981557846069336,65,,0.6447385,1.4388808e-06,0.41111228,1.0619555,0.080465674,-1.8520203,-0.5976497,1300,0.95648247,17.328094,0.26658607,,0.98744035,0.078644596,0.95648247,0.9994784,-0.8657
0.70143104,10,-1.0,6.199981,19.398397,21.29620599746704,66,,0.8897417,1.3956086e-06,0.6411804,0.27589163,0.018801685,-1.8660506,-0.6017789,1320,0.95648247,17.403473,0.26368898,,0.9960875,-0.8724117,0.95648247,0.9994784,-0.86200476
0.7052346,10,1.0,5.801683,11.052615,21.61155414581299,67,,0.9562683,1.3542596e-06,0.6411804,0.03933274,4.0311775,-1.8808037,-1.5027473,1340,0.95648247,17.412323,0.25988543,,0.8347154,1.9622844,0.95648247,0.9994784,-0.8723172
