NumTrainableParams,InvPendulum_mu2_higher,DenMISELogLast,Delta,InvPendulum_std1_higher,IWMin,BoundMISE,MinEpLen,ReturnLastEpisode,DenMISELogFirst,InvPendulum_std3_higher,InvPendulum_mu3_higher,BoundBonus,Regret,TimestepsSoFar,DenMISEMeanLog,TimeElapsed,ReturnMax,InvPendulum_mu0_higher,Bound,ReturnMin,IWMean,IWFirstEpisode,IWLastEpisode,ActionIn1,IWMax,AvgEpLen,GridSize,ReturnAbsMax,ReturnMean,Regret/t,InvPendulum_std2_higher,Iteration,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu1_higher
,-0.2,7.73993,5.084873e-07,0.01,,,14,-115.698685,10.152449,0.01,-0.2,inf,8327.023,3939,8.800681,26.609702825546265,-83.0463,0.2,inf,-499.9033,,,,-0.17716406,,72.94444444444444,81,499.9033,-149.20415,154.20415,0.01,54,54,0.01,
,-0.2,9.299022,4.9016495e-07,0.01,,,14,-120.213455,10.1341,0.01,,inf,8452.238,3963,8.791726,27.150821685791016,-83.0463,0.2,inf,-499.9033,,,,0.0058573554,,72.05454545454545,81,499.9033,-148.67705,153.67705,0.01,55,55,0.01,
,-0.2,7.80947,4.7281532e-07,0.01,,,14,-109.380745,10.116081,0.01,0.2,inf,8566.618,3984,8.75649,27.73212242126465,-83.0463,0.2,inf,-499.9033,,,,0.19634767,,71.14285714285714,81,499.9033,-147.97533,152.97533,0.01,56,56,0.01,
,,9.480061,4.563709e-07,0.01,,,14,-129.71149,10.098381,0.01,-0.2,inf,8701.329,4021,8.751794,28.300405502319336,-83.0463,0.2,inf,-499.9033,,,,-0.009897724,,70.54385964912281,81,499.9033,-147.65489,152.65489,0.01,57,57,0.01,
,,9.514705,4.4076967e-07,0.01,,,14,-107.61929,10.08099,0.01,,inf,8813.949,4042,8.747856,28.85315203666687,-83.0463,0.2,inf,-499.9033,,,,0.16864131,,69.6896551724138,81,499.9033,-146.96465,151.96465,0.01,58,58,0.01,
,,7.598712,4.259549e-07,0.01,,,14,-127.63525,10.063895,0.01,0.2,inf,8946.584,4072,8.711574,29.429630279541016,-83.0463,0.2,inf,-499.9033,,,,0.3944676,,69.01694915254237,81,499.9033,-146.63702,151.63702,0.01,59,59,0.01,
,0.2,10.443565,4.1187477e-07,0.01,,,14,-122.9237,10.047089,0.01,-0.2,inf,9074.508,4097,8.723913,29.9830105304718,-83.0463,0.2,inf,-499.9033,,,,0.1847097,,68.28333333333333,81,499.9033,-146.24179,151.24179,0.01,60,60,0.01,
,0.2,8.570606,3.984813e-07,0.01,,,14,-105.51245,10.030559,0.01,,inf,9185.0205,4112,8.705141,30.466829538345337,-83.0463,0.2,inf,-499.9033,,,,0.4157341,,67.40983606557377,81,499.9033,-145.57411,150.57411,0.01,61,61,0.01,
,0.2,4.8903246,3.8573074e-07,0.01,,,14,-115.3558,10.014298,0.01,0.2,inf,9305.377,4131,8.627615,31.005291223526,-83.0463,0.2,inf,-499.9033,,,,0.5996336,,66.62903225806451,81,499.9033,-145.08673,150.08673,0.01,62,62,0.01,
,-0.2,8.600974,3.735825e-07,0.01,,,14,-123.510666,9.998298,0.01,,inf,9433.887,4158,8.611444,31.526086568832397,-83.0463,-0.2,inf,-499.9033,,,,-0.2299809,,66.0,81,499.9033,-144.74423,149.74423,0.01,63,63,0.01,0.2
,,8.504178,3.6199927e-07,0.01,,,14,-107.67096,9.98255,0.01,-0.2,inf,9546.559,4172,8.594267,32.03096103668213,-83.0463,-0.2,inf,-499.9033,,,,-0.18042487,,65.1875,81,499.9033,-144.16498,149.16498,0.01,64,64,0.01,0.2
,,6.220739,3.5094652e-07,0.01,,,14,-103.29567,9.967046,0.01,,inf,9654.854,4197,8.542486,32.55350136756897,-83.0463,-0.2,inf,-499.9033,,,,-0.07140971,,64.56923076923077,81,499.9033,-143.53621,148.53621,0.01,65,65,0.01,0.2
,,3.5242033,3.4039232e-07,0.01,,,14,-113.736046,9.951778,0.01,0.2,inf,9773.59,4220,8.451415,33.07153248786926,-83.0463,-0.2,inf,-499.9033,,,,0.26113975,,63.93939393939394,81,499.9033,-143.0847,148.0847,0.01,66,66,0.01,0.2
,0.2,3.859073,3.3030722e-07,0.01,,,14,-167.62746,9.93674,0.01,,inf,9946.217,4295,8.368058,33.710498571395874,-83.0463,-0.2,inf,-499.9033,,,,0.19907787,,64.1044776119403,81,499.9033,-143.451,148.451,0.01,67,67,0.01,0.2
