IWMin,LQGmu1_actor,LQGmu1_higher,Bound,ReturnStepMax,IWMax,TimestepsSoFar,ReturnMean,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMax,IWMean,DenMISELogLast,delta,ReturnMin,IWLastEpisode,LQGsigma_higher,ReturnAbsMax,IWFirstEpisode,Iteration,DenMISEMeanLog
,0.6403764,0.61616164,695.9307,19.19869,46.48307,900,11.468638,-1.3654622,1468.6290400028229,17.410385,17.410385,2.0509791,-0.26141912,3.0021093e-07,,,0.025304638,17.410385,,45,-0.6396613
,-0.9688824,-1.0,692.0325,19.19869,16.327328,920,11.336081,-1.387441,1502.6854362487793,5.3709993,17.410385,0.7143422,-0.36447048,2.8730017e-07,,,0.034960534,17.410385,,46,-0.6244898
,-0.8191143,-0.7979798,692.98694,19.19869,11.491383,940,11.461379,-1.4089473,1536.193174123764,17.225056,17.410385,0.5545748,-0.25358322,2.7520463e-07,,3.0378558e-07,0.0285655,17.410385,,47,-0.6240155
,-0.47291294,-0.43434343,683.9322,19.19869,42.567913,960,11.583493,-1.4300007,1568.7093274593353,17.322939,17.410385,1.5454354,-0.24339479,2.6385726e-07,,,0.025304638,17.410385,2.930182e-32,48,-0.6261247
,1.0099415,1.0,678.93756,19.19869,14.379676,980,11.700724,-1.4506199,1603.2644431591034,17.3277,17.410385,0.408725,-0.89274955,2.531974e-07,,,0.034960534,17.410385,,49,-0.628478
,0.47308192,0.4949495,676.42236,19.19869,52.859756,1000,11.466709,-1.4708227,1638.0317361354828,,17.410385,1.4457973,-0.28058472,2.4317083e-07,,,0.025304638,17.410385,,50,-0.6339252
,0.86613864,0.85858583,661.799,19.19869,38.225185,1020,11.38044,-1.4906254,1671.4408762454987,7.0669727,17.410385,1.3655611,-0.6805991,2.3372819e-07,,2.2569243e-30,0.03224658,17.410385,,51,-0.6336696
,-0.1386652,-0.13131313,662.4435,19.19869,65.40204,1040,11.205323,-1.5100434,1707.0238790512085,2.2743776,17.410385,1.9038122,-0.3295286,2.248251e-07,,,0.025304638,17.410385,65.40204,52,-0.6251514
,-0.2932089,-0.25252524,662.6872,19.19869,36.283028,1060,11.29699,-0.7147309,1742.641909122467,16.06365,17.410385,1.2949772,-0.46555036,2.1642118e-07,,0.0010080934,0.025304638,17.410385,4.1528627e-05,53,-0.61563593
,0.38143328,0.41414142,663.05835,19.19869,33.60453,1080,11.405714,-0.7334222,1777.0075557231903,17.168156,17.410385,0.7547822,-1.0796528,2.0847979e-07,,,0.025304638,17.410385,,54,-0.6240596
,-0.36253735,-0.35353535,662.28204,19.19869,27.416227,1100,11.339792,-0.7517714,1810.5669429302216,7.780005,17.410385,0.59692377,-0.78197384,2.0096763e-07,,,0.025304638,17.410385,1.3988178e-17,55,-0.6338111
,-0.8556141,-0.85858583,654.47485,19.19869,17.176844,1120,11.444992,-0.7697898,1844.517606496811,17.230965,17.410385,1.0912081,-0.7454392,1.9385428e-07,,,0.03640201,17.410385,,56,-0.64456064
,0.2818071,0.25252524,653.3,19.19869,60.241158,1140,11.547922,-0.7874894,1880.6893866062164,17.312002,17.410385,1.2309799,-0.297377,1.8711206e-07,,,0.025304638,17.410385,,57,-0.6388162
,-0.032200962,-0.05050505,652.5631,19.19869,44.051487,1160,11.49333,-0.8048812,1914.9460093975067,8.381605,17.410385,1.3026748,-0.7228866,1.8071556e-07,,1.1537588e-36,0.025304638,17.410385,0.7489914,58,-0.6421503
,0.10794563,0.13131313,650.44415,19.19869,52.581543,1180,11.489847,-0.80914456,1949.6178510189056,11.287809,17.410385,1.5079314,-0.53948885,1.7464151e-07,,2.3173433e-08,0.025304638,17.410385,1.0111176e-20,59,-0.6401961
,0.3337158,0.33333334,646.387,19.19869,41.0713,1200,11.448325,-0.8259517,1984.0463094711304,8.998564,17.410385,0.90154433,-0.83199143,1.6886865e-07,,4.4836215e-15,0.026347978,17.410385,,60,-0.6412506
,-0.524246,-0.4949495,646.86475,19.19869,32.01517,1220,11.393283,-0.842481,2018.8736109733582,8.090702,17.410385,0.79353595,-0.48200554,1.6337734e-07,,,0.027434343,17.410385,,61,-0.6429425
,0.057782043,0.05050505,644.3322,19.19869,50.185574,1240,11.489768,-0.8587416,2054.714972257614,17.37536,17.410385,0.8618121,-0.55426645,1.581496e-07,,,0.025304638,17.410385,4.228414e-09,62,-0.64665544
,0.5615333,0.5555556,643.65,19.19869,9.7526245,1260,11.451583,-0.8747419,2090.359405040741,9.084151,17.410385,0.24616787,-0.8446952,1.5316883e-07,,,0.027434343,17.410385,,63,-0.6553174
,-0.7508016,-0.6969697,643.13763,19.19869,23.448278,1280,11.370055,-0.89049023,2125.779676914215,6.2337775,17.410385,0.9685172,-0.6452877,1.484197e-07,,,0.033576142,17.410385,,64,-0.66701174
,0.7947929,0.75757575,642.05634,19.19869,25.128086,1300,11.462412,-0.9059945,2159.7565457820892,17.373203,17.410385,1.0279613,-0.44479513,1.4388809e-07,,,0.033576142,17.410385,,65,-0.66562337
,-0.65316,-0.5959596,626.76276,19.19869,24.119865,1320,11.339546,-0.9212619,2194.9139375686646,3.3532825,17.410385,0.909612,-0.5880259,1.3956085e-07,,,0.03224658,17.410385,,66,-0.6659417
,0.6788466,0.65656567,624.4889,19.19869,22.76554,1340,11.430092,-0.9362998,2228.9773421287537,17.406162,17.410385,0.7071194,-0.5358267,1.3542595e-07,,,0.03224658,17.410385,,67,-0.66661924
,0.92822623,0.9191919,622.3454,19.19869,22.26302,1360,11.334192,-0.9511149,2265.4571833610535,4.9089313,17.410385,1.4050896,-0.7728663,1.3147212e-07,,1.9356249e-07,0.039465707,17.410385,,68,-0.67340827
,-0.9367817,-0.93939394,620.2697,19.19869,15.229693,1380,11.18819,-0.9657136,2299.554303407669,1.2600482,17.410385,1.0725352,-0.5101706,1.2768895e-07,,,0.044551425,17.410385,,69,-0.66706586
,-0.1934629,-0.1919192,614.3521,19.19869,15.043745,1400,11.274919,-0.9801024,2334.068577528,17.259174,17.410385,0.42483336,-0.34294555,1.2406676e-07,,,0.027434343,17.410385,1.3380111,70,-0.66251546
,0.17237355,0.1919192,612.9469,19.19869,31.834839,1420,11.350747,-0.97535294,2369.4918615818024,16.658781,17.410385,0.65794027,-0.8202096,1.2059652e-07,,,0.027434343,17.410385,2.413777e-27,71,-0.6731416
,-0.28259757,-0.3131313,597.4594,19.19869,38.174057,1440,11.315795,-0.98933923,2403.9717903137207,8.83413,17.410385,1.1315347,-0.89351165,1.1726989e-07,,,0.03224658,17.410385,6.1993774e-07,72,-0.6820447
,-0.769237,-0.7777778,596.7515,19.19869,16.72537,1460,11.394899,-1.0031326,2439.298879146576,17.090366,17.410385,0.89976376,-0.71369374,1.1407902e-07,,5.8271216e-31,0.041092936,17.410385,,73,-0.6827953
,0.49178723,0.45454547,595.05194,19.19869,28.50541,1480,11.47553,-1.0167382,2475.8513996601105,17.361576,17.410385,1.0631378,-0.4862221,1.1101664e-07,,,0.033576142,17.410385,,74,-0.6822504
