LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
-0.73536354,-0.5555556,19.184929,58.291496,305.19403,,33.53151559829712,17.395481,62,0.0013598953,4.9224834,-0.8688624,12.427517,4.9822764,0.74386084,0.14999999,17.395481,1240,-0.8887484,0.17234576,1.581496e-07,-0.71574694,,9.070782
-0.57581383,-0.8181818,19.184929,58.65686,305.1773,,34.12418174743652,17.395481,63,4.1532874,4.844084,-0.5981379,12.505917,4.5813727,1.1872941,0.14999999,17.395481,1260,-0.88832504,0.0003788803,1.5316883e-07,-0.72897136,,17.366703
-0.5257168,-0.35353535,19.184929,57.23887,305.14807,,34.69762301445007,17.395481,64,1.7654495,4.7679386,-0.6881735,12.582062,5.2296386,0.99137944,0.14999999,17.395481,1280,-0.8826807,2.4661381,1.484197e-07,-0.7447137,,17.37918
-0.3770196,-0.6363636,19.184929,57.488556,305.13953,,35.250996589660645,17.395481,65,3.9844854,4.694454,-0.6762872,12.655546,4.9169564,0.9243799,0.14999999,17.395481,1300,-0.87998843,0.036434066,1.4388809e-07,-0.72240835,,17.35854
0.03154938,-0.07070707,19.184929,56.60503,305.2066,,35.823893547058105,17.395481,66,0.6124989,4.624343,-0.61666393,12.725657,6.139023,0.88483715,0.14999999,17.395481,1320,-0.8773473,4.6295557,1.3956085e-07,-0.73711544,,17.282938
0.33860946,0.27272728,19.184929,56.450684,313.42548,,36.3710253238678,17.395481,67,1.7123965,4.677992,-0.85230786,12.6720085,7.1945596,1.0511036,0.14999999,17.395481,1340,-0.8789555,0.07998937,1.3542595e-07,-0.6843594,,9.131209
-0.57490575,-0.45454547,19.184929,55.943348,322.71472,,37.16291809082031,17.395481,68,5.703446e-06,4.745805,-0.9272652,12.604196,5.1087146,0.92508227,0.14999999,17.395481,1360,-0.87932575,0.7919046,1.3147212e-07,-0.6979813,,8.060747
1.0095832,1.0,19.192318,55.83628,322.66028,,38.30392360687256,17.404362,69,5.6611688e-24,4.676236,-0.6118158,12.673764,15.775553,1.1268585,0.14999999,17.404362,1380,-0.87676924,5.1431017e-13,1.2768895e-07,-0.70100176,,17.404362
0.708135,0.53535354,19.192318,55.862946,340.01025,,39.48926138877869,17.404362,70,0.071103506,4.8572893,-1.3758407,12.492711,7.748865,1.1399239,0.14999999,17.404362,1400,-0.8833399,0.00011222957,1.2406676e-07,-0.7153905,,
-0.8152197,-1.0,19.192318,55.755928,352.82117,,40.640817642211914,17.404362,71,5.5791538e-28,4.9693127,-1.1068184,12.380688,7.5341005,1.0667355,0.14999999,17.404362,1420,-0.8850565,9.012113e-07,1.2059652e-07,-0.7295735,,4.5390778
-0.6398616,-0.7373737,19.192318,56.00957,352.82788,,41.65262413024902,17.404362,72,3.9841614,4.900387,-0.538812,12.449614,4.76441,1.0891131,0.14999999,17.404362,1440,-0.8797081,0.0035173553,1.1726989e-07,-0.7435597,,17.34338
-0.6456954,-0.5959596,19.192318,54.904358,352.79065,,42.29898142814636,17.404362,73,4.622116,4.8327484,-0.59550196,12.517252,4.9381905,0.94743073,0.14999999,17.404362,1460,-0.8748599,0.085371055,1.1407902e-07,-0.7573042,,17.38726
-0.92027855,-0.8181818,19.192318,54.35044,352.74884,,42.76104426383972,17.404362,74,2.367957,4.766876,-0.5449922,12.583124,4.348956,1.1353048,0.14999999,17.404362,1480,-0.87127995,0.0003946463,1.1101664e-07,-0.76974106,,17.391724
-0.21824649,-0.23232323,19.192318,54.3271,352.83136,,43.42442321777344,17.404362,75,0.00011941832,4.704418,-0.50633126,12.645582,5.5030117,0.94773537,0.14999999,17.404362,1500,-0.86486095,5.2049084,1.0807592e-07,-0.7831588,,17.267445
0.083724864,0.05050505,19.192318,53.880634,353.24927,,44.14698672294617,17.404362,76,1.0510374,4.648017,-0.6766493,12.701983,6.888152,0.89717793,0.14999999,17.404362,1520,-0.86330324,2.0329792,1.0525054e-07,-0.7293074,,16.93206
