LQGsigma_higher,MinEpLen,LQGmu1_higher,ReturnMean,NumTrajectories,NumTrainableParams,TimeElapsed,AvgEpLen,Iteration,LQGmu1_actor,TimestepsSoFar
0.14999999,20,-0.67,0.045834284,140,,1.5417988300323486,20.0,140,-0.56038785,2800
0.14999999,20,-0.67,0.0458344,141,,1.5516879558563232,20.0,141,-0.82594234,2820
0.14999999,20,-0.67,0.045834515,142,,1.5618581771850586,20.0,142,-0.4086223,2840
0.14999999,20,-0.67,0.045834374,143,,1.5715985298156738,20.0,143,-0.610353,2860
0.14999999,20,-0.67,0.045834478,144,,1.5821783542633057,20.0,144,-0.54071003,2880
0.14999999,20,-0.67,0.04583406,145,,1.5924644470214844,20.0,145,-0.67886007,2900
0.14999999,20,-0.67,0.045833867,146,,1.6007628440856934,20.0,146,-0.73260844,2920
0.14999999,20,-0.67,0.045833975,147,,1.6091153621673584,20.0,147,-0.7240358,2940
0.14999999,20,-0.67,0.045834083,148,,1.6217434406280518,20.0,148,-0.854218,2960
0.14999999,20,-0.67,0.045834158,149,,1.631870985031128,20.0,149,-0.615865,2980
0.14999999,20,-0.67,0.045834243,150,,1.6441543102264404,20.0,150,-0.69404894,3000
0.14999999,20,-0.67,0.04583437,151,,1.653611660003662,20.0,151,-0.8749392,3020
0.14999999,20,-0.67,0.04583414,152,,1.6618478298187256,20.0,152,-0.7685009,3040
0.14999999,20,-0.67,0.045834266,153,,1.671053171157837,20.0,153,-0.770081,3060
0.14999999,20,-0.67,0.045834344,154,,1.683720588684082,20.0,154,-0.74383074,3080
0.14999999,20,-0.67,0.045834385,155,,1.698244571685791,20.0,155,-0.8787482,3100
0.14999999,20,-0.67,0.045833215,156,,1.7098734378814697,20.0,156,-0.4329564,3120
0.14999999,20,-0.67,0.04583335,157,,1.7196564674377441,20.0,157,-0.46286598,3140
0.14999999,20,-0.67,0.04583345,158,,1.7297463417053223,20.0,158,-0.3494438,3160
0.14999999,20,-0.67,0.04583343,159,,1.7415075302124023,20.0,159,-0.9335934,3180
0.14999999,20,-0.67,0.045833446,160,,1.7502169609069824,20.0,160,-0.67706615,3200
0.14999999,20,-0.67,0.045833558,161,,1.7586467266082764,20.0,161,-0.75851494,3220
