InvPendulum_std3_higher,InvPendulum_mu3_higher,GridSize,InvPendulum_mu0_higher,IWMin,ActionIn1,InvPendulum_mu2_higher,Regret,ReturnMax,DenMISELogLast,MinEpLen,ReturnAbsMax,InvPendulum_mu1_higher,DenMISELogFirst,IWMean,InvPendulum_std0_higher,ReturnStepMax,ReturnMean,ReturnLastEpisode,BoundBonus,InvPendulum_std2_higher,NumTrainableParams,Iteration,Bound,InvPendulum_std1_higher,AvgEpLen,IWLastEpisode,NumTrajectories,IWFirstEpisode,TimeElapsed,TimestepsSoFar,BoundMISE,ReturnMin,IWMax,Delta,Regret/t,DenMISEMeanLog
0.01,,81,1.0,,0.0033718839,,7229.342,,9.148361,11,494.85684,-1.0,6.849029,,0.01,494.85684,-142.53758,-103.4817,inf,0.01,,49,inf,0.01,65.0204081632653,,49,,6.8241353034973145,3186,,-494.85684,,6.175547e-07,147.53758,9.400223
0.01,1.0,81,1.0,,0.95742524,,7369.1636,,10.438413,11,494.85684,-1.0,6.8288264,,0.01,494.85684,-142.38327,-134.82187,inf,0.01,,50,inf,0.01,64.58,,50,,6.999157190322876,3229,,-494.85684,,5.930996e-07,147.38327,9.401188
0.01,,81,1.0,,1.023338,1.0,7546.1562,,7.8796806,11,494.85684,-1.0,6.809024,,0.01,494.85684,-142.96385,-171.99286,inf,0.01,,51,inf,0.01,64.76470588235294,,51,,7.199902772903442,3303,,-494.85684,,5.700688e-07,147.96385,9.35194
0.01,-1.0,81,-1.0,,-3.0169713,-1.0,7662.237,,9.044287,11,494.85684,,6.7896056,,0.01,494.85684,-142.35071,-111.08082,inf,0.01,,52,inf,0.01,63.86538461538461,,52,,7.3621721267700195,3321,,-494.85684,,5.483539e-07,147.35071,9.326979
0.01,,81,-1.0,,-1.9747597,-1.0,7773.99,,8.674859,11,494.85684,,6.7705574,,0.01,494.85684,-141.67906,-106.75356,inf,0.01,,53,inf,0.01,62.886792452830186,,53,,7.517410516738892,3333,,-494.85684,,5.2785657e-07,146.67906,9.295986
0.01,1.0,81,-1.0,,-1.0046108,-1.0,7886.3413,,8.458791,11,494.85684,,6.7518654,,0.01,494.85684,-141.04335,-107.35099,inf,0.01,,54,inf,0.01,62.05555555555556,,54,,7.680968761444092,3351,,-494.85684,,5.084873e-07,146.04335,9.262137
0.01,-1.0,81,-1.0,,-1.9537947,,7999.2104,,10.502851,11,494.85684,,6.733516,,0.01,494.85684,-140.44019,-107.869156,inf,0.01,,55,inf,0.01,61.21818181818182,,55,,7.837395429611206,3367,,-494.85684,,4.9016495e-07,145.44019,9.26668
0.01,,81,-1.0,,-1.0167025,,8110.3833,,7.248411,11,494.85684,,6.715498,,0.01,494.85684,-139.82828,-106.17267,inf,0.01,,56,inf,0.01,60.392857142857146,,56,,7.989959001541138,3382,,-494.85684,,4.7281532e-07,144.82828,9.212943
0.01,1.0,81,-1.0,,0.007988572,,8249.314,,8.7806425,11,494.85684,,6.6977983,,0.01,494.85684,-139.72481,-133.93097,inf,0.01,,57,inf,0.01,68.10526315789474,,57,,8.424335956573486,3882,,-494.85684,,4.563709e-07,144.72481,9.187969
0.01,-1.0,81,-1.0,,-0.9883435,1.0,8399.729,,8.146312,11,494.85684,,6.6804066,,0.01,494.85684,-139.8229,-145.41473,inf,0.01,,58,inf,0.01,67.86206896551724,,58,,8.60545039176941,3936,,-494.85684,,4.4076967e-07,144.8229,9.152917
0.01,,81,-1.0,,-0.011105232,1.0,8509.338,,8.890081,11,494.85684,,6.663312,,0.01,494.85684,-139.22606,-104.60894,inf,0.01,,59,inf,0.01,66.94915254237289,,59,,8.757953643798828,3950,,-494.85684,,4.259549e-07,144.22606,9.131658
0.01,1.0,81,-1.0,,0.97578704,1.0,8628.613,,5.6078687,11,494.85684,,6.646505,,0.01,494.85684,-138.81023,-114.274956,inf,0.01,,60,inf,0.01,66.15,,60,,8.91218900680542,3969,,-494.85684,,4.1187477e-07,143.81023,9.0564
0.01,-1.0,81,,,-1.9774926,-1.0,8743.784,,9.567166,11,494.85684,,6.629976,,0.01,494.85684,-138.34073,-110.17122,inf,0.01,,61,inf,0.01,65.32786885245902,,61,,9.06994080543518,3985,,-494.85684,,3.984813e-07,143.34073,9.048516
0.01,,81,,,-0.9990986,-1.0,8861.207,,9.947391,11,494.85684,,6.613715,,0.01,494.85684,-137.9227,-112.42274,inf,0.01,,62,inf,0.01,64.58064516129032,,62,,9.230910062789917,4004,,-494.85684,,3.8573074e-07,142.9227,9.047015
0.01,1.0,81,,,0.007104337,-1.0,8974.757,,8.968792,11,494.85684,,6.597715,,0.01,494.85684,-137.45645,-108.54985,inf,0.01,,63,inf,0.01,63.82539682539682,,63,,9.384974956512451,4021,,-494.85684,,3.735825e-07,142.45645,9.030027
0.01,-1.0,81,,,-0.9717663,,9087.485,,10.291423,11,494.85684,,6.5819664,,0.01,494.85684,-136.99196,-107.728294,inf,0.01,,64,inf,0.01,63.03125,,64,,9.537505626678467,4034,,-494.85684,,3.6199927e-07,141.99196,9.034235
0.01,,81,,,0.0056049037,,9199.011,,8.719227,11,494.85684,,6.566462,,0.01,494.85684,-136.52324,-106.525406,inf,0.01,,65,inf,0.01,62.8,,65,,9.727911233901978,4082,,-494.85684,,3.5094652e-07,141.52324,9.014123
0.01,1.0,81,,,0.9926887,,9353.517,,9.341805,11,494.85684,,6.5511947,,0.01,494.85684,-136.71996,-149.50642,inf,0.01,,66,inf,0.01,62.803030303030305,,66,,9.914184331893921,4145,,-494.85684,,3.4039232e-07,141.71996,9.004051
0.01,-1.0,81,,,0.018818498,1.0,9483.48,,10.255267,11,494.85684,,6.5361567,,0.01,494.85684,-136.54448,-124.96399,inf,0.01,,67,inf,0.01,62.26865671641791,,67,,10.080768823623657,4172,,-494.85684,,3.3030722e-07,141.54448,9.007913
0.01,,81,,,1.0046954,1.0,9593.881,,7.221524,11,494.85684,,6.521342,,0.01,494.85684,-136.08649,-105.39972,inf,0.01,,68,inf,0.01,61.5735294117647,,68,,10.26056718826294,4187,,-494.85684,,3.206637e-07,141.08649,8.967045
0.01,1.0,81,,,1.9966712,1.0,9707.369,,8.400423,11,494.85684,,6.506743,,0.01,494.85684,-135.68651,-108.48932,inf,0.01,,69,inf,0.01,60.927536231884055,,69,,10.420270442962646,4204,,-494.85684,,3.1143645e-07,140.68651,8.944446
0.01,-1.0,81,1.0,,-0.996977,-1.0,9831.443,,8.961091,11,494.85684,,6.4923544,,0.01,494.85684,-135.44919,-119.07302,inf,0.01,,70,inf,0.01,60.457142857142856,,70,,10.590073823928833,4232,,-494.85684,,3.0260182e-07,140.44919,8.9305
0.01,,81,1.0,,0.011086464,-1.0,9940.329,,8.632267,11,494.85684,,6.4781694,,0.01,494.85684,-135.00464,-103.88622,inf,0.01,,71,inf,0.01,59.88732394366197,,71,,10.750952243804932,4252,,-494.85684,,2.9413786e-07,140.00464,8.912314
0.01,1.0,81,1.0,,1.0254515,-1.0,10051.537,,7.698397,11,494.85684,,6.4641833,,0.01,494.85684,-134.60468,-106.20813,inf,0.01,,72,inf,0.01,59.263888888888886,,72,,10.907869577407837,4267,,-494.85684,,2.8602412e-07,139.60468,8.881663
