MountainCar_mu0_higher,ReturnStepMax,ReturnMin,ReturnMean,DenMISELogFirst,ReturnLastEpisode,BoundBonus,MountainCar_std0_higher,IWMin,ActionIn1,MountainCar_mu1_higher,DenMISEMeanLog,IWLastEpisode,ReturnAbsMax,AvgEpLen,IWMax,Iteration,NumTrajectories,DenMISELogLast,IWMean,ReturnMax,Bound,MinEpLen,IWFirstEpisode,GridSize,TimeElapsed,Regret/t,MountainCar_std1_higher,TimestepsSoFar,Delta,Regret,NumTrainableParams,BoundMISE
-0.33333334,98.67969,-9.956752,-1.5661683,-4.605324,-0.7716925,60.262264,0.14999999,,-0.8399114,-3.3333333,-4.383334,0.20873068,9.956752,481.3095238095238,11.737198,42,42,-5.7186804,0.55594677,9.55166,60.213398,230,4.220017e-06,16,15.154379606246948,6.5661683,3.0,20215,4.0544687e-06,275.77905,,-0.048866402
0.33333334,98.67969,-9.956752,-1.5387545,-4.6288543,-0.3873763,60.351803,0.14999999,,15.85201,10.0,-4.387639,2.9283868e-07,9.956752,481.74418604651163,29.747639,43,43,-4.0866623,0.9791652,9.55166,60.084274,230,0.01590643,16,15.59262752532959,6.5387545,3.0,20715,3.868082e-06,281.16644,,-0.26752874
0.33333334,98.67969,-9.956752,-1.5078839,-4.651474,-0.1804551,60.675755,0.14999999,,-14.208187,-10.0,-4.417776,9.209274e-15,9.956752,482.15909090909093,36.717007,44,44,-5.5273256,1.7207354,9.55166,59.551434,230,0.27422887,16,15.976433277130127,6.507884,3.0,21215,3.6942577e-06,286.3469,,-1.1243224
0.33333334,98.67969,-9.956752,-1.4771957,-4.6677337,-0.1269095,57.789005,0.14999999,,-5.530459,-3.3333333,-4.4226317,0.03854845,9.956752,482.55555555555554,16.012777,45,45,-4.979866,1.1575699,9.55166,57.094856,230,15.168163,16,16.394622802734375,6.4771957,3.0,21715,3.5318933e-06,291.47382,,-0.6941484
1.0,98.67969,-9.956752,-1.4568732,-4.399232,-0.5423618,65.302444,0.14999999,,6.115973,3.3333333,-4.416681,8.80748e-05,9.956752,482.9347826086956,27.124102,46,46,-4.168722,1.3954115,9.55166,55.237114,230,0.040297233,16,16.759483098983765,6.456873,3.0,22215,3.3800018e-06,297.01617,,-10.0653305
0.33333334,98.67969,-10.93195,-1.6584705,-4.4198623,-10.93195,56.148083,0.14999999,,3.7145011,3.3333333,-4.438502,4.3817147e-07,10.93195,483.29787234042556,21.706064,47,47,-5.61811,1.2727379,9.55166,55.606915,230,4.6171956,16,17.10216975212097,6.6584706,3.0,22715,3.2377015e-06,312.94812,,-0.5411699
-0.33333334,98.67969,-10.93195,-1.6278661,-4.3472085,-0.18945949,47.599113,0.14999999,,12.974285,10.0,-4.4239964,0.0014237671,10.93195,483.6458333333333,16.857883,48,48,-3.8824384,0.4828271,9.55166,48.152416,230,3.5541883e-09,16,17.466166019439697,6.6278663,3.0,23215,3.1042032e-06,318.13757,,0.55330205
-0.33333334,98.67969,-10.93195,-1.5987997,-4.367828,-0.2036084,47.76916,0.14999999,,-1.2506121,-3.3333333,-4.4318566,5.314635e-06,10.93195,483.9795918367347,13.5170765,49,49,-4.2499223,0.73640037,9.55166,47.62151,230,3.3279075e-06,16,17.844258308410645,6.5987997,3.0,23715,2.9787932e-06,323.3412,,-0.14765343
-1.0,98.67969,-10.93195,-1.5695022,-4.3880305,-0.13392353,49.49631,0.14999999,,-1.6593493,3.3333333,-4.425258,1.0069854e-05,10.93195,484.3,13.224871,50,50,-3.7832742,1.1025658,9.55166,47.6602,230,1.0348305e-21,16,18.274237632751465,6.5695024,3.0,24215,2.8608335e-06,328.4751,,-1.8361136
0.33333334,98.67969,-10.93195,-1.592246,-4.407833,-2.7294402,47.825092,0.14999999,,6.8311334,10.0,-4.4256845,6.154803e-25,10.93195,484.6078431372549,19.09779,51,51,-4.4659343,0.87792635,9.55166,47.7117,230,0.012752182,16,18.646437883377075,6.592246,3.0,24715,2.7497433e-06,336.20456,,-0.113393456
-0.33333334,98.67969,-10.93195,-1.5691543,-4.427001,-0.39146885,47.82301,0.14999999,,0.68125254,3.3333333,-4.419582,0.00028738444,10.93195,484.90384615384613,17.388382,52,52,-3.904728,0.87502474,9.55166,47.76347,230,1.3770956e-06,16,19.039554834365845,6.5691543,3.0,25215,2.6450014e-06,341.596,,-0.05954009
-0.33333334,98.67969,-10.93195,-1.5515934,-4.446049,-0.6384312,47.969563,0.14999999,,-12.770988,-10.0,-4.4282584,0.014159959,10.93195,485.188679245283,23.490467,53,53,-4.6920915,0.6224073,9.55166,47.61233,230,6.6127754e-08,16,19.46157145500183,6.5515933,3.0,25715,2.5461316e-06,347.23444,,-0.3572329
-1.0,98.67969,-10.93195,-1.5338378,-4.464741,-0.5927934,49.700275,0.14999999,,-7.5387125,-3.3333333,-4.447145,0.0042788414,10.93195,485.462962962963,19.761381,54,54,-4.9965153,0.9603959,9.55166,47.5182,230,2.8647674e-21,16,19.840085744857788,6.533838,3.0,26215,2.4527033e-06,352.82724,,-2.182075
0.33333334,98.67969,-10.93195,-1.5464927,-4.4830904,-2.2298532,48.191895,0.14999999,,-12.270587,-10.0,-4.445642,9.353419e-20,10.93195,485.72727272727275,24.961288,55,55,-4.229488,1.4549625,9.55166,47.390324,230,0.23173152,16,20.24624514579773,6.5464926,3.0,26715,2.3643252e-06,360.0571,,-0.8015699
1.0,98.67969,-10.93195,-1.5252336,-4.4969044,-0.3559897,49.93383,0.14999999,,1.1513451,-3.3333333,-4.4375715,1.407142e-05,10.93195,485.98214285714283,20.149277,56,56,-4.2677927,0.7116774,9.55166,46.47575,230,0.11391983,16,20.614564418792725,6.5252337,3.0,27215,2.2806387e-06,365.4131,,-3.4580796
0.33333334,98.67969,-10.93195,-1.5970756,-4.512572,-5.6202245,46.99769,0.14999999,,1.1489207,-3.3333333,-4.4294906,5.8194903e-05,10.93195,486.2280701754386,14.371741,57,57,-3.62886,1.0743766,9.55166,46.385826,230,12.988143,16,21.0524685382843,6.5970755,3.0,27715,2.2013185e-06,376.03333,,-0.61186403
0.33333334,98.67969,-10.93195,-1.5708185,-4.324689,-0.07416142,43.86261,0.14999999,,1.7214767,3.3333333,-4.421058,6.490708,10.93195,486.4655172413793,17.022821,58,58,-3.9240484,1.4869949,9.55166,43.368176,230,4.198025,16,21.454574823379517,6.5708184,3.0,28215,2.1260653e-06,381.10748,,-0.4944354
-0.33333334,98.67969,-10.93195,-1.5547322,-4.271903,-0.6217252,39.584427,0.14999999,,13.377537,10.0,-4.4035788,7.733555e-07,10.93195,486.6949152542373,15.231106,59,59,-3.761948,0.616808,9.55166,40.0194,230,3.2963663e-09,16,21.97268581390381,6.5547323,3.0,28715,2.0546058e-06,386.7292,,0.43497652
0.33333334,98.67969,-10.93195,-1.5070419,-4.28871,1.3066808,39.634644,0.14999999,,12.151689,10.0,-4.409663,6.1684613,10.93195,485.65,15.4027815,60,60,-4.3390517,0.91304964,9.55166,39.678997,230,0.011320094,16,22.355995178222656,6.507042,3.0,29139,1.98669e-06,390.42252,,0.04435253
-0.33333334,98.67969,-10.93195,-1.3940759,-4.305051,5.3838873,39.68999,0.14999999,,-3.9497287,-3.3333333,-4.40906,8.1743085e-11,10.93195,482.08196721311475,11.374739,61,61,-4.228938,0.80818576,9.55166,39.503487,230,3.1254124e-06,16,22.652141332626343,6.394076,3.0,29407,1.9220863e-06,390.03864,,-0.18650553
1.0,98.67969,-10.93195,-1.3800637,-4.3213115,-0.5253225,48.981075,0.14999999,,7.631162,10.0,-4.4087005,5.637181e-25,10.93195,482.3709677419355,29.971306,62,62,-4.151214,1.2689791,9.55166,39.549538,230,0.000104199346,16,23.041224718093872,6.3800635,3.0,29907,1.8605837e-06,395.56396,,-9.43154
-0.33333334,98.67969,-10.93195,-1.4132111,-4.3373103,-3.4683466,39.693638,0.14999999,,2.5894945,3.3333333,-4.4097724,6.272102e-14,10.93195,482.6507936507937,15.140585,63,63,-4.557551,0.8963611,9.55166,39.5181,230,1.2589605e-06,16,23.48133134841919,6.413211,3.0,30407,1.8019862e-06,404.0323,,-0.17553878
-0.33333334,98.67969,-10.93195,-1.3996218,-4.3530583,-0.5434997,39.829556,0.14999999,,-8.933207,-10.0,-4.4088993,0.0010114664,10.93195,482.921875,20.47702,64,64,-4.1982274,0.7900018,9.55166,39.38115,230,6.025573e-08,16,23.858529806137085,6.399622,3.0,30907,1.7461142e-06,409.5758,,-0.44840544
,98.67969,-10.93195,-1.3822693,-4.3685627,-0.27170628,110.07793,0.14999999,,-5.8903937,-5.0,-4.402019,0.5497049,10.93195,483.18461538461537,15.482175,65,65,-3.6733453,0.6959178,9.55166,110.02192,230,0.042286552,25,24.28996992111206,6.3822694,3.0,31407,1.1068314e-06,414.8475,,-0.05601104
,98.67969,-10.93195,-1.362334,-4.3831797,-0.066545874,102.67731,0.14999999,,5.518991,5.0,-4.3996406,0.016189266,10.93195,483.43939393939394,24.530163,66,66,-3.9087996,1.5332917,9.55166,103.12493,230,0.0104518235,25,26.632702350616455,6.3623343,3.0,31907,1.073545e-06,419.91406,,0.44762045
-0.5,98.67969,-10.93195,-1.344469,-4.3980594,-0.1653742,86.14722,0.14999999,,-1.5609655,,-4.3837085,0.5914158,10.93195,483.6865671641791,32.884087,67,67,-3.738773,1.213738,9.55166,85.50766,230,4.230455e-09,25,27.079200506210327,6.344469,3.0,32407,1.0417382e-06,425.0794,,-0.63956016
