GridSize,TimestepsSoFar,Iteration,IWLastEpisode,IWMax,ReturnAbsMax,BoundMISE,TimeElapsed,ReturnMean,Bound,NumTrainableParams,ReturnMax,Regret/t,LQGsigma_higher,DenMISELogLast,ReturnMin,Delta,IWFirstEpisode,LQGmu1_higher,ReturnLastEpisode,DenMISELogFirst,LQGmu1_actor,IWMean,MinEpLen,BoundBonus,Regret,NumTrajectories,DenMISEMeanLog,AvgEpLen,IWMin,ReturnStepMax
20,760,38,2.4843209,3.9526012,18.196959,7.8795013,10.185907363891602,12.984367,39.906082,,18.196959,-7.9843674,1.0,-1.8528385,,2.1050107e-06,1.9421422,1.0,2.4727616,-1.5989424,2.4435077,1.1521853,20,32.02658,-303.40594,38,-1.6580493,20.0,,19.98702
20,780,39,0.42462078,1.4607635,18.196959,13.481705,10.445716381072998,12.690505,39.015045,,18.196959,-7.690505,1.0,-3.1777353,,1.9984454e-06,1.3171235,-0.05263158,1.5237489,-1.575072,0.2479403,1.024835,20,25.53334,-299.9297,39,-1.6936092,20.0,,19.98702
20,800,40,1.4459424,1.4459424,18.196959,13.558985,10.733951091766357,12.70011,38.53538,,18.196959,-7.7001104,1.0,-1.3328716,,1.8997721e-06,1.3067634,-0.05263158,13.074723,-1.5671753,0.26607314,1.0313843,20,24.976397,-308.00443,40,-1.6840286,20.0,,19.98702
20,820,41,1.1495036,3.8277678,18.196959,8.009118,11.018834590911865,12.698391,38.327328,,18.196959,-7.698391,1.0,-1.327593,,1.8082306e-06,1.8674431,1.0,12.629552,-1.559721,1.1485498,1.1757216,20,30.318209,-315.63403,41,-1.6746281,20.0,,19.98702
20,840,42,0.2239145,1.8635157,18.196959,14.569847,11.284752607345581,12.466341,38.14247,,18.196959,-7.466341,1.0,-1.7305808,,1.7231492e-06,0.354965,-1.0,2.952353,-1.539278,-0.7329029,0.88230824,20,23.572624,-313.5863,42,-1.6722066,20.0,,19.98702
20,860,43,1.3373162,1.8268296,18.196959,14.6779585,11.69818663597107,12.599353,37.81815,,18.196959,-7.599353,1.0,-1.2452737,,1.6439349e-06,0.36037084,-1.0,18.185839,-1.5543925,-0.5402945,0.88726133,20,23.140192,-326.77216,43,-1.66505,20.0,,19.98702
20,880,44,1.1994779,1.4467707,18.196976,13.760146,12.031826972961426,12.726571,37.740875,,18.196976,-7.726571,1.0,-1.2197325,,1.5700596e-06,1.3091977,-0.05263158,18.196976,-1.5690362,-0.13492902,1.0485722,20,23.98073,-339.96912,44,-1.6575227,20.0,,19.987028
20,900,45,1.3689697,1.4325479,18.196976,13.953055,12.381402969360352,12.848071,37.478756,,18.196976,-7.848071,1.0,-1.2363833,,1.5010545e-06,1.3002633,-0.05263158,18.194092,-1.5621886,-1.4281307,1.0518521,20,23.525702,-353.1632,45,-1.6471405,20.0,,19.987028
20,920,46,1.6574413,1.838356,18.196976,15.131928,12.784095287322998,12.963777,37.592667,,18.196976,-7.9637766,1.0,-1.5158615,,1.4365008e-06,0.36083603,-1.0,18.170515,-1.5556824,-0.033390343,0.9071653,20,22.46074,-366.33374,46,-1.643213,20.0,,19.987028
20,940,47,0.87085366,1.8061392,18.196976,15.037719,13.04184341430664,13.0707855,37.12848,,18.196976,-8.0707855,1.0,-1.2478243,,1.3760232e-06,0.36581075,-1.0,17.99318,-1.5693749,-0.08884698,0.90134996,20,22.090761,-379.3269,47,-1.6368093,20.0,,19.987028
20,960,48,0.76151943,4.063167,18.196976,8.209477,13.356992721557617,13.17497,37.20769,,18.196976,-8.17497,1.0,-1.2392927,,1.3192863e-06,1.9108049,1.0,18.071598,-1.5826753,0.1403833,1.1469086,20,28.998213,-392.39856,48,-1.6306089,20.0,,19.987028
20,980,49,1.4284109,1.43437,18.196976,14.5162325,13.65433382987976,13.199331,37.2178,,18.196976,-8.199331,1.0,-1.2941284,,1.2659872e-06,1.3029569,-0.05263158,14.368643,-1.5642581,-1.8755811,1.0666538,20,22.701569,-401.7672,49,-1.6210539,20.0,,19.987028
20,1000,50,1.7960553,1.8327103,18.196976,15.412126,13.976996898651123,13.2948,37.058964,,18.196976,-8.2948,1.0,-1.8878524,,1.2158541e-06,0.3617518,-1.0,17.972773,-1.5582172,-1.7057425,0.9205685,20,21.646837,-414.74,50,-1.6251085,20.0,,19.987028
