InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrainableParams,TimeElapsed,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,MinEpLen,InvPendulum_std3_higher,Iteration,ReturnMean,AvgEpLen,NumTrajectories,ActionIn1,InvPendulum_std0_higher,InvPendulum_mu0_higher,TimestepsSoFar
-0.10712334,-0.11102458,,3.694283962249756,0.14999999,0.0034825685,0.14999999,14,0.14999999,52,-153.50276,128.75,52,-0.6549203,0.14999999,-0.18568558,6695
-0.10712334,-0.11102458,,3.72430682182312,0.14999999,0.0034825685,0.14999999,14,0.14999999,53,-152.73703,127.26415094339623,53,-0.021747828,0.14999999,-0.18568558,6745
-0.10712334,-0.11102458,,3.751315116882324,0.14999999,0.0034825685,0.14999999,14,0.14999999,54,-152.39062,125.74074074074075,54,-0.46951163,0.14999999,-0.18568558,6790
-0.10712334,-0.11102458,,3.8127646446228027,0.14999999,0.0034825685,0.14999999,14,0.14999999,55,-151.23631,125.47272727272727,55,0.29272863,0.14999999,-0.18568558,6901
-0.10712334,-0.11102458,,3.8225862979888916,0.14999999,0.0034825685,0.14999999,14,0.14999999,56,-150.44434,123.48214285714286,56,-0.6508889,0.14999999,-0.18568558,6915
-0.10712334,-0.11102458,,3.8419926166534424,0.14999999,0.0034825685,0.14999999,14,0.14999999,57,-149.96452,121.82456140350877,57,-0.2805223,0.14999999,-0.18568558,6944
-0.10712334,-0.11102458,,3.8633763790130615,0.14999999,0.0034825685,0.14999999,14,0.14999999,58,-149.40851,120.34482758620689,58,-0.22550195,0.14999999,-0.18568558,6980
-0.10712334,-0.11102458,,3.8818137645721436,0.14999999,0.0034825685,0.14999999,14,0.14999999,59,-148.86139,118.79661016949153,59,-0.56692934,0.14999999,-0.18568558,7009
-0.10712334,-0.11102458,,3.895709276199341,0.14999999,0.0034825685,0.14999999,14,0.14999999,60,-148.11392,117.15,60,-0.76354516,0.14999999,-0.18568558,7029
-0.10712334,-0.11102458,,4.155506610870361,0.14999999,0.0034825685,0.14999999,14,0.14999999,61,-147.63759,123.42622950819673,61,-0.06274064,0.14999999,-0.18568558,7529
-0.10712334,-0.11102458,,4.175540447235107,0.14999999,0.0034825685,0.14999999,14,0.14999999,62,-147.32979,121.96774193548387,62,-0.38683027,0.14999999,-0.18568558,7562
-0.10712334,-0.11102458,,4.194910764694214,0.14999999,0.0034825685,0.14999999,14,0.14999999,63,-146.95515,120.5079365079365,63,-0.29378614,0.14999999,-0.18568558,7592
-0.10712334,-0.11102458,,4.453291416168213,0.14999999,0.0034825685,0.14999999,14,0.14999999,64,-149.94905,126.4375,64,0.023155443,0.14999999,-0.18568558,8092
-0.10712334,-0.11102458,,4.471481084823608,0.14999999,0.0034825685,0.14999999,14,0.14999999,65,-149.45268,124.93846153846154,65,-0.31627738,0.14999999,-0.18568558,8121
-0.10712334,-0.11102458,,4.49372673034668,0.14999999,0.0034825685,0.14999999,14,0.14999999,66,-149.05537,123.56060606060606,66,-0.51001966,0.14999999,-0.18568558,8155
-0.10712334,-0.11102458,,4.751954078674316,0.14999999,0.0034825685,0.14999999,14,0.14999999,67,-147.72726,129.17910447761193,67,-0.11807395,0.14999999,-0.18568558,8655
-0.10712334,-0.11102458,,4.768202543258667,0.14999999,0.0034825685,0.14999999,14,0.14999999,68,-147.32494,127.6470588235294,68,-0.32991904,0.14999999,-0.18568558,8680
-0.10712334,-0.11102458,,4.805861711502075,0.14999999,0.0034825685,0.14999999,14,0.14999999,69,-147.22066,126.72463768115942,69,-0.4502821,0.14999999,-0.18568558,8744
-0.10712334,-0.11102458,,4.817434787750244,0.14999999,0.0034825685,0.14999999,14,0.14999999,70,-146.67989,125.14285714285714,70,-0.35500488,0.14999999,-0.18568558,8760
-0.10712334,-0.11102458,,4.831826210021973,0.14999999,0.0034825685,0.14999999,14,0.14999999,71,-146.06201,123.70422535211267,71,-0.23405406,0.14999999,-0.18568558,8783
-0.10712334,-0.11102458,,4.881695747375488,0.14999999,0.0034825685,0.14999999,14,0.14999999,72,-146.59505,123.23611111111111,72,-0.018577851,0.14999999,-0.18568558,8873
-0.10712334,-0.11102458,,4.91751766204834,0.14999999,0.0034825685,0.14999999,14,0.14999999,73,-146.70813,122.35616438356165,73,-0.7283562,0.14999999,-0.18568558,8932
-0.10712334,-0.11102458,,4.929292917251587,0.14999999,0.0034825685,0.14999999,14,0.14999999,74,-146.14474,120.93243243243244,74,-1.2092587,0.14999999,-0.18568558,8949
-0.10712334,-0.11102458,,5.189728736877441,0.14999999,0.0034825685,0.14999999,14,0.14999999,75,-144.27672,125.98666666666666,75,0.16226697,0.14999999,-0.18568558,9449
-0.10712334,-0.11102458,,5.204180955886841,0.14999999,0.0034825685,0.14999999,14,0.14999999,76,-143.92395,124.61842105263158,76,-0.47771665,0.14999999,-0.18568558,9471
-0.10712334,-0.11102458,,5.217689514160156,0.14999999,0.0034825685,0.14999999,14,0.14999999,77,-143.53099,123.27272727272727,77,-0.93649006,0.14999999,-0.18568558,9492
-0.10712334,-0.11102458,,5.230435371398926,0.14999999,0.0034825685,0.14999999,14,0.14999999,78,-143.01906,121.92307692307692,78,-0.41834804,0.14999999,-0.18568558,9510
-0.10712334,-0.11102458,,5.244384765625,0.14999999,0.0034825685,0.14999999,14,0.14999999,79,-142.6273,120.65822784810126,79,-0.57196754,0.14999999,-0.18568558,9532
-0.10712334,-0.11102458,,5.296104907989502,0.14999999,0.0034825685,0.14999999,14,0.14999999,80,-142.2565,120.275,80,-0.2292616,0.14999999,-0.18568558,9622
-0.10712334,-0.11102458,,5.557526350021362,0.14999999,0.0034825685,0.14999999,14,0.14999999,81,-146.65231,124.96296296296296,81,-0.8321046,0.14999999,-0.18568558,10122
-0.10712334,-0.11102458,,5.600200414657593,0.14999999,0.0034825685,0.14999999,14,0.14999999,82,-146.05145,124.34146341463415,82,-0.37811467,0.14999999,-0.18568558,10196
-0.10712334,-0.11102458,,5.643355846405029,0.14999999,0.0034825685,0.14999999,14,0.14999999,83,-146.1267,123.75903614457832,83,-0.6280566,0.14999999,-0.18568558,10272
-0.10712334,-0.11102458,,5.702517509460449,0.14999999,0.0034825685,0.14999999,14,0.14999999,84,-145.5119,123.52380952380952,84,-0.47802675,0.14999999,-0.18568558,10376
-0.10712334,-0.11102458,,5.783097982406616,0.14999999,0.0034825685,0.14999999,14,0.14999999,85,-145.34242,123.83529411764705,85,-0.60576946,0.14999999,-0.18568558,10526
-0.10712334,-0.11102458,,5.808568477630615,0.14999999,0.0034825685,0.14999999,14,0.14999999,86,-144.9323,122.8953488372093,86,-0.37087563,0.14999999,-0.18568558,10569
-0.10712334,-0.11102458,,5.934901237487793,0.14999999,0.0034825685,0.14999999,14,0.14999999,87,-144.83028,124.16091954022988,87,0.38383707,0.14999999,-0.18568558,10802
-0.10712334,-0.11102458,,5.95251989364624,0.14999999,0.0034825685,0.14999999,14,0.14999999,88,-144.56859,123.06818181818181,88,-0.33870345,0.14999999,-0.18568558,10830
-0.10712334,-0.11102458,,5.967691421508789,0.14999999,0.0034825685,0.14999999,14,0.14999999,89,-144.21619,121.93258426966293,89,-0.88656086,0.14999999,-0.18568558,10852
-0.10712334,-0.11102458,,6.228060483932495,0.14999999,0.0034825685,0.14999999,14,0.14999999,90,-144.48634,126.13333333333334,90,-0.70651627,0.14999999,-0.18568558,11352
-0.10712334,-0.11102458,,6.4879233837127686,0.14999999,0.0034825685,0.14999999,14,0.14999999,91,-148.20155,130.24175824175825,91,-0.04733643,0.14999999,-0.18568558,11852
-0.10712334,-0.11102458,,6.517608880996704,0.14999999,0.0034825685,0.14999999,14,0.14999999,92,-148.13644,129.3804347826087,92,-0.37897328,0.14999999,-0.18568558,11903
-0.10712334,-0.11102458,,6.570962190628052,0.14999999,0.0034825685,0.14999999,14,0.14999999,93,-147.39514,128.98924731182797,93,0.042494677,0.14999999,-0.18568558,11996
-0.10712334,-0.11102458,,6.5875701904296875,0.14999999,0.0034825685,0.14999999,14,0.14999999,94,-147.14455,127.8936170212766,94,-1.0107338,0.14999999,-0.18568558,12022
-0.10712334,-0.11102458,,6.61356782913208,0.14999999,0.0034825685,0.14999999,14,0.14999999,95,-146.8179,126.98947368421052,95,0.3219666,0.14999999,-0.18568558,12064
-0.10712334,-0.11102458,,6.6374382972717285,0.14999999,0.0034825685,0.14999999,14,0.14999999,96,-146.70503,126.10416666666667,96,-0.96809614,0.14999999,-0.18568558,12106
-0.10712334,-0.11102458,,6.657165288925171,0.14999999,0.0034825685,0.14999999,14,0.14999999,97,-146.44066,125.12371134020619,97,-0.3292543,0.14999999,-0.18568558,12137
-0.10712334,-0.11102458,,6.913124084472656,0.14999999,0.0034825685,0.14999999,14,0.14999999,98,-149.02917,128.94897959183675,98,-0.048896845,0.14999999,-0.18568558,12637
-0.10712334,-0.11102458,,6.957094192504883,0.14999999,0.0034825685,0.14999999,14,0.14999999,99,-149.1434,128.3939393939394,99,0.64942795,0.14999999,-0.18568558,12711
-0.10712334,-0.11102458,,6.967549800872803,0.14999999,0.0034825685,0.14999999,14,0.14999999,100,-148.7299,127.27,100,0.09881376,0.14999999,-0.18568558,12727
-0.10712334,-0.11102458,,6.986837148666382,0.14999999,0.0034825685,0.14999999,14,0.14999999,101,-148.48146,126.3069306930693,101,0.120782614,0.14999999,-0.18568558,12757
-0.10712334,-0.11102458,,6.998509645462036,0.14999999,0.0034825685,0.14999999,14,0.14999999,102,-148.14621,125.24509803921569,102,-0.5732467,0.14999999,-0.18568558,12775
-0.10712334,-0.11102458,,7.0108325481414795,0.14999999,0.0034825685,0.14999999,14,0.14999999,103,-147.74765,124.19417475728156,103,-0.4157653,0.14999999,-0.18568558,12792
-0.10712334,-0.11102458,,7.271322965621948,0.14999999,0.0034825685,0.14999999,14,0.14999999,104,-149.6258,127.8076923076923,104,-0.72498864,0.14999999,-0.18568558,13292
-0.10712334,-0.11102458,,7.311283588409424,0.14999999,0.0034825685,0.14999999,14,0.14999999,105,-149.32275,127.23809523809524,105,-1.295135,0.14999999,-0.18568558,13360
-0.10712334,-0.11102458,,7.331663131713867,0.14999999,0.0034825685,0.14999999,14,0.14999999,106,-149.05135,126.34905660377359,106,-1.3881308,0.14999999,-0.18568558,13393
-0.10712334,-0.11102458,,7.358473300933838,0.14999999,0.0034825685,0.14999999,14,0.14999999,107,-148.65399,125.59813084112149,107,-0.26508123,0.14999999,-0.18568558,13439
-0.10712334,-0.11102458,,7.618046522140503,0.14999999,0.0034825685,0.14999999,14,0.14999999,108,-151.79773,129.0648148148148,108,-0.7051481,0.14999999,-0.18568558,13939
-0.10712334,-0.11102458,,7.6476757526397705,0.14999999,0.0034825685,0.14999999,14,0.14999999,109,-151.48853,128.32110091743118,109,-0.21237567,0.14999999,-0.18568558,13987
-0.10712334,-0.11102458,,7.65909743309021,0.14999999,0.0034825685,0.14999999,14,0.14999999,110,-151.13663,127.30909090909091,110,-0.6350409,0.14999999,-0.18568558,14004
-0.10712334,-0.11102458,,7.680720329284668,0.14999999,0.0034825685,0.14999999,14,0.14999999,111,-150.91058,126.47747747747748,111,-0.39392057,0.14999999,-0.18568558,14039
-0.10712334,-0.11102458,,7.6924755573272705,0.14999999,0.0034825685,0.14999999,14,0.14999999,112,-150.53394,125.50892857142857,112,-0.15446012,0.14999999,-0.18568558,14057
-0.10712334,-0.11102458,,7.720041990280151,0.14999999,0.0034825685,0.14999999,14,0.14999999,113,-150.4396,124.8141592920354,113,-0.80181783,0.14999999,-0.18568558,14104
-0.10712334,-0.11102458,,8.006853580474854,0.14999999,0.0034825685,0.14999999,14,0.14999999,114,-153.4275,128.10526315789474,114,-0.398502,0.14999999,-0.18568558,14604
-0.10712334,-0.11102458,,8.045594692230225,0.14999999,0.0034825685,0.14999999,14,0.14999999,115,-153.1137,127.37391304347825,115,-0.86962306,0.14999999,-0.18568558,14648
-0.10712334,-0.11102458,,8.059593915939331,0.14999999,0.0034825685,0.14999999,14,0.14999999,116,-152.67725,126.44827586206897,116,-0.2884221,0.14999999,-0.18568558,14668
-0.10712334,-0.11102458,,8.086431980133057,0.14999999,0.0034825685,0.14999999,14,0.14999999,117,-152.51262,125.67521367521367,117,-1.1089369,0.14999999,-0.18568558,14704
-0.10712334,-0.11102458,,8.120993614196777,0.14999999,0.0034825685,0.14999999,14,0.14999999,118,-152.08954,125.0677966101695,118,-0.26115438,0.14999999,-0.18568558,14758
-0.10712334,-0.11102458,,8.139156341552734,0.14999999,0.0034825685,0.14999999,14,0.14999999,119,-151.6922,124.21848739495799,119,-0.5400144,0.14999999,-0.18568558,14782
-0.10712334,-0.11102458,,8.187305450439453,0.14999999,0.0034825685,0.14999999,14,0.14999999,120,-151.36792,123.825,120,-0.57655793,0.14999999,-0.18568558,14859
-0.10712334,-0.11102458,,8.198760986328125,0.14999999,0.0034825685,0.14999999,14,0.14999999,121,-151.02399,122.92561983471074,121,-0.74325895,0.14999999,-0.18568558,14874
-0.10712334,-0.11102458,,8.213614463806152,0.14999999,0.0034825685,0.14999999,14,0.14999999,122,-150.67879,122.07377049180327,122,-0.6420172,0.14999999,-0.18568558,14893
-0.10712334,-0.11102458,,8.311665773391724,0.14999999,0.0034825685,0.14999999,14,0.14999999,123,-151.36597,122.35772357723577,123,-0.3919672,0.14999999,-0.18568558,15050
-0.10712334,-0.11102458,,8.338346481323242,0.14999999,0.0034825685,0.14999999,14,0.14999999,124,-151.04619,121.70161290322581,124,-0.20732898,0.14999999,-0.18568558,15091
-0.10712334,-0.11102458,,8.364377975463867,0.14999999,0.0034825685,0.14999999,14,0.14999999,125,-150.94383,121.056,125,-0.77788496,0.14999999,-0.18568558,15132
-0.10712334,-0.11102458,,8.406509637832642,0.14999999,0.0034825685,0.14999999,14,0.14999999,126,-150.56139,120.64285714285714,126,-0.520449,0.14999999,-0.18568558,15201
-0.10712334,-0.11102458,,8.42291522026062,0.14999999,0.0034825685,0.14999999,14,0.14999999,127,-150.29092,119.88976377952756,127,-0.16206825,0.14999999,-0.18568558,15226
-0.10712334,-0.11102458,,8.703338623046875,0.14999999,0.0034825685,0.14999999,14,0.14999999,128,-152.94052,122.859375,128,-0.6225251,0.14999999,-0.18568558,15726
-0.10712334,-0.11102458,,8.721366167068481,0.14999999,0.0034825685,0.14999999,14,0.14999999,129,-152.60927,122.12403100775194,129,-0.46376902,0.14999999,-0.18568558,15754
-0.10712334,-0.11102458,,8.980307817459106,0.14999999,0.0034825685,0.14999999,14,0.14999999,130,-152.8409,125.03076923076924,130,0.28264642,0.14999999,-0.18568558,16254
-0.10712334,-0.11102458,,8.990514278411865,0.14999999,0.0034825685,0.14999999,14,0.14999999,131,-152.48528,124.19847328244275,131,-1.1441879,0.14999999,-0.18568558,16270
-0.10712334,-0.11102458,,9.027690887451172,0.14999999,0.0034825685,0.14999999,14,0.14999999,132,-152.04605,123.72727272727273,132,-0.068743035,0.14999999,-0.18568558,16332
-0.10712334,-0.11102458,,9.049990177154541,0.14999999,0.0034825685,0.14999999,14,0.14999999,133,-151.90205,123.06015037593986,133,-0.13643934,0.14999999,-0.18568558,16367
-0.10712334,-0.11102458,,9.086321592330933,0.14999999,0.0034825685,0.14999999,14,0.14999999,134,-151.83932,122.61194029850746,134,-0.0045948997,0.14999999,-0.18568558,16430
-0.10712334,-0.11102458,,9.099497079849243,0.14999999,0.0034825685,0.14999999,14,0.14999999,135,-151.4906,121.82962962962964,135,-0.38648647,0.14999999,-0.18568558,16447
-0.10712334,-0.11102458,,9.116227626800537,0.14999999,0.0034825685,0.14999999,14,0.14999999,136,-151.23395,121.13235294117646,136,-0.24797465,0.14999999,-0.18568558,16474
-0.10712334,-0.11102458,,9.1355881690979,0.14999999,0.0034825685,0.14999999,14,0.14999999,137,-151.01091,120.46715328467154,137,-0.37054533,0.14999999,-0.18568558,16504
-0.10712334,-0.11102458,,9.391682386398315,0.14999999,0.0034825685,0.14999999,14,0.14999999,138,-153.5077,123.21739130434783,138,-0.32940197,0.14999999,-0.18568558,17004
-0.10712334,-0.11102458,,9.421576738357544,0.14999999,0.0034825685,0.14999999,14,0.14999999,139,-153.15422,122.69064748201438,139,-0.44933546,0.14999999,-0.18568558,17054
-0.10712334,-0.11102458,,9.681541204452515,0.14999999,0.0034825685,0.14999999,14,0.14999999,140,-153.39894,125.38571428571429,140,-0.42702514,0.14999999,-0.18568558,17554
-0.10712334,-0.11102458,,9.71411395072937,0.14999999,0.0034825685,0.14999999,14,0.14999999,141,-153.35591,124.88652482269504,141,-1.0830663,0.14999999,-0.18568558,17609
-0.10712334,-0.11102458,,9.728316307067871,0.14999999,0.0034825685,0.14999999,14,0.14999999,142,-153.0619,124.16197183098592,142,-0.22626822,0.14999999,-0.18568558,17631
-0.10712334,-0.11102458,,9.738502502441406,0.14999999,0.0034825685,0.14999999,14,0.14999999,143,-152.749,123.39160839160839,143,0.07938644,0.14999999,-0.18568558,17645
-0.10712334,-0.11102458,,9.755361318588257,0.14999999,0.0034825685,0.14999999,14,0.14999999,144,-152.49243,122.72222222222223,144,-0.3830346,0.14999999,-0.18568558,17672
-0.10712334,-0.11102458,,10.015088081359863,0.14999999,0.0034825685,0.14999999,14,0.14999999,145,-154.8798,125.32413793103449,145,-0.49211615,0.14999999,-0.18568558,18172
-0.10712334,-0.11102458,,10.032197952270508,0.14999999,0.0034825685,0.14999999,14,0.14999999,146,-154.61183,124.64383561643835,146,-0.45676744,0.14999999,-0.18568558,18198
