Iteration,InvPendulum_std2_higher,InvPendulum_mu1_higher,NumTrajectories,NumTrainableParams,InvPendulum_mu2_higher,InvPendulum_mu0_higher,InvPendulum_std3_higher,TimestepsSoFar,MinEpLen,InvPendulum_mu3_higher,InvPendulum_std0_higher,ActionIn1,InvPendulum_std1_higher,TimeElapsed,AvgEpLen,ReturnMean
166,0.01,-0.11102458,166,,0.0034825685,-0.18568558,0.01,60881,68,-0.10712334,0.01,-0.40277594,0.01,35.443745136260986,366.7530120481928,-15.510587
167,0.01,-0.11102458,167,,0.0034825685,-0.18568558,0.01,61051,68,-0.10712334,0.01,-0.38267678,0.01,35.58109140396118,365.5748502994012,-15.811594
168,0.01,-0.11102458,168,,0.0034825685,-0.18568558,0.01,61551,68,-0.10712334,0.01,-0.38631833,0.01,35.918395042419434,366.375,-16.031546
169,0.01,-0.11102458,169,,0.0034825685,-0.18568558,0.01,62051,68,-0.10712334,0.01,-0.4156616,0.01,36.204123973846436,367.1656804733728,-15.897513
170,0.01,-0.11102458,170,,0.0034825685,-0.18568558,0.01,62223,68,-0.10712334,0.01,-0.40751624,0.01,36.38762855529785,366.0176470588235,-16.343979
171,0.01,-0.11102458,171,,0.0034825685,-0.18568558,0.01,62723,68,-0.10712334,0.01,-0.40344658,0.01,36.97349452972412,366.80116959064327,-15.804882
172,0.01,-0.11102458,172,,0.0034825685,-0.18568558,0.01,63223,68,-0.10712334,0.01,-0.40692008,0.01,37.31863737106323,367.5755813953488,-15.322033
173,0.01,-0.11102458,173,,0.0034825685,-0.18568558,0.01,63298,68,-0.10712334,0.01,-0.447159,0.01,37.37414813041687,365.88439306358384,-15.768343
174,0.01,-0.11102458,174,,0.0034825685,-0.18568558,0.01,63452,68,-0.10712334,0.01,-0.3766814,0.01,37.49178671836853,364.6666666666667,-16.179008
175,0.01,-0.11102458,175,,0.0034825685,-0.18568558,0.01,63952,68,-0.10712334,0.01,-0.4091424,0.01,37.873021841049194,365.44,-16.07407
176,0.01,-0.11102458,176,,0.0034825685,-0.18568558,0.01,64452,68,-0.10712334,0.01,-0.4196087,0.01,38.13458251953125,366.20454545454544,-15.708679
177,0.01,-0.11102458,177,,0.0034825685,-0.18568558,0.01,64952,68,-0.10712334,0.01,-0.37494305,0.01,38.52402114868164,366.96045197740114,-15.623933
178,0.01,-0.11102458,178,,0.0034825685,-0.18568558,0.01,65452,68,-0.10712334,0.01,-0.40107226,0.01,38.797574281692505,367.70786516853934,-15.67123
179,0.01,-0.11102458,179,,0.0034825685,-0.18568558,0.01,65952,68,-0.10712334,0.01,-0.378522,0.01,39.05925226211548,368.44692737430165,-15.724064
180,0.01,-0.11102458,180,,0.0034825685,-0.18568558,0.01,66126,68,-0.10712334,0.01,-0.4323341,0.01,39.17336821556091,367.3666666666667,-16.133919
181,0.01,-0.11102458,181,,0.0034825685,-0.18568558,0.01,66459,68,-0.10712334,0.01,-0.38664824,0.01,39.36034035682678,367.1767955801105,-16.441359
182,0.01,-0.11102458,182,,0.0034825685,-0.18568558,0.01,66588,68,-0.10712334,0.01,-0.3852225,0.01,39.43522572517395,365.86813186813185,-17.050621
183,0.01,-0.11102458,183,,0.0034825685,-0.18568558,0.01,67088,68,-0.10712334,0.01,-0.4084034,0.01,39.809648752212524,366.60109289617486,-17.094347
184,0.01,-0.11102458,184,,0.0034825685,-0.18568558,0.01,67588,68,-0.10712334,0.01,-0.40283573,0.01,40.094266414642334,367.32608695652175,-17.023731
185,0.01,-0.11102458,185,,0.0034825685,-0.18568558,0.01,68088,68,-0.10712334,0.01,-0.40372664,0.01,40.37818884849548,368.04324324324324,-16.749317
186,0.01,-0.11102458,186,,0.0034825685,-0.18568558,0.01,68224,68,-0.10712334,0.01,-0.41987866,0.01,40.45247411727905,366.7956989247312,-17.144287
187,0.01,-0.11102458,187,,0.0034825685,-0.18568558,0.01,68376,68,-0.10712334,0.01,-0.38384265,0.01,40.54088854789734,365.6470588235294,-17.703375
188,0.01,-0.11102458,188,,0.0034825685,-0.18568558,0.01,68632,68,-0.10712334,0.01,-0.4051227,0.01,40.70112490653992,365.06382978723406,-18.002724
189,0.01,-0.11102458,189,,0.0034825685,-0.18568558,0.01,69132,68,-0.10712334,0.01,-0.4171702,0.01,40.97218108177185,365.77777777777777,-17.631014
190,0.01,-0.11102458,190,,0.0034825685,-0.18568558,0.01,69632,68,-0.10712334,0.01,-0.40555644,0.01,41.24207162857056,366.4842105263158,-17.280388
