NumTrainableParams,Iteration,ReturnMean,TimeElapsed,MinEpLen,AvgEpLen,NumTrajectories,TimestepsSoFar,LQGmu1_higher,LQGsigma_higher,LQGmu1_actor
,188,0.0023102341,1.9588043689727783,20,20.0,188,3760,1.0,0.14999999,0.83216834
,189,0.0023353128,1.9680626392364502,20,20.0,189,3780,1.0,0.14999999,1.0533878
,190,0.0023230216,1.9793827533721924,20,20.0,190,3800,1.0,0.14999999,1.0482363
,191,0.002310859,1.9873359203338623,20,20.0,191,3820,1.0,0.14999999,1.1134813
,192,0.0022988233,1.999011754989624,20,20.0,192,3840,1.0,0.14999999,0.81193835
,193,0.0023273923,2.0072617530822754,20,20.0,193,3860,1.0,0.14999999,1.0069364
,194,0.0023153955,2.01497483253479,20,20.0,194,3880,1.0,0.14999999,0.83995116
,195,0.0023381456,2.022402048110962,20,20.0,195,3900,1.0,0.14999999,1.1344934
,196,0.0023262163,2.0323750972747803,20,20.0,196,3920,1.0,0.14999999,1.0142914
,197,0.002314408,2.0420618057250977,20,20.0,197,3940,1.0,0.14999999,1.1697009
,198,0.0023027193,2.051483392715454,20,20.0,198,3960,1.0,0.14999999,1.1745868
,199,0.0022911478,2.0636067390441895,20,20.0,199,3980,1.0,0.14999999,1.0241238
,200,0.002279692,2.0733611583709717,20,20.0,200,4000,1.0,0.14999999,1.1732025
,201,0.0022683502,2.0804543495178223,20,20.0,201,4020,1.0,0.14999999,1.161324
,202,0.0022571208,2.0908381938934326,20,20.0,202,4040,1.0,0.14999999,1.0403708
,203,0.002246002,2.0980472564697266,20,20.0,203,4060,1.0,0.14999999,0.7854468
,204,0.0022780455,2.105849027633667,20,20.0,204,4080,1.0,0.14999999,0.75428617
,205,0.0023151422,2.1132917404174805,20,20.0,205,4100,1.0,0.14999999,1.0361335
,206,0.0023039035,2.1218414306640625,20,20.0,206,4120,1.0,0.14999999,0.9077415
,207,0.0023122681,2.1294310092926025,20,20.0,207,4140,1.0,0.14999999,0.99409866
,208,0.0023024485,2.136727809906006,20,20.0,208,4160,1.0,0.14999999,1.0912938
,209,0.0022914319,2.1440749168395996,20,20.0,209,4180,1.0,0.14999999,0.89139193
,210,0.0023029477,2.152108669281006,20,20.0,210,4200,1.0,0.14999999,0.96732605
,211,0.002299018,2.1593048572540283,20,20.0,211,4220,1.0,0.14999999,1.1662117
,212,0.0022881734,2.1666555404663086,20,20.0,212,4240,1.0,0.14999999,1.1071103
,213,0.0022774308,2.173778772354126,20,20.0,213,4260,1.0,0.14999999,1.160344
,214,0.0022667886,2.1815547943115234,20,20.0,214,4280,1.0,0.14999999,1.0161037
,215,0.0022562456,2.190333843231201,20,20.0,215,4300,1.0,0.14999999,1.2447547
,216,0.0022457999,2.197681427001953,20,20.0,216,4320,1.0,0.14999999,0.9414886
,217,0.002247453,2.2053117752075195,20,20.0,217,4340,1.0,0.14999999,0.75776637
,218,0.0022819247,2.2146596908569336,20,20.0,218,4360,1.0,0.14999999,1.1774004
,219,0.002271505,2.2222492694854736,20,20.0,219,4380,1.0,0.14999999,0.9259875
,220,0.0022760353,2.2296509742736816,20,20.0,220,4400,1.0,0.14999999,1.146009
,221,0.0022657365,2.2370481491088867,20,20.0,221,4420,1.0,0.14999999,0.9673968
,222,0.0022621553,2.245680809020996,20,20.0,222,4440,1.0,0.14999999,0.9967397
,223,0.0022526802,2.2530152797698975,20,20.0,223,4460,1.0,0.14999999,1.0363194
,224,0.0022426236,2.2604591846466064,20,20.0,224,4480,1.0,0.14999999,0.9030581
,225,0.0022514556,2.267784357070923,20,20.0,225,4500,1.0,0.14999999,1.0833008
