Bound,IWLastEpisode,DenMISELogLast,InvPendulum_std0_higher,NumTrajectories,Iteration,ReturnMin,ReturnStepMax,MinEpLen,InvPendulum_std3_higher,TimestepsSoFar,ReturnMean,DenMISELogFirst,InvPendulum_mu0_higher,ActionIn1,AvgEpLen,ReturnAbsMax,BoundMISE,NumTrainableParams,IWMean,ReturnLastEpisode,InvPendulum_mu3_higher,IWMax,BoundBonus,IWMin,ReturnMax,InvPendulum_std1_higher,IWFirstEpisode,InvPendulum_mu2_higher,GridSize,Delta,InvPendulum_std2_higher,Regret/t,TimeElapsed,InvPendulum_mu1_higher,Regret,DenMISEMeanLog
inf,,11.015722,0.01,33,33,-133.95932,133.95932,11,0.01,754,-111.02057,7.244342,-1.0,-3.010418,22.848484848484848,133.95932,,,,-126.40106,,,inf,,,0.01,,-1.0,81,1.3615693e-06,0.01,116.02057,1.8953135013580322,-1.0,3828.6787,9.899535
inf,,10.920569,0.01,34,34,-133.95932,133.95932,11,0.01,799,-111.34024,7.214489,-1.0,-2.996439,23.5,133.95932,,,,-121.88939,-1.0,,inf,,,0.01,,,81,1.2826548e-06,0.01,116.34024,3.411215305328369,-1.0,3955.568,9.90059
inf,,8.477356,0.01,35,35,-133.95932,133.95932,11,0.01,861,-110.680626,7.1855016,-1.0,-2.0126817,24.6,133.95932,,,,-88.25388,,,inf,,,0.01,,,81,1.2104073e-06,0.01,115.680626,3.5868818759918213,-1.0,4048.822,9.831768
inf,,9.227108,0.01,36,36,-468.01556,468.01556,11,0.01,1361,-120.606606,7.1573305,-1.0,-1.0016809,37.80555555555556,468.01556,,,,-468.01556,1.0,,inf,,,0.01,,,81,1.1440965e-06,0.01,125.606606,4.085801839828491,-1.0,4521.838,9.787583
inf,,7.312314,0.01,37,37,-494.85684,494.85684,11,0.01,1861,-130.72147,7.1299314,-1.0,-1.0436547,50.2972972972973,494.85684,,,,-494.85684,,,inf,,,0.01,,1.0,81,1.0830892e-06,0.01,135.72147,4.701097011566162,-1.0,5021.6943,9.694026
inf,,8.379235,0.01,38,38,-494.85684,494.85684,11,0.01,1919,-131.22488,7.1032634,,-3.0253515,50.5,494.85684,,,,-149.85115,-1.0,,inf,,,0.01,,-1.0,81,1.0268345e-06,0.01,136.22488,4.924826622009277,-1.0,5176.5454,9.633459
inf,,8.45524,0.01,39,39,-494.85684,494.85684,11,0.01,1937,-130.683,7.0772877,,-2.0480373,49.666666666666664,494.85684,,,,-110.09119,,,inf,,,0.01,,-1.0,81,9.748514e-07,0.01,135.683,5.123903751373291,-1.0,5291.6367,9.577939
inf,,7.2775664,0.01,40,40,-494.85684,494.85684,11,0.01,1953,-130.16867,7.05197,,-1.0118344,48.825,494.85684,,,,-110.110245,1.0,,inf,,,0.01,,-1.0,81,9.267181e-07,0.01,135.16867,5.3395562171936035,-1.0,5406.747,9.495745
inf,,10.499205,0.01,41,41,-494.85684,494.85684,11,0.01,1972,-129.8116,7.0272775,,-2.0002313,48.09756097560975,494.85684,,,,-115.5289,-1.0,,inf,,,0.01,,,81,8.820637e-07,0.01,134.8116,5.502071142196655,-1.0,5527.276,9.496129
inf,,10.5495825,0.01,42,42,-494.85684,494.85684,11,0.01,2028,-129.38968,7.00318,,-1.0047605,48.285714285714285,494.85684,,,,-112.09075,,,inf,,,0.01,,,81,8.405606e-07,0.01,134.38968,5.673228025436401,-1.0,5644.366,9.497687
inf,,9.610016,0.01,43,43,-494.85684,494.85684,11,0.01,2528,-137.77911,6.9796495,,0.00214535,58.7906976744186,494.85684,,,,-490.13565,1.0,,inf,,,0.01,,,81,8.019195e-07,0.01,142.77911,6.08954930305481,-1.0,6139.502,9.477316
inf,,9.496586,0.01,44,44,-494.85684,494.85684,11,0.01,3028,-145.81915,6.95666,,-0.98788846,68.81818181818181,494.85684,,,,-491.5405,-1.0,,inf,,,0.01,,1.0,81,7.658827e-07,0.01,150.81915,6.513258457183838,-1.0,6636.043,9.455288
inf,,9.879363,0.01,45,45,-494.85684,494.85684,11,0.01,3058,-145.06902,6.934187,,-0.00067794014,67.95555555555555,494.85684,,,,-112.06241,,,inf,,,0.01,,1.0,81,7.3222174e-07,0.01,150.06902,6.668213129043579,-1.0,6753.1055,9.442739
inf,,10.536038,0.01,46,46,-494.85684,494.85684,11,0.01,3076,-144.41188,6.912208,,1.0122633,66.8695652173913,494.85684,,,,-114.840965,1.0,,inf,,,0.01,,1.0,81,7.0073213e-07,0.01,149.41188,6.817988157272339,-1.0,6872.9463,9.445004
inf,,10.435947,0.01,47,47,-494.85684,494.85684,11,0.01,3109,-144.06158,6.890702,1.0,-0.9693866,66.14893617021276,494.85684,,,,-127.948364,,,inf,,,0.01,,-1.0,81,6.7123085e-07,0.01,149.06158,6.981863737106323,-1.0,7005.8945,9.44504
inf,,9.524931,0.01,48,48,-494.85684,494.85684,11,0.01,3126,-143.35124,6.8696485,1.0,-1.0099499,65.125,494.85684,,,,-109.96522,-1.0,,inf,,,0.01,,,81,6.435543e-07,0.01,148.35124,7.127789735794067,-1.0,7120.86,9.426089
inf,,9.148361,0.01,49,49,-494.85684,494.85684,11,0.01,3186,-142.53758,6.849029,1.0,0.0033718839,65.0204081632653,494.85684,,,,-103.4817,,,inf,,,0.01,,,81,6.175547e-07,0.01,147.53758,7.3072943687438965,-1.0,7229.342,9.400223
inf,,10.438413,0.01,50,50,-494.85684,494.85684,11,0.01,3229,-142.38327,6.8288264,1.0,0.95742524,64.58,494.85684,,,,-134.82187,1.0,,inf,,,0.01,,,81,5.930996e-07,0.01,147.38327,7.474578857421875,-1.0,7369.1636,9.401188
inf,,7.8796806,0.01,51,51,-494.85684,494.85684,11,0.01,3303,-142.96385,6.809024,1.0,1.023338,64.76470588235294,494.85684,,,,-171.99286,,,inf,,,0.01,,1.0,81,5.700688e-07,0.01,147.96385,7.669349193572998,-1.0,7546.1562,9.35194
inf,,9.044287,0.01,52,52,-494.85684,494.85684,11,0.01,3321,-142.35071,6.7896056,-1.0,-3.0169713,63.86538461538461,494.85684,,,,-111.08082,-1.0,,inf,,,0.01,,-1.0,81,5.483539e-07,0.01,147.35071,7.822807550430298,,7662.237,9.326979
