DenMISEMeanLog,TimeElapsed,IWMean,Bound,IWFirstEpisode,LQGsigma,LQGmu01,MISE,SqrtESSClassic,ReturnMin,ReturnMean,DenMISELogLast,ExplorationBonus,ReturnLastEpisode,IWLastEpisode,DenMISELogFirst,ReturnMax,Iteration,ReturnAbsMax,ReturnStepMax,LQGmu1,IWNorm1,target_sum_log_mean,IWMin,URet,IWNorm2,TimestepsSoFar,IWMax
11.231928,78.1195764541626,1.0796983,26.3392,0.08920258,0.11,0.0030303032,10.01512,1.8608787,,13.509268,8.581901,16.32408,11.564318,1.2497593e-13,10.864007,16.942677,80,16.942677,0.9999914,0.030303031,86.37586,-35.419594,,12.80264658282993,46.416706,1600,32.976093
11.2849,79.09491968154907,1.0729886,26.28511,,0.11,-0.013131313,17.279488,3.3662226,,13.456977,15.57472,9.005623,9.273772,,10.852699,16.942677,81,16.942677,0.9999914,-0.13131313,86.91208,-125.41847,,10.182754833764616,25.818874,1620,12.179439
11.227133,80.06718754768372,1.1607399,26.198448,,0.11,-0.011111111,18.4121,3.8855305,,13.482839,6.5160484,7.786348,15.577478,6.5273147,10.840429,16.942677,82,16.942677,0.9999914,-0.11111111,95.18067,-93.599106,,17.286268809320475,24.496185,1640,7.660926
11.320353,81.14730668067932,1.1628872,25.934649,,0.11,-0.011111111,18.442968,4.030412,,13.511108,18.839853,7.49168,15.829236,7.0176415,10.828308,16.942677,83,16.942677,0.9999914,-0.11111111,96.51964,-92.22095,,17.524416303944683,23.947832,1660,7.091796
11.364772,82.14357852935791,1.1499519,25.77116,1.22032e-09,0.11,-0.0030303032,14.973729,2.7910614,,13.544794,14.922339,10.797431,16.340647,1.1663958e-09,10.816332,16.942677,84,16.942677,0.9999914,-0.030303031,96.59596,-26.768631,,18.076206168347213,34.609043,1680,16.053831
11.331779,83.33936619758606,1.146724,25.684164,3.3433643e-08,0.11,0.005050505,10.415546,1.9700049,,13.531185,8.481213,15.268618,12.388122,9.830691e-26,10.804497,16.942677,85,16.942677,0.9999914,0.05050505,97.471535,-48.80787,,13.704175323585511,49.477814,1700,28.045761
11.332269,84.44596481323242,0.8535374,25.443027,,0.11,-0.023232324,14.384327,2.7149105,,13.480314,11.362381,11.0587015,9.1563015,,10.792801,16.942677,86,16.942677,0.9999914,-0.23232323,73.40421,-355.782,,10.058152523721088,27.037434,1720,11.592125
10.919189,85.55437517166138,1.1241523,26.113222,,0.11,-0.013131313,18.158596,3.7674506,,13.513793,-24.419178,7.954626,16.392963,8.895258,10.78124,16.942677,87,16.942677,0.9999914,-0.13131313,97.80125,-121.76625,,18.146534359634696,25.95953,1740,10.4663315
10.945719,86.6499388217926,1.0509671,26.440983,,0.11,-0.017171716,17.422646,3.3171346,,13.549881,13.16576,9.018336,16.689528,10.649418,10.769812,16.942677,88,16.942677,0.9999914,-0.17171717,92.4851,-195.2339,,18.43821162011036,27.881021,1760,10.649418
11.039056,87.74055218696594,1.0816184,25.868118,,0.11,-0.015151516,17.779549,3.691936,,13.582588,19.242954,8.088569,16.460846,9.400857,10.7585125,16.942677,89,16.942677,0.9999914,-0.15151516,96.26404,-153.06387,,18.20129710771568,26.074135,1780,9.400857
11.0676775,88.83088088035583,1.056646,25.844637,,0.11,-0.017171716,17.538473,3.5890148,,13.618543,13.568279,8.306164,16.818426,9.246305,10.747339,16.942677,90,16.942677,0.9999914,-0.17171717,95.09814,-190.49084,,18.582350707770946,26.497004,1800,9.2513685
11.135817,89.96461749076843,1.0819862,25.388851,,0.11,-0.015151516,17.784075,3.913384,,13.648648,17.247107,7.6047754,16.358185,8.580124,10.736289,16.942677,91,16.942677,0.9999914,-0.15151516,98.46074,-149.32597,,18.10314153031562,25.16,1820,8.580124
11.181541,91.05641555786133,1.0875536,25.178497,,0.11,-0.015151516,17.871964,4.066338,,13.678389,15.291316,7.3065333,16.384783,7.030778,10.72536,16.942677,92,16.942677,0.9999914,-0.15151516,100.05493,-147.51546,,18.12544438614452,24.605661,1840,7.9269977
11.229676,92.10588192939758,0.9456079,25.198845,,0.11,-0.019191919,15.811119,3.1596785,,13.711896,15.599253,9.387726,16.794624,12.741358,10.714549,16.942677,93,16.942677,0.9999914,-0.1919192,87.941536,-227.01251,,18.555245859389935,27.832432,1860,12.741358
11.2285185,93.21032094955444,0.9760902,25.052357,,0.11,-0.00909091,15.130576,2.9847934,,13.743442,11.211566,9.92178,16.677177,5.0857802e-06,10.703854,16.942677,94,16.942677,0.9999914,-0.09090909,91.75248,-62.15279,,18.437176388688552,30.739977,1880,15.005917
