IWMin,Bound,URet,LQGsigma,ReturnMax,DenMISELogFirst,ReturnStepMax,Iteration,LQGmu1,IWLastEpisode,MISE,TimeElapsed,IWFirstEpisode,IWMean,ReturnAbsMax,LQGmu01,IWMax,ReturnMin,DenMISELogLast,DenMISEMeanLog,target_sum_log_mean,ReturnMean,ReturnLastEpisode,TimestepsSoFar
,3.9635546,6.435153430436619,0.45487425,14.387457,-13.567049,0.99494565,78,0.5635433,0.36735496,3.9635546,14.076278686523438,,0.65236515,14.387457,0.056354333,1.1458924,,-13.166528,-11.831247,-31.90064,6.755288,5.8710613,1560
,3.9752893,6.550752474494171,0.4548618,14.387457,-13.579788,0.99494565,79,0.5635791,0.7861811,3.9752893,14.319387435913086,,0.6545505,14.387457,0.05635791,1.1429827,,-12.374275,-11.842492,-31.659359,6.7451262,5.952508,1580
,3.9306827,6.620341343829867,0.45484903,14.387457,-13.592367,0.99494565,80,0.56361544,0.029718671,3.9306827,14.562860488891602,,0.64726275,14.387457,0.056361545,1.1401336,,-13.565264,-11.868315,-31.479986,6.7357345,5.993755,1600
,3.968463,6.5733825137989434,0.45483792,14.387457,-13.60479,0.99494565,81,0.5636494,1.1327854,3.968463,14.83358097076416,,0.65376073,14.387457,0.056364942,1.1373904,,-7.7681894,-11.822023,-31.188278,6.7263274,5.973686,1620
,3.997593,6.887294709316784,0.4548249,14.387457,-13.61706,0.99494565,82,0.5636846,0.977809,3.997593,15.098215579986572,,0.658218,14.387457,0.05636846,1.1347197,,-11.622637,-11.823786,-30.952684,6.7207446,6.268609,1640
,4.035533,6.699046563141728,0.45481244,14.387457,-13.629181,0.99494565,83,0.56371796,1.1361967,4.035533,15.362411975860596,,0.66445917,14.387457,0.056371797,1.1361967,,-7.4922476,-11.775689,-30.671083,6.71322,6.0962005,1660
,4.062773,7.049984430261617,0.45479643,14.387457,-13.641157,0.99494565,84,0.56375253,0.9506515,4.062773,15.632829904556274,,0.66835165,14.387457,0.056375254,1.1351094,,-11.792684,-11.7798605,-30.44983,6.709684,6.4161844,1680
,4.049167,6.557059720483842,0.45478073,14.387457,-13.652991,0.99494565,85,0.5637877,0.4494673,4.049167,15.915099859237671,,0.66624606,14.387457,0.05637877,1.1340544,,-13.135651,-11.799688,-30.258419,6.7010965,5.9797344,1700
,4.0709376,6.804299437529233,0.45476377,14.387457,-13.664688,0.99494565,86,0.56382287,0.92014915,4.0709376,16.17852807044983,,0.66970366,14.387457,0.056382287,1.134102,,-11.940218,-11.805179,-30.049322,6.6949735,6.1745396,1720
,4.0284395,6.351276935404985,0.4547467,14.387457,-13.676249,0.99494565,87,0.5638586,0.022444343,4.0284395,16.437695741653442,,0.6627699,14.387457,0.056385864,1.1347787,,-13.655603,-11.830221,-29.907478,6.684691,5.800424,1740
,4.0628514,6.646034184148181,0.45473072,14.387457,-13.687677,0.99494565,88,0.5638932,1.1245029,4.0628514,16.70733118057251,,0.6685107,14.387457,0.05638932,1.1353692,,-8.414899,-11.795218,-29.66468,6.6776075,6.0613065,1760
,4.096805,6.643240771214403,0.4547161,14.387457,-13.6989765,0.99494565,89,0.563926,1.1346093,4.096805,16.97437334060669,,0.6742135,14.387457,0.0563926,1.1358343,,-6.7790337,-11.74256,-29.408674,6.670462,6.0417056,1780
,4.111898,7.005052022928485,0.45469847,14.387457,-13.71015,0.99494565,90,0.56395876,0.81897926,4.111898,17.264018297195435,,0.67629075,14.387457,0.056395877,1.1363983,,-12.362608,-11.753046,-29.224224,6.6671767,6.374698,1800
,4.1394877,6.445399326508568,0.45468354,14.387457,-13.7212,0.99494565,91,0.56399214,1.0918635,4.1394877,17.57495617866516,,0.6813125,14.387457,0.056399215,1.1369246,,-10.190321,-11.73941,-29.01665,6.6582513,5.8550735,1820
,4.159112,6.214755287817875,0.45467216,14.387457,-13.732129,0.99494565,92,0.5640243,1.0107181,4.159112,17.847150564193726,,0.6853242,14.387457,0.056402434,1.137296,,-11.4438505,-11.739641,-28.827732,6.647449,5.664358,1840
,4.154689,7.084258136415999,0.4546589,14.387457,-13.74294,0.99494565,93,0.5640577,0.5418292,4.154689,18.244069576263428,,0.6842454,14.387457,0.05640577,1.1378,,-13.056738,-11.757168,-28.667082,6.6455884,6.4744377,1860
,4.139338,6.756077716101748,0.45464507,14.387457,-13.753635,0.99494565,94,0.5640917,0.40013906,4.139338,18.56915855407715,,0.681703,14.387457,0.05640917,1.1383605,,-13.300033,-11.77692,-28.515753,6.6402874,6.1473193,1880
,4.169965,6.7271725776193385,0.45463124,14.387457,-13.764217,0.99494565,95,0.56412506,1.1094334,4.169965,18.853614568710327,,0.68670046,14.387457,0.056412507,1.1388991,,-9.017769,-11.751209,-28.31178,6.6347632,6.1154213,1900
,4.135565,7.312955503233255,0.4546166,14.387457,-13.774689,0.99494565,96,0.56415904,0.09123935,4.135565,19.246354579925537,,0.6809824,14.387457,0.056415904,1.1395026,,-13.684829,-11.774594,-28.186773,6.6348968,6.6475782,1920
,4.167868,7.040325439164427,0.45459872,14.387457,-13.785051,0.99494565,97,0.5641918,1.0931888,4.167868,19.546924114227295,,0.68572855,14.387457,0.056419183,1.1401445,,-8.947723,-11.748723,-27.990114,6.6324797,6.4004803,1940
,4.1773415,6.9366724093511465,0.4545784,14.387457,-13.795308,0.99494565,98,0.5642234,0.7662763,4.1773415,19.834080696105957,,0.6870264,14.387457,0.05642234,1.1407998,,-12.575636,-11.76035,-27.83824,6.6291623,6.3073864,1960
,4.151585,7.458711585389054,0.45455566,14.387457,-13.80546,0.99494565,99,0.5642538,0.19921532,4.151585,20.156919956207275,,0.68258804,14.387457,0.05642538,1.1414723,,-13.59402,-11.782017,-27.713448,6.6307793,6.7892504,1980
,4.1583023,7.162185091029388,0.45452857,14.387457,-13.815511,0.99494565,100,0.56427765,0.69263613,4.1583023,20.468807458877563,,0.68318474,14.387457,0.056427766,1.1419237,,-12.7711,-11.795063,-27.570503,6.629962,6.5490785,2000
,4.166397,6.5479560281333935,0.45450228,14.387457,-13.82546,0.99494565,101,0.5643045,0.78460366,4.166397,20.78397798538208,,0.6846886,14.387457,0.056430448,1.1425211,,-12.589125,-11.806045,-27.427452,6.6234384,5.9710045,2020
,4.1853037,6.570747165384912,0.4544771,14.387457,-13.835313,0.99494565,102,0.5643337,0.9645536,4.1853037,21.207562685012817,,0.68794465,14.387457,0.05643337,1.1432252,,-11.795349,-11.809013,-27.277426,6.617403,6.0078397,2040
