ReturnMean,IWMin,IWNorm1,ReturnStepMax,ReturnMax,LQGsigma,IWMean,LQGmu1,URet,Iteration,DenMISELogFirst,Bound,ExplorationBonus,ReturnLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnMin,TimeElapsed,DenMISEMeanLog,IWNorm2,IWMax,ReturnAbsMax,MISE,TimestepsSoFar,IWFirstEpisode,LQGmu01,DenMISELogLast,IWLastEpisode
11.07315,,69.4757,0.98656696,15.232155,0.11,1.1978569,-0.05050505,15.039788631399778,58,11.190638,21.717495,5.076795,13.559097,-56.101772,3.4339004,,53.6323778629303,13.346474,20.2323,7.180916,15.232155,16.6407,1160,1.6423699e-21,-0.005050505,16.61975,6.8641844
11.112735,,69.385796,0.98656696,15.232155,0.11,1.1760304,-0.05050505,14.844006963401391,59,11.173543,21.118599,4.8117404,13.408709,-54.946453,3.605568,,54.594016313552856,13.299375,19.244068,6.49997,15.232155,16.306858,1180,1.6706854e-21,-0.005050505,10.417982,5.1764736
11.169928,,67.89514,0.98656696,15.232155,0.11,1.1315857,-0.05050505,16.11526968603982,60,11.156736,20.34048,4.604886,14.544295,-53.736378,3.7498205,,55.55078840255737,13.355147,18.106237,5.9541707,15.232155,15.735596,1200,1.6989963e-21,-0.005050505,16.511293,3.148196
11.21217,,68.507095,0.98656696,15.232155,0.11,1.1230671,-0.05050505,15.243472169779023,61,11.140207,20.016186,4.4023967,13.7466345,-52.5714,3.9043264,,56.537944316864014,13.396863,17.546457,5.506923,15.232155,15.61379,1220,1.7273191e-21,-0.005050505,15.802993,4.5902843
11.252752,,69.605385,0.98656696,15.232155,0.11,1.1226676,-0.05050505,15.217405829072268,62,11.123946,19.828531,4.2263727,13.728355,-51.46551,4.048775,,57.56438112258911,13.41517,17.191713,5.1337366,15.232155,15.602159,1240,1.7556319e-21,-0.005050505,14.440014,4.729104
11.283523,,71.026215,0.98656696,15.232155,0.11,1.1274003,-0.05050505,14.632669359278347,63,11.107946,19.69273,4.0725203,13.191264,-50.39248,4.183427,,58.72385025024414,13.434903,16.977999,4.817629,15.232155,15.620211,1260,1.7839459e-21,-0.005050505,14.564438,4.812463
11.316555,,72.2673,0.98656696,15.232155,0.11,1.1291766,-0.05050505,14.840032713972327,64,11.092197,19.551247,3.9324152,13.397616,-49.298023,4.3140583,,59.807451486587524,13.510247,16.751583,4.5464344,15.232155,15.618831,1280,1.812267e-21,-0.005050505,18.156393,4.4645658
11.3404875,,62.92227,0.98656696,15.232155,0.11,0.9680349,-0.030303031,14.24873220768742,65,11.076694,24.862339,12.322048,12.872137,-26.780424,1.3710595,,60.901845932006836,13.530944,45.893173,45.29934,15.232155,12.54029,1300,9.405885e-10,-0.0030303032,14.751485,45.29934
11.358451,,51.353622,0.98656696,15.232155,0.11,0.7780852,-0.030303031,13.87168067469543,66,11.061426,19.516449,9.461997,12.526072,-26.073454,1.7782487,,61.95336389541626,13.594344,28.878763,27.105844,15.232155,10.054451,1320,9.550599e-10,-0.0030303032,17.913904,7.1399918
11.375277,,65.58939,0.98656696,15.232155,0.11,0.97894615,-0.030303031,13.808634649541633,67,11.046389,20.548473,8.0396185,12.4858,-25.480043,2.0845685,,63.06449365615845,13.544626,31.464254,22.871387,15.232155,12.508854,1340,9.695301e-10,-0.0030303032,10.555014,22.871387
11.390454,,72.36407,0.98656696,15.232155,0.11,1.0641775,-0.030303031,13.75433097345072,68,11.031573,20.49253,6.9713087,12.407392,-25.029661,2.394708,,64.14069151878357,13.377566,30.218328,17.38028,15.232155,13.521223,1360,9.840001e-10,-0.0030303032,2.290636,17.38028
11.385976,,62.804707,0.98656696,15.232155,0.11,0.9102131,-0.030303031,12.231230036743288,69,11.016974,18.182747,6.6108174,11.0814,-24.431803,2.5157316,,65.20889067649841,13.429948,24.964788,14.045858,15.232155,11.57193,1380,9.984708e-10,-0.0030303032,17.006266,0.4566856
11.388468,,67.780075,0.98656696,15.232155,0.11,0.9682868,-0.030303031,12.791134551419942,70,11.002585,18.11594,5.988574,11.560403,-23.848255,2.7668424,,66.56942963600159,13.435315,24.497267,11.839363,15.232155,12.127366,1400,1.0129416e-09,-0.0030303032,13.946662,11.821954
11.418819,,76.36189,0.98656696,15.232155,0.11,1.0755196,-0.05050505,15.04249253706263,71,10.9884,18.50381,3.6360831,13.543474,-43.350784,4.540428,,67.73908853530884,13.49718,16.818214,4.448161,15.232155,14.867727,1420,2.010486e-21,-0.005050505,17.908096,4.227345
11.458162,,77.227715,0.98656696,15.232155,0.11,1.0726072,-0.05050505,15.82185905541037,72,10.974415,18.378553,3.527354,14.251507,-42.531208,4.663776,,68.74540758132935,13.510113,16.559053,4.2448697,15.232155,14.8512,1440,2.0387995e-21,-0.005050505,14.372808,3.6178436
11.479412,,77.630615,0.98656696,15.232155,0.11,1.063433,-0.05050505,14.420834022859312,73,10.960622,18.120193,3.4284666,13.009359,-41.702114,4.7816176,,69.74480390548706,13.557205,16.23522,4.0642114,15.232155,14.691728,1460,2.0671175e-21,-0.005050505,16.89388,2.9997697
11.507353,,78.514275,0.98656696,15.232155,0.11,1.0610037,-0.05050505,15.010657644218892,74,10.947016,17.983622,3.33594,13.547062,-40.878555,4.89751,,70.7289228439331,13.618472,16.031467,3.9026144,15.232155,14.647682,1480,2.095437e-21,-0.005050505,18.044725,3.3087718
11.530898,,79.944016,0.98656696,15.232155,0.11,1.0659202,-0.05050505,14.726034329419958,75,10.933593,17.942528,3.252121,13.273157,-40.118576,5.006975,,71.74493885040283,13.63487,15.966529,3.7572043,15.232155,14.690407,1500,2.1237474e-21,-0.005050505,14.803397,3.7318678
11.550467,,79.7641,0.98656696,15.232155,0.11,1.0495276,-0.05050505,14.43511510123868,76,10.920347,17.623985,3.1787493,13.018127,-39.36127,5.105791,,72.78447103500366,13.676103,15.62228,3.6256669,15.232155,14.445235,1520,2.1520628e-21,-0.005050505,16.718012,2.051088
11.57286,,81.16586,0.98656696,15.232155,0.11,1.0541021,-0.05050505,14.731010131758788,77,10.907275,17.591759,3.10465,13.274824,-38.754253,5.2108865,,73.785897731781,13.578613,15.57621,3.5061097,15.232155,14.487108,1540,2.1803815e-21,-0.005050505,6.133917,3.473345
11.600351,,82.44481,0.98656696,15.232155,0.11,1.0569848,-0.05050505,15.17057908298986,78,10.894372,17.56117,3.034574,13.717169,-38.075066,5.3144484,,74.77912330627441,13.572114,15.513333,3.396968,15.232155,14.526596,1560,2.2087019e-21,-0.005050505,13.0310335,3.291503
11.627355,,83.626076,0.98656696,15.232155,0.11,1.0585579,-0.05050505,15.240347266547424,79,10.881633,17.51707,2.9683607,13.733595,-37.393417,5.4162254,,75.86606240272522,13.586106,15.4399185,3.2969346,15.232155,14.548711,1580,2.2370146e-21,-0.005050505,14.63351,3.1312575
11.647024,,84.89614,0.98656696,15.232155,0.11,1.0612018,-0.05050505,14.637217419364628,80,10.869054,17.470787,2.906365,13.200962,-36.784637,5.5150027,,76.88489890098572,13.543854,15.393672,3.204917,15.232155,14.564423,1600,2.2653359e-21,-0.005050505,10.159714,3.1561232
11.675912,,85.94876,0.98656696,15.232155,0.11,1.0610958,-0.05050505,15.499557649323284,81,10.856631,17.420267,2.8471394,13.986946,-36.074398,5.612983,,77.97709703445435,13.620286,15.312492,3.119987,15.232155,14.573128,1620,2.2936484e-21,-0.005050505,19.685469,2.885054
