IWMean,LQGmu01,DenMISEMeanLog,Iteration,SqrtESSClassic,URet,Bound,LQGmu1,TimeElapsed,IWNorm1,DenMISELogLast,ExplorationBonus,target_sum_log_mean,LQGsigma,ReturnMean,DenMISELogFirst,IWNorm2,IWLastEpisode,ReturnMin,ReturnAbsMax,IWMin,IWMax,ReturnLastEpisode,MISE,ReturnStepMax,ReturnMax,TimestepsSoFar,IWFirstEpisode
1.1983705,-0.023232324,13.486697,61,2.263203,18.640944485490348,35.19747,-0.23232323,60.575743436813354,73.1006,14.421175,15.002811,-707.0315,0.11,11.917123,10.364247,32.29962,18.279127,,16.977203,,18.279127,16.871834,20.194658,0.99998045,16.977203,1220,
1.2100974,-0.023232324,13.485314,62,2.5037854,18.65163946522318,33.9599,-0.23232323,61.56391167640686,75.02604,13.314473,13.561229,-695.3698,0.11,11.997216,10.347987,29.965044,14.574544,,16.977203,,14.574544,16.88283,20.39867,0.99998045,16.977203,1240,
0.7324004,-0.019191919,13.498526,63,1.6678154,18.566436693507974,32.622997,-0.1919192,62.60259962081909,46.141228,14.202419,20.358612,-507.0181,0.11,12.073508,10.331986,27.665668,2.5662942,,16.977203,,25.279139,16.803658,12.264384,0.99998045,16.977203,1260,
0.95071924,-0.015151516,13.500414,64,2.0091608,18.495028036449188,32.258343,-0.15151516,63.67387056350708,60.84603,13.957595,16.899796,-352.76837,0.11,12.14641,10.316238,30.284304,0.010862622,,16.977203,,17.105717,16.739197,15.358547,0.99998045,16.977203,1280,
1.0927795,-0.011111111,13.491664,65,2.2696655,17.964640846200055,32.24783,-0.11111111,64.91946125030518,71.03067,13.069523,14.9600935,-231.06203,0.11,12.209437,10.3007345,31.295656,2.6235292,,16.977203,,16.37529,16.243113,17.287735,0.99998045,16.977203,1300,
1.1683464,-0.023232324,13.5420065,66,2.811838,17.644126101130787,31.756714,-0.23232323,66.06364893913269,77.11086,16.814407,12.0755205,-653.3766,0.11,12.265934,10.285466,27.42365,9.7311975e-23,,16.977203,,12.525783,15.938238,19.681194,0.99998045,16.977203,1320,
1.2725048,-0.00909091,13.383486,67,2.904241,18.47977930855024,31.314266,-0.09090909,67.09543514251709,85.25782,2.823348,11.6913185,-177.95718,0.11,12.332364,10.270429,29.356318,3.2169936e-08,,16.977203,,14.677498,16.71677,19.622948,0.99998045,16.977203,1340,
1.1703229,-0.011111111,13.292725,68,2.701548,17.32470839226476,31.072018,-0.11111111,68.00301003456116,79.581955,7.018145,12.5685,-220.55237,0.11,12.3810425,10.255613,29.457909,13.450428,,16.977203,,13.450428,15.642543,18.503517,0.99998045,16.977203,1360,
0.8874359,-0.019191919,13.328614,69,2.1387937,16.988659836715065,30.728985,-0.1919192,68.9163658618927,61.233078,15.67564,15.875494,-463.19543,0.11,12.423904,10.2410145,28.629726,1.04987754e-19,,16.977203,,19.244179,15.338457,14.853491,0.99998045,16.977203,1380,
0.9789348,-0.0030303032,13.34063,70,1.9111075,18.139974989489968,30.263285,-0.030303031,70.18796563148499,68.52544,14.349361,17.766874,-77.90504,0.11,12.480648,10.226626,35.8564,1.1707757e-20,,16.977203,,23.246252,16.396042,12.49641,0.99998045,16.977203,1400,2.2007927e-09
1.3976376,-0.0070707067,13.247209,71,2.9884038,16.485331072517376,32.336884,-0.07070707,71.2195680141449,99.23227,6.8317223,11.362055,-130.60748,0.11,12.514508,10.212441,33.205776,14.430884,,16.977203,,14.430884,14.884723,20.97483,0.99998045,16.977203,1420,2.46451e-37
1.3709719,-0.0070707067,13.2472315,72,3.1733077,16.550120557176765,31.263899,-0.07070707,72.26621985435486,98.70998,12.942729,10.700005,-128.5797,0.11,12.547777,10.198455,31.106337,11.577419,,16.977203,,12.162156,14.909878,20.563894,0.99998045,16.977203,1440,2.4992176e-37
0.99076444,-0.015151516,13.289427,73,2.420168,15.675917478779235,30.074833,-0.15151516,73.30409932136536,72.325806,16.034914,14.029773,-309.44485,0.11,12.569553,10.184662,29.884623,1.2218106e-20,,16.977203,,15.2673645,14.137394,16.045061,0.99998045,16.977203,1460,
1.1497141,-0.011111111,13.293546,74,2.900899,17.788431512715587,29.917673,-0.11111111,74.34976887702942,85.07884,13.671515,11.704788,-201.93504,0.11,12.616783,10.171056,29.32844,11.349541,,16.977203,,12.197369,16.064556,18.212885,0.99998045,16.977203,1480,
1.3002594,-0.0070707067,13.292206,75,3.3392608,17.4025255753266,29.589409,-0.07070707,75.67996335029602,97.519455,13.1082,10.168241,-122.93992,0.11,12.658109,10.157633,29.203905,0.03757831,,16.977203,,10.837267,15.716181,19.42117,0.99998045,16.977203,1500,2.6033592e-37
1.1505641,-0.011111111,13.337897,76,3.0850763,15.97306512229635,29.216759,-0.11111111,76.77733778953552,87.44287,16.52805,11.006019,-196.35722,0.11,12.6811905,10.144388,28.343828,6.393639e-06,,16.977203,,10.821548,14.412385,18.21074,0.99998045,16.977203,1520,
1.0066745,-0.023232324,13.204067,77,2.8502913,17.033027904411174,28.868744,-0.23232323,77.81164765357971,77.51394,2.9399917,11.912609,-569.3498,0.11,12.715979,10.131316,27.195093,1.4820997e-29,,16.977203,,12.252823,15.3598175,16.956135,0.99998045,16.977203,1540,
1.0386695,-0.019191919,13.093223,78,2.5952263,18.463708598418563,30.418816,-0.1919192,78.89987468719482,81.01622,4.6022515,13.083409,-413.21924,0.11,12.767092,10.118413,31.217402,15.0608635,,16.977203,,16.670849,16.702845,17.335405,0.99998045,16.977203,1560,
1.0826948,-0.019191919,13.100628,79,2.8185866,18.49715237383247,30.124563,-0.1919192,80.25923442840576,85.53288,13.704873,12.046608,-407.78156,0.11,12.817323,10.105674,30.34602,14.20248,,16.977203,,14.20248,16.73526,18.077955,0.99998045,16.977203,1580,
