ExplorationBonus,target_sum_log_mean,IWMean,DenMISELogLast,ReturnMean,DenMISELogFirst,LQGmu01,IWMin,ReturnAbsMax,MISE,IWLastEpisode,IWNorm1,ReturnMax,ReturnStepMax,IWFirstEpisode,IWMax,ReturnLastEpisode,LQGmu1,SqrtESSClassic,LQGsigma,TimeElapsed,URet,DenMISEMeanLog,IWNorm2,TimestepsSoFar,Iteration,ReturnMin,Bound
71.897194,-807.073,0.8717153,-4.09044,15.811214,9.9689865,-0.05757576,,17.391537,15.079854,,62.763504,17.391537,0.9999982,,22.803152,17.200645,-0.57575756,1.7583696,0.11,69.42135787010193,18.988125534747844,-2.624215,35.69415,1440,72,,86.97705
76.35876,-976.62744,0.5954131,-29.774448,15.82856,9.955193,-0.06363636,,17.391537,10.342461,,43.465157,17.391537,0.9999982,,19.558195,17.07743,-0.6363636,1.6529158,0.11,70.42616081237793,18.857805355192596,-2.9992127,26.29605,1460,73,,86.70122
64.71459,-499.58212,1.2310147,16.43982,15.849788,9.941587,-0.045454547,,17.39946,21.311022,0.00046161187,91.09509,17.39946,0.9999982,,40.4252,17.39946,-0.45454547,1.9480699,0.11,71.40490317344666,19.187007917680194,-2.7426534,46.761715,1480,74,,86.02561
50.563335,-325.4364,2.0535035,8.670703,15.869981,9.9281645,-0.035353538,,17.39946,35.105125,1.3080799e-19,154.01277,17.39946,0.9999982,,32.952137,17.364202,-0.35353535,2.4893274,0.11,72.29044818878174,19.149721018873695,-2.589386,61.869232,1500,75,,85.66846
76.30635,-173.95422,0.5544934,13.067261,15.888413,9.914919,-0.011111111,,17.39946,8.738835,4.8033583e-33,42.141502,17.39946,0.9999982,,18.695408,17.270838,-0.11111111,1.6469454,0.11,73.3084626197815,19.05337520552254,-2.3730617,25.587675,1520,76,,85.04519
72.007904,-190.47374,0.81932,-17.024837,15.895388,9.901847,-0.005050505,,17.39946,11.538074,3.406436e-14,63.087643,17.39946,0.9999982,5.9591517e-21,24.196356,16.42544,-0.05050505,1.7425797,0.11,74.46169090270996,18.152221377002373,-2.5696843,36.20359,1540,77,,83.545975
72.148705,-2461.859,0.605127,8.862801,15.873423,9.888944,-0.1,,17.39946,10.398414,,47.199905,17.39946,0.9999982,,19.258646,14.182112,-1.0,1.7365521,0.11,75.48124051094055,15.672233796088518,-2.4265406,27.18024,1560,78,,82.54712
61.764828,-1849.8916,1.1885445,-59.63149,15.88543,9.8762045,-0.087878786,,17.39946,20.514431,,93.89502,17.39946,0.9999982,,27.864235,16.822014,-0.8787879,2.0254843,0.11,76.5253164768219,18.60047264613013,-3.156239,46.356823,1580,79,,82.27926
81.94801,-300.65128,3.383166e-12,8.727215,15.901785,9.863626,0.0070707067,,17.39946,3.176964e-11,,2.7065328e-10,17.39946,0.9999982,8.722475e-19,1.5493601e-10,17.193815,0.07070707,1.5243874,0.11,77.57595705986023,18.982068237749402,-3.0070524,1.7754889e-10,1600,80,,81.94801
81.82982,-303.9387,3.3831644e-12,-59.65649,15.912158,9.851203,0.0070707067,,17.39946,3.1769625e-11,,2.7403632e-10,17.39946,0.9999982,8.831522e-19,1.5687243e-10,16.742065,0.07070707,1.5243881,0.11,78.64892482757568,18.444390676101335,-3.7186973,1.7976809e-10,1620,81,,81.82982
124.56323,-300.02792,0.49999973,13.03174,15.828663,9.838933,0.0070707067,,17.39946,4.532763,40.999977,40.999977,17.39946,0.9999982,8.940535e-19,40.999977,9.065531,0.07070707,1.0,0.11,79.8703625202179,9.957609784033322,-3.5265443,40.999977,1640,82,,129.096
124.30533,-380.12976,2.2848752e-21,17.703264,15.747041,9.826812,0.013131313,,17.39946,2.0687437e-20,1.8959913e-19,1.8972765e-19,17.39946,0.9999982,,1.8959913e-19,9.054074,0.13131313,1.0006726,0.11,81.21917867660522,9.944529712995195,-3.2778533,1.8960012e-19,1660,83,,124.30533
