DenMISELogFirst,ReturnAbsMax,ReturnMin,IWLastEpisode,URet,DenMISELogLast,ReturnStepMax,Iteration,LQGmu1,IWMean,TimestepsSoFar,TimeElapsed,Bound,IWFirstEpisode,target_sum_log_mean,MISE,LQGsigma,DenMISEMeanLog,IWMin,IWMax,ReturnMean,ReturnLastEpisode,ReturnMax,LQGmu01
16.645527,14.9376135,,2.3964698,15.732357089020608,9.113897,0.9969146,51,-0.39820516,1.1298451,1020,12.387707948684692,16.118092,1.3101671e-08,12.465732,16.118092,0.11,15.542861,,2.740903,13.476694,14.208639,14.9376135,-0.48967773
16.626108,14.9376135,,1.7818973,15.9098880785977,11.855178,0.9969146,52,-0.3974738,1.1235335,1040,12.647308111190796,16.032005,2.034082e-08,12.569731,16.032005,0.11,15.474232,,2.446456,13.493412,14.345963,14.9376135,-0.48960146
16.60706,14.9376135,,1.6233506,15.303415678009033,14.088302,0.9969146,53,-0.39661527,1.116154,1060,12.901956796646118,15.911802,3.3637047e-08,12.723603,15.911802,0.11,15.45023,,2.1585689,13.49844,13.75989,14.9376135,-0.48951182
16.588367,14.9376135,,2.549122,15.83202662262284,19.446922,0.9969146,54,-0.3986817,1.1234885,1080,13.170180320739746,16.019463,1.05046025e-08,12.581399,16.019463,0.11,15.5262375,,2.6704967,13.514172,14.347973,14.9376135,-0.4897274
16.570019,14.9376135,,1.2483906,15.94674405154606,13.654205,0.9969146,55,-0.39737612,1.1087378,1100,13.443117380142212,15.812609,2.2744558e-08,12.782342,15.812609,0.11,15.494272,,2.2383914,13.53011,14.390802,14.9376135,-0.48959124
16.552,14.9376135,,1.8526539,16.095281999743104,14.483713,0.9969146,56,-0.39730182,1.1083888,1120,13.707858085632324,15.815261,2.4155781e-08,12.833386,15.815261,0.11,15.478027,,2.1716619,13.54733,14.49441,14.9376135,-0.4895835
16.5343,14.9376135,,2.3004816,15.70561515999346,14.613173,0.9976285,57,-0.3987063,1.1141373,1140,13.971381425857544,15.894799,1.0929144e-08,12.69386,15.894799,0.11,15.4646225,,2.4927235,13.559107,14.218634,14.9376135,-0.48972997
16.516909,14.9376135,,1.4403818,16.257966250642962,14.716556,0.9976285,58,-0.39779875,1.1055886,1160,14.242514848709106,15.784956,1.8839796e-08,12.853138,15.784956,0.11,15.453553,,2.1935213,13.57938,14.734969,14.9376135,-0.48963535
16.499815,14.9376135,,2.1073272,15.199155413533493,15.484009,0.9976285,59,-0.39857715,1.1096576,1180,14.516633987426758,15.820634,1.2202624e-08,12.810632,15.820634,0.11,15.45574,,2.3474479,13.580848,13.665974,14.9376135,-0.48971653
16.483007,14.9376135,,4.0436826,15.699808617864987,15.552006,0.9976285,60,-0.40268034,1.1292888,1200,14.803263902664185,16.085918,9.90967e-10,12.296618,16.085918,0.11,15.45905,,4.0436826,13.591243,14.204538,14.9376135,-0.49014354
16.466478,14.9376135,,0.49567458,15.992400432232879,17.27187,0.9976285,61,-0.40096232,1.0994087,1220,15.10310411453247,15.668597,2.9940512e-09,12.617409,15.668597,0.11,15.49071,,3.0878432,13.604541,14.402472,14.9376135,-0.48996493
16.450218,14.9376135,,1.6118501,15.071386126226013,13.231944,0.9976285,62,-0.39978,1.0934557,1240,15.402777671813965,15.568973,6.273925e-09,12.795383,15.568973,0.11,15.455753,,2.5462115,13.603338,13.529982,14.9376135,-0.48984185
16.434217,14.9376135,,1.8550583,15.403368822500278,19.578896,0.9976285,63,-0.39968297,1.0938864,1260,15.76050591468811,15.564695,6.7588686e-09,12.925423,15.564695,0.11,15.522577,,2.452187,13.607523,13.8668585,14.9376135,-0.48983175
16.418468,14.9376135,,2.041296,16.211120036775547,15.448072,0.9976285,64,-0.40030113,1.0971565,1280,16.051997661590576,15.622982,4.720116e-09,12.896273,15.622982,0.11,15.522781,,2.6093216,13.62351,14.630786,14.9376135,-0.48989612
16.402964,14.9376135,,2.5676408,16.479496733666508,16.870726,0.9976285,65,-0.40202075,1.1057172,1300,16.335618019104004,15.767283,1.6396913e-09,12.7407,15.767283,0.11,15.544914,,3.1929522,13.642888,14.8831,14.9376135,-0.490075
16.387697,14.9376135,,1.4077321,15.708739996083253,13.631879,0.9976285,66,-0.40086442,1.0969076,1320,16.650529384613037,15.640546,3.4422363e-09,12.913463,15.640546,0.11,15.517415,,2.6578794,13.651155,14.188499,14.9376135,-0.48995474
16.37266,14.9376135,,4.3317184,15.766245747543822,10.571839,0.9976285,67,-0.40518978,1.118469,1340,16.949126482009888,15.948707,2.0742025e-10,12.280906,15.948707,0.11,15.444954,,4.415781,13.660716,14.291675,14.9376135,-0.490404
16.357843,15.059469,,1.3712718,16.71279405291788,10.3916855,0.9976285,68,-0.40355644,1.1038493,1360,17.279905080795288,15.757299,6.331673e-10,12.501172,15.757299,0.11,15.372231,,3.4747963,13.681285,15.059469,15.059469,-0.49023452
16.343245,15.059469,,1.6194618,16.068218336811,19.933949,0.9976285,69,-0.4025088,1.09772,1380,17.5875346660614,15.675043,1.2731308e-09,12.760128,15.675043,0.11,15.439733,,2.9487062,13.692603,14.462184,15.059469,-0.49012572
16.328856,15.059469,,86.8126,15.587148010004881,11.290111,0.9976285,70,-0.42918527,1.7548074,1400,17.878235816955566,24.770216,6.637731e-20,6.391281,24.770216,0.11,15.381756,,86.8126,13.697871,14.061413,15.059469,-0.49287108
16.314672,15.059469,,31.150473,15.71065982684545,9.683247,0.9976285,71,-0.42777157,1.4881876,1420,18.183171272277832,21.099558,3.428276e-19,6.9812407,21.099558,0.11,15.305805,,37.286785,13.705406,14.232841,15.059469,-0.4927268
16.300686,15.059469,,1697.0625,15.511776077310238,10.988147,0.9976285,72,-0.45866832,23.60751,1440,18.493422031402588,334.09863,,-8.636615,334.09863,0.11,15.249968,,1697.0625,13.711613,14.152229,15.059469,-0.49585748
16.286892,15.059469,,127.265,15.066815894837655,10.394422,0.9976285,73,-0.46621364,2.4737217,1460,18.870222330093384,34.329185,,-13.88639,34.329185,0.11,15.214211,,127.265,13.712309,13.762484,15.059469,-0.49661627
16.273287,15.059469,,39.12775,15.346859154319649,13.37565,0.9976285,74,-0.46309376,1.5890853,1480,19.222477674484253,22.173603,,-11.105707,22.173603,0.11,15.197015,,40.21456,13.715605,13.956263,15.059469,-0.49630272
16.259863,15.059469,,32.445225,15.837787230095794,14.759464,0.9976285,75,-0.46615124,1.4378769,1500,19.564045667648315,20.254154,,-12.999253,20.254154,0.11,15.194987,,32.445225,13.725305,14.443027,15.059469,-0.49661
16.246618,15.059469,,22.479229,15.258146311390012,11.852614,0.9976285,76,-0.46677372,1.3452559,1520,19.93557381629944,18.897192,,-13.104931,18.897192,0.11,15.1540575,,23.733244,13.727738,13.910178,15.059469,-0.4966725
16.233547,15.059469,,16.37087,15.555671431041912,16.29857,0.9976285,77,-0.46646684,1.2699131,1540,20.253028392791748,17.859108,,-12.455773,17.859108,0.11,15.171464,,18.031073,13.733202,14.148457,15.059469,-0.4966417
16.220642,15.059469,,16.055975,15.60520435381185,14.04567,0.9976285,78,-0.46763918,1.2465503,1560,20.56712555885315,17.562819,,-12.958289,17.562819,0.11,15.159058,,16.055975,13.739356,14.213293,15.059469,-0.49675944
16.207903,15.059469,,10.47424,15.064845083333628,19.197178,0.9976285,79,-0.4654535,1.1724876,1580,21.092817783355713,16.466288,,-10.921747,16.466288,0.11,15.212103,,11.836676,13.739276,13.733097,15.059469,-0.4965399
16.195326,15.059469,,11.019378,15.71132576639624,10.509522,0.9976285,80,-0.4638395,1.1555158,1600,21.61971402168274,16.252117,,-9.494732,16.252117,0.11,15.154584,,11.279974,13.746302,14.301224,15.059469,-0.49637768
16.182903,15.059469,,10.764073,14.845748726081238,10.155692,0.9976285,81,-0.4625774,1.1539785,1620,22.026115655899048,16.158247,,-8.373283,16.158247,0.11,15.0940275,,11.336311,13.743927,13.553968,15.059469,-0.4962508
16.170633,15.059469,,9.637109,15.335511075774143,17.700176,0.9976285,82,-0.46192065,1.1510407,1640,22.411482095718384,16.112675,,-7.5986624,16.112675,0.11,15.127009,,10.663646,13.746856,13.984075,15.059469,-0.49618474
16.15851,15.059469,,6.9231358,15.308669115302386,15.767009,0.9976285,83,-0.46374935,1.1163925,1660,22.756335020065308,15.635788,,-8.4886875,15.635788,0.11,15.135933,,8.096791,13.749192,13.940854,15.059469,-0.49636862
16.146534,15.059469,,7.8025084,14.60915391743754,9.723952,0.9976285,84,-0.465466,1.1076022,1680,23.071091651916504,15.460752,,-9.392421,15.460752,0.11,15.072386,,7.8025084,13.744385,13.34536,15.059469,-0.49654114
16.1347,15.059469,,7.259717,15.888661655344988,14.534724,0.9976285,85,-0.46307266,1.0942981,1700,23.408180952072144,15.314344,,-7.523476,15.314344,0.11,15.066872,,7.4923296,13.752169,14.406076,15.059469,-0.4963006
16.123005,15.059469,,7.2166085,15.748770600760613,12.178349,0.9976285,86,-0.461886,1.0963897,1720,23.75292420387268,15.379278,,-6.5304537,15.379278,0.11,15.033981,,7.7539954,13.759198,14.356533,15.059469,-0.49618128
16.111444,15.059469,,0.08692141,15.988581850565403,13.598741,0.9976285,87,-0.42497432,1.1302166,1740,24.08842968940735,16.05193,9.179832e-18,8.230374,16.05193,0.11,15.018215,,23.91909,13.768197,14.542125,15.059469,-0.49244094
16.100016,15.059469,,3.3357089,15.290613775776626,16.875221,0.9976285,88,-0.40509093,1.0774038,1760,24.41408920288086,15.369568,2.9156974e-10,10.643668,15.369568,0.11,15.039969,,3.5444796,13.770341,13.95693,15.059469,-0.49039376
16.088715,15.059469,,6.2256994,16.354700540884664,14.488911,0.9976285,89,-0.41531846,1.1033549,1780,24.801127433776855,15.745902,1.06947545e-13,9.9193325,15.745902,0.11,15.034562,,7.7264986,13.782035,14.811058,15.059469,-0.49145028
