LQGmu1,DenMISELogLast,MISE,IWMax,TimestepsSoFar,Iteration,LQGmu01,IWMin,URet,IWLastEpisode,ReturnMax,ReturnMin,IWMean,IWFirstEpisode,target_sum_log_mean,LQGsigma,Bound,ReturnAbsMax,ReturnStepMax,DenMISELogFirst,TimeElapsed,ReturnLastEpisode,ReturnMean,DenMISEMeanLog
-0.12909164,-2.321536,17.094263,2.3677506,1820,91,-0.012980871,,17.732582530752865,2.3533618,16.844772,,1.0605711,1.0503623,12.867797,0.11,17.094263,16.844772,0.9999951,17.188114,24.788506746292114,16.01165,16.31895,15.183726
-0.13070053,16.787676,17.088621,2.520277,1840,92,-0.013144491,,18.172150902609946,2.1702023,16.844772,,1.058905,0.8208488,13.059272,0.11,17.088621,16.844772,0.9999951,17.188662,25.11271357536316,16.427187,16.320127,15.201748
-0.13046376,19.129045,17.079525,2.4535415,1860,93,-0.01312041,,17.741380645419106,2.1331766,16.844772,,1.0586734,0.8536568,13.112692,0.11,17.079525,16.844772,0.9999951,17.186733,25.458374977111816,16.016294,16.31686,15.244545
-0.13049604,14.319774,17.094164,2.4197128,1880,94,-0.013123691,,18.055921073246864,2.196942,16.844772,,1.0593213,0.8506759,13.136612,0.11,17.094164,16.844772,0.9999951,17.185177,25.816617488861084,16.315975,16.31685,15.235265
-0.1305009,19.62216,17.102087,2.384615,1900,95,-0.0131241875,,17.729345993353423,2.1796021,16.844772,,1.0600133,0.85136414,13.213487,0.11,17.102087,16.844772,0.9999951,17.183603,26.182186126708984,16.009676,16.313618,15.282004
-0.13071607,15.746635,17.125162,2.3734455,1920,96,-0.013146072,,17.9401247447998,2.2287295,16.844772,,1.0612422,0.82426435,13.265811,0.11,17.125162,16.844772,0.9999951,17.182053,26.551387786865234,16.207752,16.312515,15.28741
-0.12982027,15.7227955,17.011095,2.2452629,1940,97,-0.013054961,,17.329942224760504,1.4930823,16.844772,,1.0551457,0.9490428,13.221405,0.11,17.011095,16.844772,0.9999951,17.18024,26.895996570587158,15.646573,16.30565,15.292473
-0.12877764,14.815571,16.882004,2.1114542,1960,98,-0.012948943,,17.21521329053183,1.3577851,16.844772,,1.0482832,1.109116,13.15258,0.11,16.882004,16.844772,0.9999951,17.17972,27.257699966430664,15.521241,16.297646,15.288114
-0.12816922,20.442564,16.860472,2.0503292,1980,99,-0.01288709,,17.310641578788164,1.9104173,16.844772,,1.047927,1.2090127,13.180459,0.11,16.860472,16.844772,0.9999951,17.180822,27.62443995475769,15.625057,16.290852,15.340618
-0.12827602,13.851082,16.872452,2.0341678,2000,100,-0.01289795,,18.005492109366333,1.991668,16.844772,,1.0483758,1.1883428,13.203208,0.11,16.872452,16.844772,0.9999951,17.182909,28.022741317749023,16.27898,16.290733,15.326155
-0.12827602,10.647529,16.886337,2.0135508,2020,101,-0.01289795,,18.24958706053843,1.9621967,16.844772,,1.0487422,1.1861304,13.184578,0.11,16.886337,16.844772,0.9999951,17.184772,28.36879873275757,16.513662,16.29294,15.280264
-0.12940376,14.597979,16.913254,2.0855627,2040,102,-0.013012607,,17.943303631486195,2.0761526,16.844772,,1.0495269,1.0042663,13.298086,0.11,16.913254,16.844772,0.9999951,17.186596,28.714885711669922,16.226818,16.292292,15.274009
-0.12866862,16.040468,16.86623,1.9971303,2060,103,-0.01293786,,17.83067232715089,1.6486175,16.844772,,1.0471063,1.1190457,13.270116,0.11,16.86623,16.844772,0.9999951,17.186638,29.069319248199463,16.112146,16.290545,15.281888
-0.12875107,17.208952,16.871082,1.9839096,2080,104,-0.0129462425,,17.470947632775836,1.954752,16.844772,,1.047764,1.1044717,13.321096,0.11,16.871082,16.844772,0.9999951,17.18778,29.423035383224487,15.766525,16.285505,15.300828
-0.12778817,6.147738,16.801214,1.9178432,2100,105,-0.0128483595,,17.500094274687928,1.5061781,16.844772,,1.0443097,1.265298,13.177815,0.11,16.801214,16.844772,0.9999951,17.188776,29.830262660980225,15.812824,16.281004,15.214072
-0.12705916,14.877712,16.781994,1.8822489,2120,106,-0.012774265,,17.286216297579614,1.8035225,16.844772,,1.0441229,1.3943095,13.138426,0.11,16.781994,16.844772,0.9999951,17.191275,30.185802698135376,15.59907,16.27457,15.211278
-0.12787943,15.444545,16.76639,1.8880162,2140,107,-0.012857634,,17.948002545489427,1.7534803,16.844772,,1.0424472,1.241618,13.232574,0.11,16.76639,16.844772,0.9999951,17.194954,30.54697060585022,16.21055,16.273972,15.213836
-0.12787943,13.88701,16.698881,1.8726197,2160,108,-0.012857634,,18.25980663537847,1.318987,16.844772,,1.0379349,1.2388456,13.241199,0.11,16.698881,16.844772,0.9999951,17.19719,30.917407274246216,16.505287,16.276114,15.201908
-0.12894607,14.004751,16.719376,1.9193217,2180,109,-0.012966068,,17.893157520977827,1.8683814,16.844772,,1.0383949,1.061091,13.337349,0.11,16.719376,16.844772,0.9999951,17.199377,31.274237155914307,16.161457,16.27506,15.19124
-0.12940638,17.998749,16.740536,1.9488457,2200,110,-0.013012874,,18.2790198059033,1.8920069,16.844772,,1.0389462,0.9905728,13.419835,0.11,16.740536,16.844772,0.9999951,17.199932,31.687517881393433,16.534267,16.277416,15.217079
