Iteration,DenMISEMeanLog,LQGmu1,IWFirstEpisode,IWLastEpisode,Bound,IWMean,ReturnMin,DenMISELogFirst,ReturnMean,DenMISELogLast,target_sum_log_mean,URet,SqrtESSClassic,TimeElapsed,ReturnMax,IWNorm2,IWMax,ReturnLastEpisode,ReturnAbsMax,ExplorationBonus,LQGmu01,MISE,TimestepsSoFar,LQGsigma,IWMin,IWNorm1,ReturnStepMax
68,15.962801,-0.12429251,0.42473215,0.6448996,22.275276,1.0606602,,18.725643,15.828062,11.003021,15.619466,17.427649792647404,6.1761765,15.287216901779175,16.469803,11.677919,5.3048224,15.757711,16.469803,5.333333,-0.012493205,16.941944,1360,0.11,,72.12489,0.9999142
69,16.024364,-0.1278181,0.273255,1.095791,22.08006,1.002747,,18.71727,15.827713,20.157204,15.438458,17.504019130232262,5.4618506,15.593027114868164,16.469803,12.667784,7.031066,15.803993,16.469803,6.0308504,-0.0128514,16.04921,1380,0.11,,69.189545,0.9999142
70,15.943433,-0.12812054,0.26465642,8.825058,23.98453,1.0919595,,18.706833,15.829874,10.365521,15.373148,17.703841705137584,5.0581455,15.889814376831055,16.469803,15.111697,8.825058,15.978966,16.469803,6.5121903,-0.01288214,17.47234,1400,0.11,,76.437164,0.9999142
71,15.905342,-0.12849377,0.25357804,2.4595575,23.618732,1.0813005,,18.696423,15.831975,13.161967,15.325498,17.696475859163648,5.2136807,16.20634889602661,16.469803,14.725171,8.269071,15.978952,16.469803,6.3179173,-0.0129200835,17.300816,1420,0.11,,76.77234,0.9999142
72,15.866215,-0.128887,0.24203417,4.2115026,23.760317,1.0967785,,18.686003,15.839678,13.0204315,15.282462,18.12034287732511,5.322243,16.51307463645935,16.469803,14.837363,7.8243113,16.386684,16.469803,6.1890454,-0.012960063,17.571272,1440,0.11,,78.968056,0.9999142
73,15.8234625,-0.12908582,0.23753214,8.339921,25.149132,1.1699239,,18.675564,15.846287,12.66216,15.260023,18.061859174388182,5.168454,16.837921857833862,16.469803,16.524176,8.339921,16.322132,16.469803,6.3732023,-0.012980278,18.775928,1460,0.11,,85.40444,0.9999142
74,15.839712,-0.12931842,0.2318647,1.4631314,24.534817,1.1431156,,18.665207,15.844998,16.873594,15.269122,17.45829025134896,5.3151565,17.143033504486084,16.469803,15.91497,7.8068476,15.750922,16.469803,6.1972976,-0.013003925,18.337519,1480,0.11,,84.59056,0.9999142
75,15.860329,-0.12958857,0.22495955,2.2473624,24.166794,1.1302956,,18.654913,15.848174,17.25836,15.285553,17.794301186416078,5.458031,17.458512783050537,16.469803,15.531639,7.396332,16.0831,16.469803,6.035071,-0.013031399,18.131723,1500,0.11,,84.77217,0.9999142
76,15.8513,-0.12990412,0.21663839,1.0688146,23.647123,1.1040027,,18.644663,15.850072,15.057811,15.258921,17.7132495112838,5.5469546,17.782753944396973,16.469803,15.126175,7.086448,15.992593,16.469803,5.9383225,-0.013063491,17.708801,1520,0.11,,83.904205,0.9999142
77,15.892193,-0.13027626,0.20666102,1.1782116,23.198942,1.0810219,,18.634438,15.847989,18.908546,15.2791,17.386507719802054,5.6175795,18.117048501968384,16.469803,14.817535,6.8648977,15.689537,16.469803,5.863665,-0.0131013375,17.335278,1540,0.11,,83.238686,0.9999142
