ExplorationBonus,DenMISELogLast,Iteration,URet,IWMean,IWMin,SqrtESSClassic,target_sum_log_mean,ReturnMin,ReturnMean,ReturnMax,IWNorm2,DenMISELogFirst,IWMax,LQGsigma,TimestepsSoFar,TimeElapsed,ReturnStepMax,ReturnAbsMax,LQGmu01,IWLastEpisode,IWNorm1,ReturnLastEpisode,Bound,IWFirstEpisode,LQGmu1,MISE,DenMISEMeanLog
3369.802,16.21696,40,9.942477995188344,1.4710319e-09,,1.0000668,-257.05585,,13.704,17.395916,5.8837347e-08,11.928971,5.8837347e-08,0.11,800,34.00510025024414,0.9999981,17.395916,0.011111111,5.8837347e-08,5.8841273e-08,9.052178,3369.802,,0.11111111,1.3316078e-08,10.930281
3330.9163,4.080679,41,9.889585294389287,2.7417865,,1.0021995,-219.01605,,13.589412,17.395916,112.16653,11.904278,112.16625,0.11,820,34.96308612823486,0.9999981,17.395916,0.00909091,112.16625,112.413246,9.005899,3355.609,3.3274905e-35,0.09090909,24.692543,10.739127
3308.061,16.682484,42,9.909055677884073,3.0952574e-16,,1.0001076,-322.31943,,13.480658,17.395916,1.2998682e-14,11.88018,1.2998682e-14,0.11,840,35.999661922454834,0.9999981,17.395916,0.015151516,1.3995697e-18,1.3000081e-14,9.021721,3308.061,,0.15151516,2.7875583e-15,10.888634
3280.3647,14.951588,43,9.75859118161201,0.9999998,,1.0,-314.38846,,13.373767,17.395916,42.999992,11.85665,42.999992,0.11,860,37.04032254219055,0.9999981,17.395916,0.015151516,42.999992,42.999992,8.884306,3289.249,,0.15151516,8.884304,10.960138
3253.9006,14.304816,44,9.791710382750033,2.090922e-09,,1.000006,-403.17352,,13.272414,17.395916,9.200002e-08,11.833661,9.200002e-08,0.11,880,38.13576292991638,0.9999981,17.395916,0.019191919,5.4879235e-13,9.200057e-08,8.914223,3253.9006,,0.1919192,1.8576392e-08,11.02944
3228.9385,7.965083,45,9.601142480104585,1.0000001,,1.0,-393.9525,,13.171801,17.395916,45.000004,11.811188,45.000004,0.11,900,39.28534770011902,0.9999981,17.395916,0.019191919,45.000004,45.000004,8.744851,3237.6833,,0.1919192,8.744852,10.93937
3205.285,13.476734,46,9.635562592912025,1.6680472e-18,,1.0000032,-565.8127,,13.076196,17.395916,7.672997e-17,11.789208,7.672997e-17,0.11,920,40.25301647186279,0.9999981,17.395916,0.025252525,2.0264775e-22,7.673022e-17,8.774011,3205.285,,0.25252524,1.4586824e-17,10.988097
3182.8765,13.733904,47,9.372670530596192,0.9999997,,1.0,-553.39996,,12.979567,17.395916,46.999985,11.767703,46.999985,0.11,940,41.334914684295654,0.9999981,17.395916,0.025252525,46.999985,46.999985,8.53458,3191.4111,,0.25252524,8.534577,11.025471
3153.8682,15.790044,48,9.362650729958723,0.2953474,,1.0024462,-253.45406,,12.88676,17.395916,14.14208,11.74665,14.142038,0.11,960,42.99074029922485,0.9999981,17.395916,0.013131313,,14.176675,8.524816,3156.501,,0.13131313,2.632771,11.118558
3109.9785,4.0596366,49,9.80879754496727,0.1971272,,1.0100796,-181.0092,,12.805963,17.395916,9.562842,11.72603,9.562623,0.11,980,44.155566930770874,0.9999981,17.395916,0.005050505,2.0578158e-38,9.659232,8.927717,3111.8315,1.3303551e-08,0.05050505,1.8529848,10.959583
3079.754,2.1168087,50,9.978036469306621,0.036881775,,1.0137261,-411.88876,,12.7315035,17.395916,1.8191195,11.705828,1.8189458,0.11,1000,45.19466495513916,0.9999981,17.395916,0.021212121,,1.8440888,9.083009,3080.0764,,0.21212122,0.32254028,10.766535
2998.7373,0.032176677,51,9.502413737812681,1.0354229,,1.0349731,-403.73477,,12.651549,17.395916,51.022163,11.686025,50.990738,0.11,1020,46.20659518241882,0.9999981,17.395916,0.021212121,50.990738,52.80657,8.653819,3007.701,,0.21212122,8.963619,10.5373535
2938.1682,10.3952265,52,9.537516156871986,0.5115378,,1.0503212,-1590.3671,,12.57523,17.395916,25.325554,11.666607,25.301281,0.11,1040,47.23820209503174,0.9999981,17.395916,-0.037373737,,26.599966,8.682936,2946.9666,,-0.37373737,8.798389,10.529576
