DenMISEMeanLog,ReturnStepMax,URet,SqrtESSClassic,Bound,DenMISELogLast,ReturnAbsMax,TimeElapsed,TimestepsSoFar,LQGsigma,IWLastEpisode,ReturnLastEpisode,IWNorm2,IWMean,ReturnMin,ReturnMean,LQGmu1,IWMax,IWMin,MISE,IWNorm1,LQGmu01,ExplorationBonus,Iteration,ReturnMax,target_sum_log_mean,IWFirstEpisode,DenMISELogFirst
12.6933775,0.99999875,17.87458980308181,3.3224747,28.468733,13.309954,17.257204,415.70222878456116,1480,0.11,8.371005,16.137146,24.519554,1.1008865,,16.369991,-0.16951877,10.000491,,18.08057,81.4656,-0.017115446,10.388163,74,17.257204,-8.45541,3.4553734e-05,16.584608
12.736675,0.99999875,18.24457332093829,2.7915137,28.378891,15.883965,17.257204,421.47171568870544,1500,0.11,,16.500977,25.162155,0.93654,,16.371738,-0.7615942,10.125846,,16.014843,70.2405,-0.09966799,12.364048,75,17.257204,-161.91095,,16.571186
12.556099,0.99999875,18.674783897736507,3.1690762,28.24221,-0.8781448,17.257204,427.2150294780731,1520,0.11,1.18464465e-08,16.89875,24.723513,1.0309302,,16.378672,-0.26108018,10.026371,,17.351212,78.35069,-0.026720364,10.891,76,17.257204,-19.168402,1.5254194e-27,16.557941
12.583437,0.99999875,18.578309014348477,4.1435466,28.192749,14.672844,17.257204,433.14962458610535,1540,0.11,2.6766434e-08,16.813393,21.6119,1.1629859,,16.38432,-0.4553994,6.0868425,,19.863071,89.54991,-0.049109608,8.329678,77,17.257204,-70.16593,,16.544868
12.604898,0.99999875,18.774645636736203,3.5382926,28.155642,14.125647,17.257204,439.0949811935425,1560,0.11,1.3448045e-09,16.99786,24.664711,1.1188586,,16.392183,-0.1714626,9.395094,,18.401104,87.270966,-0.017315583,9.754538,78,17.257204,-8.265662,1.7154674e-05,16.531965
12.676843,0.99999875,18.327509395421338,3.3495703,27.923702,18.210114,17.257204,444.8273162841797,1580,0.11,0.010969536,16.573057,24.693146,1.04698,,16.394474,-0.26108018,9.207298,,17.619572,82.711426,-0.026720364,10.30413,79,17.257204,-17.925274,1.5856348e-27,16.519226
12.631912,0.99999875,18.409745200921062,4.2052813,27.726732,9.0748005,17.257204,450.6188762187958,1600,0.11,3.223904e-08,16.647638,21.750618,1.1433433,,16.397638,-0.4474293,5.8727655,,19.519337,91.46747,-0.048110977,8.207396,80,17.257204,-65.62297,,16.506647
12.579851,0.99999875,18.749702756581904,2.971253,27.698137,8.300875,17.257204,456.3428564071655,1620,0.11,2.6902734e-08,16.974009,25.672892,0.94173646,,16.404755,-0.7615942,9.635069,,16.082026,76.280655,-0.09966799,11.616112,81,17.257204,-153.38797,,16.494225
12.633548,0.99999875,18.89197176768499,3.7999425,27.543797,17.082022,17.257204,462.12137508392334,1640,0.11,6.258206e-21,17.112024,24.1685,1.1199868,,16.41338,-0.17534617,8.6791115,,18.46092,91.83891,-0.017715862,9.082876,82,17.257204,-7.9870605,3.7894788e-06,16.481955
12.63971,0.99999875,18.37400888085964,4.049958,27.850052,13.060041,17.257204,467.9341022968292,1660,0.11,8.544115,16.61966,23.724585,1.1576334,,16.415865,-0.21004,8.544115,,19.327888,96.08357,-0.02131809,8.522164,83,17.257204,-9.543362,1.7529554e-13,16.469833
12.594436,0.99999875,18.374938204760625,4.2099824,27.49757,8.711783,17.257204,473.7910678386688,1680,0.11,6.380234,16.612782,23.09328,1.1574084,,16.41821,-0.20620944,7.9526668,,19.29934,97.222305,-0.020917866,8.198231,84,17.257204,-8.962544,1.4530053e-12,16.457857
12.624637,0.99999875,18.09762333532692,4.168049,27.451508,15.034239,17.257204,479.4926586151123,1700,0.11,3.8038658e-22,16.355438,22.916546,1.1237328,,16.41747,-0.4345282,6.9621863,,19.170795,95.51729,-0.04651295,8.280711,85,17.257204,-58.93669,,16.446022
12.553632,0.99999875,18.780610495352892,4.1841364,27.337332,6.423363,17.257204,485.3555428981781,1720,0.11,6.9079766,17.004438,23.00764,1.1193849,,16.424297,-0.42800975,7.5331182,,19.088459,96.267105,-0.045713857,8.248873,86,17.257204,-56.385197,,16.434326
12.564629,0.99999875,18.86813589312929,2.656866,29.859398,13.41939,17.257204,491.15610671043396,1740,0.11,24.486315,17.092215,32.42102,0.9900955,,16.431973,-0.3760022,24.486315,,16.86875,86.138306,-0.039518952,12.990647,87,17.257204,-41.797104,,16.422766
12.604362,0.99999875,18.92235462459205,3.3746703,28.735123,16.126572,17.257204,497.65061140060425,1760,0.11,10.448421,17.142044,28.303017,1.085379,,16.44004,-0.38967046,16.443756,,18.507631,95.51335,-0.04111794,10.22749,88,17.257204,-44.637264,,16.411337
12.632851,0.99999875,18.88379541351551,4.0003867,27.42546,15.096756,17.257204,503.6381092071533,1780,0.11,4.3926253,17.105474,24.517277,1.1020067,,16.447517,-0.40316916,10.805481,,18.797693,98.07859,-0.042716727,8.627768,89,17.257204,-47.433372,,16.400038
12.6743965,0.99999875,18.789688898647963,3.1396828,27.26427,16.300247,17.257204,509.5371341705322,1800,0.11,4.6465537e-10,17.012232,27.307344,0.95262665,,16.453793,-0.7615942,9.567558,,16.271309,85.7364,-0.09966799,10.992961,90,17.257204,-141.97862,,16.388865
12.504761,0.99999875,18.849351504301204,4.2613993,27.205343,-2.6773458,17.257204,515.4226713180542,1820,0.11,8.499864e-09,17.073582,23.921219,1.1201963,,16.460606,-0.40651688,9.1044655,,19.10603,101.93787,-0.043116394,8.099314,91,17.257204,-47.2741,,16.377815
12.559325,0.99999875,18.9486518395797,4.3435774,27.097418,17.432003,17.257204,521.2245812416077,1840,0.11,9.987239e-14,17.16754,24.528572,1.1580625,,16.468288,-0.18503109,8.124893,,19.151339,106.54175,-0.01871653,7.946079,92,17.257204,-7.888509,6.363958e-08,16.366886
12.585435,0.99999875,18.446867134640776,4.474031,27.112091,14.858034,17.257204,527.0141880512238,1860,0.11,7.28376,16.685833,24.207666,1.164579,,16.470627,-0.20429179,7.62873,,19.397703,108.30585,-0.020717753,7.7143874,93,17.257204,-8.27701,4.517656e-12,16.356075
