TimestepsSoFar,ReturnMin,SqrtESSClassic,MISE,IWFirstEpisode,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,IWLastEpisode,ExplorationBonus,DenMISELogFirst,Iteration,IWMin,ReturnMax,ReturnMean,ReturnLastEpisode,LQGmu01,TimeElapsed,LQGmu1,URet,DenMISELogLast,Bound,IWMax,LQGsigma,target_sum_log_mean,IWMean,IWNorm1,IWNorm2
860,,6.556601,15.986693,1.0042586,16.496218,0.9999598,16.503777,1.0146943,5.0342474,18.799265,43,,16.503777,15.901801,15.816479,-0.011110653,4.452256441116333,-0.110656105,17.52721234728809,16.724123,21.02094,1.0205823,0.11,16.501207,1.0051378,43.220924,6.591971
880,,6.6324553,15.984551,1.0041609,16.490902,0.9999598,16.503777,1.0103086,4.9766717,18.799362,44,,16.503777,15.899866,15.816633,-0.011110653,4.58651876449585,-0.110656105,17.519926472394317,16.25738,20.961224,1.0201055,0.11,16.4959,1.0051349,44.225937,6.6681094
900,,6.707451,15.981767,1.004069,16.484386,0.9999598,16.503777,1.003131,4.921028,18.799454,45,,16.503777,15.89978,15.896059,-0.011110653,4.722998142242432,-0.110656105,17.592350670269756,16.192715,20.902794,1.0196503,0.11,16.489231,1.0049732,45.223793,6.742322
920,,6.78161,15.99003,1.0039809,16.50207,0.9999598,16.503777,1.014199,4.867215,18.799541,46,,16.503777,15.90665,16.215717,-0.011110653,4.8611509799957275,-0.110656105,17.945118019494885,17.292938,20.857246,1.0192147,0.11,16.507011,1.0050627,46.232883,6.8173904
940,,6.854966,15.984412,1.0038947,16.295868,0.9999598,16.503777,1.013208,4.81513,18.799627,47,,16.503777,15.900232,15.60505,-0.011110653,5.0050694942474365,-0.110656105,17.291352337197342,6.8056293,20.799541,1.0187979,0.11,16.300877,1.0051256,47.240906,6.891486
960,,6.927547,15.97211,1.0038143,16.297491,0.9999598,16.503777,1.010245,4.7646813,18.799707,48,,16.503777,15.888202,15.322735,-0.011110653,5.1512291431427,-0.110656105,16.98033109012265,16.368708,20.736792,1.0183996,0.11,16.302502,1.0051231,48.24591,6.964357
980,,6.9993753,15.962855,1.0037358,16.316488,0.9999598,16.503777,1.0067441,4.7157855,18.799786,49,,16.503777,15.880268,15.499479,-0.011110653,5.314740180969238,-0.110656105,17.158222748934996,17.223427,20.67864,1.0180169,0.11,16.321434,1.0050496,49.24743,7.035975
1000,,7.070472,15.960274,1.0036612,16.381243,0.9999598,16.503777,1.0083046,4.6683664,18.79986,50,,16.503777,15.878395,15.786591,-0.011110653,5.464948892593384,-0.110656105,17.47348711231955,19.549227,20.62864,1.01765,0.11,16.386154,1.0050118,50.250587,7.1071053
1020,,7.1408563,15.961189,1.0035884,16.254385,0.9999598,16.503777,1.0130825,4.6223526,18.799932,51,,16.503777,15.878471,15.882332,-0.011110653,5.612804174423218,-0.110656105,17.59616563946448,9.90655,20.583542,1.0172979,0.11,16.25936,1.0050701,51.258575,7.178211
1040,,7.210556,15.958418,1.0035195,16.180311,0.9999598,16.503777,1.0070072,4.5776706,18.800001,52,,16.503777,15.876776,15.790302,-0.011110653,5.763067960739136,-0.110656105,17.492411963345916,12.397597,20.536089,1.0169593,0.11,16.185228,1.0050082,52.26043,7.247767
