ReturnMean,MISE,IWMean,DenMISEMeanLog,IWMin,ReturnStepMax,ReturnAbsMax,LQGmu1,IWNorm1,DenMISELogFirst,TimestepsSoFar,ReturnMin,ReturnMax,URet,ExplorationBonus,Bound,TimeElapsed,LQGsigma,ReturnLastEpisode,IWMax,LQGmu01,IWLastEpisode,IWFirstEpisode,DenMISELogLast,IWNorm2,Iteration,SqrtESSClassic,target_sum_log_mean
8.830936,2.1673956,0.16174476,10.551117,,0.9325218,13.439399,-0.01010101,12.777836,10.10326,1580,,13.439399,14.929509862532363,26.606733,28.774128,79.52122831344604,0.11,13.439399,12.648233,-0.001010101,12.648233,0.036684312,-59.602432,12.6484995,79,1.0102254,-544.30695
8.848275,11.872571,1.118521,10.4901705,,0.9325218,13.439399,-0.01010101,89.481674,10.0911455,1600,,13.439399,11.258922128080318,23.75562,35.62819,80.65034174919128,0.11,10.218017,78.30985,-0.001010101,78.30985,0.03713143,6.5189548,79.08436,80,1.1314712,-537.3671
8.868799,11.138605,1.0398682,10.570936,,0.9325218,13.439399,-0.01010101,84.229324,10.079187,1620,,13.439399,11.587772097625118,17.101562,28.240168,81.75635266304016,0.11,10.510758,40.06762,-0.001010101,34.205967,0.037578113,17.212612,53.590683,81,1.5717158,-530.47687
8.897385,3.0831989e-18,2.2941498e-19,10.60443,,0.9325218,13.439399,-0.09090909,1.881211e-17,10.067381,1640,,13.439399,12.411830943985994,26.878675,26.878675,83.08370471000671,0.11,11.212839,1.8812024e-17,-0.00909091,3.097382e-24,,13.440999,1.8812026e-17,82,1.0000045,-967.23535
8.969187,29.317642,1.973332,10.612332,,0.978964,14.856923,-0.07070707,163.78656,10.05526,1660,,14.856923,16.483021253584337,29.713846,59.031487,84.13423442840576,0.11,14.856923,163.78656,-0.0070707067,163.78656,2.8839873e-37,12.25425,163.78656,83,1.0,-830.11127
9.049594,16.15798,1.0443196,10.634411,,0.98259157,15.723389,-0.09090909,87.72285,10.043283,1680,,15.723389,17.40534462025409,24.120686,40.278664,85.40183424949646,0.11,15.723389,62.29765,-0.00909091,62.29765,,12.371296,67.28623,84,1.3037266,-943.81213
9.117731,16.400387,1.0794985,10.629698,,0.98259157,15.723389,-0.09090909,91.75737,10.031448,1700,,15.723389,16.465658892642622,18.717062,35.117447,86.49188494682312,0.11,14.841251,36.1954,-0.00909091,35.81201,,10.40863,54.61381,85,1.680113,-932.54395
9.190827,16.585835,1.0880562,10.657488,,0.998701,15.723389,-0.09090909,93.57283,10.0197525,1720,,15.723389,17.080921519284622,15.969135,32.55497,87.57665252685547,0.11,15.403975,26.181093,-0.00909091,26.181093,,13.098465,47.51766,86,1.9692223,-921.5102
9.2577915,7.0396157e-16,4.478468e-17,10.626678,,0.998701,15.723389,-0.1919192,3.8962677e-15,10.008192,1740,,15.723389,16.643689522419066,30.998354,30.998354,88.58022832870483,0.11,15.016737,3.8403e-15,-0.019191919,5.71769e-22,,8.011947,3.840708e-15,87,1.014466,-1661.2238
9.3417845,50.61868,3.040307,10.606385,,0.9994803,16.6492,-0.17171717,267.54703,9.996763,1760,,16.6492,18.409120680923557,33.2984,83.91708,89.51965999603271,0.11,16.6492,267.54703,-0.017171716,267.54703,,9.835113,267.54703,88,1.0,-1473.6102
9.423489,24.702215,1.4852616,10.686129,,0.9994803,16.6492,-0.17171717,132.18828,9.985464,1780,,16.6492,18.359674930719287,23.547604,48.249817,90.78093314170837,0.11,16.61344,66.97197,-0.017171716,65.21631,,17.301542,93.47948,89,1.4140887,-1456.8115
9.506429,18.482264,1.1073468,10.709682,,0.9994862,16.888142,-0.17171717,99.66121,9.97429,1800,,16.888142,18.655940727498646,19.961185,38.44345,91.84536743164062,0.11,16.888142,38.64462,-0.017171716,22.956589,,12.689773,58.89801,90,1.692098,-1440.4489
9.58232,18.672745,1.123854,10.755084,,0.9997088,16.888142,-0.17171717,102.27072,9.963241,1820,,16.888142,18.159347120533752,17.112669,35.785416,92.90935349464417,0.11,16.412498,29.39462,-0.017171716,29.39462,,14.898579,51.815205,91,1.9737589,-1424.4188
