MountainCar_std0_higher,MountainCar_mu0_higher,ActionIn1,AvgEpLen,TimeElapsed,MountainCar_mu1_higher,NumTrajectories,MountainCar_std1_higher,MinEpLen,Iteration,Regret/t,ReturnMean,ReturnLastEpisode,GridSize,Regret
0.14999999,0.15789473,11.125489,459.09558466763707,3655.4374899864197,10.0,2061,1.5,175,2061,2.783661103796869,2.2163388962031325,8.244621138251963,400,5737.125534925347
0.14999999,0.15789473,10.560454,459.03200775945686,3658.2242357730865,10.0,2062,1.5,175,2062,2.783114603539295,2.2168853964607065,3.3432224273206135,400,5738.782312498026
0.14999999,0.2631579,9.834799,458.96994667959285,3661.157999753952,10.0,2063,1.5,175,2063,2.782664310100727,2.2173356898992744,3.1458407602265175,400,5740.636471737799
0.14999999,0.05263158,9.324765,458.9026162790698,3663.770092010498,10.0,2064,1.5,175,2064,2.7818996798249556,2.2181003201750458,3.795532579090386,400,5741.840939158708
0.14999999,-0.05263158,10.052355,458.8445520581114,3666.446175098419,10.0,2065,1.5,175,2065,2.7815566523518047,2.2184433476481966,2.926452052232423,400,5743.914487106476
0.14999999,0.05263158,9.5414,458.79041626331076,3669.806052684784,10.0,2066,1.5,175,2066,2.781199545319867,2.2188004546801343,2.9562264756314267,400,5745.958260630845
0.14999999,0.05263158,8.881231,458.7194000967586,3672.4546976089478,10.0,2067,1.5,175,2067,2.7802278486312555,2.219772151368746,4.227297510039258,400,5746.730963120805
0.14999999,0.15789473,11.828223,458.6924564796905,3675.5312230587006,10.0,2068,1.5,175,2068,2.780661025597664,2.2193389744023375,1.3239621848371443,400,5750.407000935968
0.14999999,0.15789473,10.602903,458.6268728854519,3678.7380335330963,10.0,2069,1.5,175,2069,2.7800260578536804,2.219973942146321,3.5330872367040134,400,5751.873913699264
0.14999999,0.15789473,7.779162,458.887922705314,3682.586977958679,10.0,2070,1.5,175,2070,2.7814212834003,2.2185787165997013,-0.6681429393568533,400,5757.542056638621
0.14999999,0.05263158,10.782593,458.88845968131335,3685.185050010681,10.0,2071,1.5,175,2071,2.782031017869595,2.2179689821304063,0.9558186306898467,400,5761.586238007932
0.14999999,-0.36842105,6.8039417,458.89864864864865,3688.561851978302,10.0,2072,1.5,175,2072,2.783107001292289,2.216892998707712,-0.011468669691991673,400,5766.597706677623
0.14999999,-0.15789473,9.926033,458.84273999035213,3691.5042536258698,10.0,2073,1.5,175,2073,2.7827118940621838,2.2172881059378176,3.035950286715468,400,5768.561756390907
0.14999999,0.05263158,9.614822,458.7796528447445,3694.8676862716675,10.0,2074,1.5,175,2074,2.7821816946297724,2.217818305370229,3.316921728759447,400,5770.244834662148
0.14999999,0.05263158,10.421424,458.6857831325301,3697.564172744751,10.0,2075,1.5,175,2075,2.7801905512371117,2.2198094487628897,6.349440845140767,400,5768.895393817007
0.14999999,0.05263158,11.590122,458.57851637764935,3700.667416572571,10.0,2076,1.5,175,2076,2.776889177284781,2.22311082271522,9.073461773801363,400,5764.821932043205
0.14999999,0.05263158,7.7354164,458.6133846894559,3703.8965775966644,10.0,2077,1.5,175,2077,2.7777592489055314,2.22224075109447,0.41597206641676343,400,5769.405959976789
0.14999999,0.05263158,9.178571,458.548604427334,3706.64413022995,10.0,2078,1.5,175,2078,2.7771096966667606,2.2228903033332403,3.57201030325964,400,5770.833949673529
0.14999999,-0.15789473,11.1173935,458.4939874939875,3709.793135404587,10.0,2079,1.5,175,2079,2.7771563263937695,2.2228436736062314,2.1259471008814748,400,5773.708002572647
