LQGmu1_actor,TimeElapsed,LQGsigma_higher,ReturnMean,Regret,ReturnLastEpisode,Regret/t,Iteration,LQGmu1_higher
-0.33834085,92.77932739257812,0.14999999,0.9514893555339077,12.553823553272162,0.9554251866309893,0.013630644466093552,921,-0.33333334
-0.26931855,93.0837574005127,0.14999999,0.9514918558534663,12.56514890310519,0.9537946501669717,0.013628144146534913,922,-0.47474748
-1.0559886,93.38340306282043,0.14999999,0.9514957638761266,12.57516994233639,0.9550989607688005,0.013624236123874745,923,-0.97979796
-0.072297275,93.70001316070557,0.14999999,0.9514975513942142,12.587142511747265,0.9531474305891238,0.013622448605787084,924,-0.21212122
-0.36544687,93.9710385799408,0.14999999,0.9515012892073542,12.597307483198549,0.9549550285487169,0.013618710792647079,925,-0.43434343
-0.1677415,94.24434995651245,0.14999999,0.9515026643880188,12.609652776695755,0.9527747065027935,0.013617335611982457,926,-0.23232323
-0.44752896,94.52059960365295,0.14999999,0.951507122652794,12.61913730086105,0.9556354758347047,0.013612877347207173,927,-0.43434343
-0.4267889,94.79086709022522,0.14999999,0.9515106047356192,12.62951880534649,0.9547384955145597,0.013609395264381995,928,-0.35353535
-0.041095387,95.14523720741272,0.14999999,0.9514995804416144,12.653369769741284,0.9412690356052074,0.013620419558386743,929,-0.09090909
-0.46891624,95.43846392631531,0.14999999,0.9515041133005648,12.662774630475813,0.9557151392654714,0.013615886699436358,930,-0.57575756
-0.45712537,95.75898218154907,0.14999999,0.9515083296638571,12.672465082950133,0.9554295475256801,0.013611670336144074,931,-0.17171717
-0.6363228,96.02597880363464,0.14999999,0.9515123672430463,12.68231372948186,0.955271353468273,0.013607632756954785,932,-0.7777778
-0.80453146,96.34263014793396,0.14999999,0.9515167290335874,12.691851811664032,0.9555819178178284,0.013603270966413753,933,-0.9191919
-0.652498,96.64068222045898,0.14999999,0.9515209605695825,12.701502828011012,0.9554689836530197,0.013599039430418642,934,-0.7777778
-0.44520277,96.96742916107178,0.14999999,0.9515244703861702,12.711820188932018,0.9548026390789941,0.013595529613831035,935,-0.35353535
-0.70391655,97.25553464889526,0.14999999,0.9515286701502272,12.721484739388442,0.9554554495435753,0.013591329849773976,936,-0.61616164
-0.4979481,97.53051924705505,0.14999999,0.9515329197858585,12.731094160651688,0.9555105787367542,0.013587080214142677,937,-0.7777778
-1.0920157,97.86578345298767,0.14999999,0.951536310604208,12.741500653254054,0.9547135073976352,0.013583689395793234,938,-0.93939394
-0.51265526,98.15285062789917,0.14999999,0.9515405707890039,12.751084029126451,0.955536624127602,0.013579429210997286,939,-0.83838385
-0.045565277,98.42773580551147,0.14999999,0.951542800434927,12.76256759116972,0.9536364379567317,0.01357719956507417,940,-0.23232323
-0.6058937,98.71503829956055,0.14999999,0.9515471844017713,12.772019477934283,0.9556681132354374,0.013572815598229843,941,-0.67676765
-0.70284647,98.99074482917786,0.14999999,0.9515516642997837,12.781372229604893,0.9557672483293908,0.013568335700217508,942,-0.57575756
-0.46313816,99.27381706237793,0.14999999,0.9515559966399967,12.790855168484276,0.9556370611206164,0.013564003360004535,943,-0.65656567
-0.32484877,99.53320550918579,0.14999999,0.9515588252659959,12.801748948900977,0.9542262195832995,0.013561174734005272,944,-0.23232323
-0.73929757,99.91386890411377,0.14999999,0.9515629797981275,12.811384090770586,0.9554848581303915,0.013557020201873635,945,-0.67676765
-0.45975816,100.2040114402771,0.14999999,0.9515671372076725,12.821008201542964,0.9554958892276211,0.013552862792328715,946,-0.23232323
-0.8817265,100.5234100818634,0.14999999,0.9515708334509938,12.83106072191006,0.9550674796329041,0.013549166549007455,947,-0.93939394
-0.80262303,100.82400274276733,0.14999999,0.9515750012233484,12.840658840267002,0.9555218816430582,0.013544998776652956,948,-0.7777778
-0.5067529,101.11190342903137,0.14999999,0.9515789282854706,12.850477057089666,0.9553017831773364,0.013541071714530733,949,-0.5555556
-0.35012215,101.39452910423279,0.14999999,0.9515823845732018,12.86073465545964,0.9548624016300272,0.013537615426799621,950,-0.3939394
-0.20764992,101.68928503990173,0.14999999,0.9515856197047153,12.871195660817044,0.9546589946425951,0.013534380295286062,951,-0.35353535
-0.50400126,101.95009469985962,0.14999999,0.9515897965305572,12.880753702910875,0.9555619579061684,0.013530203469444196,952,-0.27272728
-0.77101016,102.23862075805664,0.14999999,0.95159397349515,12.890303259123375,0.9555704437875003,0.01352602650485139,953,-0.5555556
-1.2517374,102.63589406013489,0.14999999,0.9515969034494393,12.901034109236289,0.954389149887086,0.013523096550562148,954,-0.97979796
-0.19132125,103.03427481651306,0.14999999,0.9515995331190942,12.912045871266411,0.9541082379698782,0.013520466880907236,955,-0.23232323
-0.92198366,103.33880949020386,0.14999999,0.9516032864496493,12.921978154136577,0.955187717129835,0.013516713550352067,956,-0.93939394
-0.5633853,103.65141129493713,0.14999999,0.9516074084939823,12.931550071260308,0.9555480828762685,0.01351259150601913,957,-0.47474748
-0.2746033,104.03807616233826,0.14999999,0.9516107890230592,12.941824115910597,0.9548459553497101,0.013509210976942168,958,-0.2929293
-0.50486445,104.40048599243164,0.14999999,0.9516140451340638,12.95221071643414,0.9547333994764583,0.013505954865937581,959,-0.47474748
-0.75976795,104.74792647361755,0.14999999,0.9516182235902612,12.961705353350606,0.9556253630835339,0.013501776409740214,960,-0.7777778
-0.8234732,105.04793572425842,0.14999999,0.951622108434687,12.971473794267226,0.9553515590833809,0.013497891565314491,961,-1.0
-0.73048246,105.32941675186157,0.14999999,0.951625951800367,12.981274368048288,0.9553194262189382,0.013494048199634396,962,-0.83838385
-0.9744737,105.64697408676147,0.14999999,0.9516297035368244,12.991155494039484,0.9552388740088035,0.013490296463177034,963,-0.8989899
-0.9468898,105.92976355552673,0.14999999,0.9516333212726588,13.00115829315828,0.9551172008812034,0.013486678727342613,964,-0.83838385
-0.30041575,106.23637986183167,0.14999999,0.9516367817531878,13.011305608175162,0.9549726849831184,0.013483218246813639,965,-0.3131313
-0.87216014,106.55124616622925,0.14999999,0.9516405429671982,13.02115549368778,0.9552701144873817,0.013479457032803085,966,-0.7777778
-0.7284985,106.8632161617279,0.14999999,0.9516446794557833,13.030634966258848,0.9556405274289335,0.013475320544218043,967,-0.8181818
-0.6137592,107.13720607757568,0.14999999,0.9516485855005216,13.040329235496479,0.9554257307623689,0.013471414499479833,968,-0.5151515
-0.92770314,107.54397773742676,0.14999999,0.9516521678517484,13.050329351657043,0.9551198838394358,0.013467832148252881,969,-0.8787879
-0.48327264,107.8790431022644,0.14999999,0.9516562524223801,13.059835150292729,0.9556142013643139,0.01346374757762137,970,-0.43434343
-1.3467424,108.21084523200989,0.14999999,0.9516589720626183,13.070658127199126,0.9542970230936039,0.01346102793738324,971,-0.97979796
-0.88497996,108.56164193153381,0.14999999,0.9516624928960795,13.080696905012177,0.9550812221869496,0.013457507103921993,972,-0.85858583
-0.63648015,108.87085103988647,0.14999999,0.9516665036509829,13.090251947595057,0.9555649574171196,0.013453496349018558,973,-0.61616164
-0.85049677,109.28046250343323,0.14999999,0.9516700333766147,13.100267491178796,0.9551044564162605,0.013449966623386855,974,-0.47474748
-0.7022784,109.67349696159363,0.14999999,0.9516737411277018,13.110102400492305,0.9552850906864906,0.013446258872299801,975,-0.85858583
-0.4298575,109.98824071884155,0.14999999,0.951677295856603,13.120079243956983,0.9551431565353223,0.013442704143398548,976,-0.3939394
-0.42871326,110.41216015815735,0.14999999,0.9516808511397039,13.13004843651077,0.9551508074462145,0.013439148860297614,977,-0.37373737
-1.0067207,110.76093196868896,0.14999999,0.9516844639878577,13.139954219876639,0.9552142166341308,0.013435536012143803,978,-0.7979798
-0.32966554,111.09016847610474,0.14999999,0.9516872709449087,13.150641744935868,0.9544324749407719,0.013432729055092817,979,-0.5151515
-0.39210996,111.39086675643921,0.14999999,0.9516901480571127,13.16125490403099,0.9545068409048786,0.013429851942888765,980,-0.61616164
-0.95615345,111.7499315738678,0.14999999,0.9516936072771941,13.171291261073964,0.9550836429570266,0.013426392722807302,981,-1.0
-1.2158824,112.05695676803589,0.14999999,0.9516956637901189,13.182698158104568,0.9537131029693962,0.013424336209882452,982,-0.97979796
-0.3400479,112.4683747291565,0.14999999,0.9516994673523198,13.192383592670911,0.9554345654336572,0.013420532647681496,983,-0.47474748
-0.33260974,112.82356429100037,0.14999999,0.9517025587045128,13.20276223476073,0.9547413579101818,0.013417441295488547,984,-0.3939394
-0.533099,113.18103003501892,0.14999999,0.9517062876211192,13.212506693198895,0.9553755415618348,0.013413712378882127,985,-0.41414142
-0.91703075,113.51150465011597,0.14999999,0.9517098503124232,13.222407591952031,0.9552191012468632,0.013410149687578124,986,-0.85858583
-0.19120541,113.89640426635742,0.14999999,0.9517116879573677,13.234003986079221,0.9535236058728088,0.013408312042633456,987,-0.21212122
-0.6255062,114.20916724205017,0.14999999,0.9517155189030768,13.243627323761263,0.9554966623179578,0.013404481096924355,988,-0.3131313
0.0050566494,114.5502827167511,0.14999999,0.9516932389831211,13.279066645694433,0.9296806780668293,0.013426761016880114,989,-0.1919192
-0.6238711,114.87523818016052,0.14999999,0.9516970896346951,13.288681261652968,0.9555053840414659,0.013422910365306028,990,-0.65656567
-0.5289614,115.19792771339417,0.14999999,0.9517007749162562,13.29845205799118,0.9553492036617885,0.013419225083744882,991,-0.35353535
-0.36656645,115.49957871437073,0.14999999,0.9517042941403706,13.308380212753418,0.9551918452377605,0.013415705859630462,992,-0.35353535
-0.81740725,115.88358354568481,0.14999999,0.9517078379112492,13.318276954130575,0.9552232586228435,0.013412162088751838,993,-0.67676765
