Regret,IWMean,ReturnMean,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWMin,ReturnAbsMax,TimeElapsed,Bound,IWLastEpisode,Regret/t,Iteration,TimestepsSoFar,ReturnMin,LQGmu1_higher,IWFirstEpisode,Delta,IWMax,LQGmu1_actor,LQGsigma_higher,ReturnMax
412.07538,0.7691544,10.532077,19.194605,4.1713257,17.240458,-5.0405746,5.270417,,17.405956,148.7894024848938,7140.5513,,6.867923,60,1200,,0.75510204,,3.377373e-07,46.149265,0.75496393,0.00013791275,17.405956
425.56012,0.36031473,10.423605,19.194605,4.1518717,3.9152691,-5.057104,3.4059083,,17.405956,151.71195340156555,7042.701,,6.9763947,61,1220,,-0.9183673,,3.2675467e-07,21.979198,-0.9184011,0.00013791275,17.405956
425.68713,1.4870797,10.534078,19.194605,4.154978,17.272886,-5.0733647,5.0285926,,17.405956,154.67306971549988,7039.043,,6.865922,62,1240,,0.71428573,,3.162992e-07,92.198944,0.7143229,0.00013791275,17.405956
438.62823,0.42779008,10.437646,19.194605,4.166627,4.458938,-5.089365,4.9698415,,17.405956,157.77328968048096,6945.1553,,6.9623537,63,1260,,-0.877551,,3.0633765e-07,26.950775,-0.87736756,0.00013791275,17.405956
438.72815,0.55957144,10.544872,19.194605,4.137349,17.300087,-5.1051135,2.9288237,,17.405956,160.55848169326782,6936.838,,6.8551273,64,1280,,0.67346936,,2.968394e-07,35.812572,0.6734535,0.00013791275,17.405956
451.15283,0.4770932,10.4591875,19.194605,4.144408,4.9753323,-5.1206174,5.144064,,17.405956,163.72987747192383,6853.868,,6.940812,65,1300,,-0.8367347,,2.8777617e-07,31.011057,-0.83667105,0.00013791275,17.405956
451.22906,0.3292434,10.563196,19.194605,4.140537,17.323816,-5.135885,4.491193,,17.405956,166.75207018852234,6844.067,,6.8368034,66,1320,,0.63265306,,2.791217e-07,21.730064,0.6326805,0.00013791275,17.405956
463.16876,0.7933233,10.487032,19.194605,4.143119,5.460201,-5.150923,5.021438,,17.405956,169.6484775543213,6773.5854,,6.9129677,67,1340,,-0.79591835,,2.708519e-07,53.15266,-0.79571134,0.00013791275,17.405956
463.2381,0.33409283,10.587674,19.194605,4.1147847,17.330675,-5.165738,2.624898,,17.405956,172.6844174861908,6758.8325,,6.8123255,68,1360,,0.59183675,,2.6294424e-07,22.718311,0.5918831,0.00013791275,17.405956
474.72308,0.3530641,10.519955,19.194605,4.1137347,5.9150596,-5.1803365,4.7468166,,17.405956,175.66272044181824,6686.349,,6.880045,69,1380,,-0.75510204,,2.553779e-07,24.361422,-0.7550751,0.00013791275,17.405956
474.74207,0.48647106,10.61797,19.194605,4.1162796,17.381027,-5.1947255,4.982365,,17.405956,178.6721420288086,6680.7266,,6.782029,70,1400,,0.5510204,,2.4813352e-07,34.052975,0.5507569,0.00013791275,17.405956
485.7992,3.1771243,10.557758,19.194605,4.076427,6.3429103,-5.20891,1.8832372,,17.405956,181.83108711242676,6619.791,,6.8422413,71,1420,,0.5102041,,2.4119305e-07,225.57582,0.510141,0.00013791275,17.405956
496.46387,0.75085294,10.504667,19.194605,4.087198,6.7352233,-5.222896,4.41533,,17.405956,184.90358352661133,6625.7607,,6.8953323,72,1440,,-0.71428573,,2.3453978e-07,54.061413,-0.7143543,0.00013791275,17.405956
496.47253,0.55320245,10.599006,19.194605,4.084151,17.391352,-5.2366896,4.2978015,,17.405956,188.00138759613037,6548.555,,6.800994,73,1460,,-0.67346936,,2.2815804e-07,40.383778,-0.67362773,0.00013791275,17.405956
