DenMISELogFirst,Regret/t,MountainCar_std0_higher,Delta,ReturnStepMax,ReturnMean,BoundBonus,IWLastEpisode,ReturnMin,NumTrainableParams,IWMax,MountainCar_mu1_higher,ReturnMax,MinEpLen,Iteration,AvgEpLen,TimeElapsed,BoundMISE,IWMean,ActionIn1,NumTrajectories,Regret,IWMin,DenMISELogLast,ReturnAbsMax,Bound,MountainCar_std1_higher,ReturnLastEpisode,MountainCar_mu0_higher,DenMISEMeanLog,TimestepsSoFar,IWFirstEpisode,GridSize
-3.7275124,-42.81638,0.14999999,2.2013185e-06,121.76868,47.81638,539.22754,0.024917655,-121.76868,,25.234049,13.333333,98.904526,110,57,572.2631578947369,18.490183115005493,58.417404,0.64777446,13.242136,57,-2440.5337,,-3.1230083,121.76868,597.64496,1.5,82.75553,-1.0,-3.8756788,32619,1.0321697e-28,16
-3.7449043,-43.53065,0.14999999,2.1260653e-06,121.76868,48.53065,539.947,1.9268682e-21,-121.76868,,11.584925,20.0,98.904526,110,58,567.8275862068965,18.70152711868286,33.98579,0.3558077,19.867409,58,-2524.7778,,-3.6026282,121.76868,573.9328,1.5,89.24407,0.33333334,-3.8783274,32934,,16
-3.7619987,-44.28945,0.14999999,2.0546058e-06,121.76868,49.28945,442.48486,5.4664775e-05,-121.76868,,18.884602,20.0,98.904526,110,59,560.9152542372881,18.846769332885742,114.28508,1.2168808,18.65576,59,-2613.0776,,-3.579554,121.76868,556.76996,1.5,93.30002,-0.33333334,-3.8844476,33094,,16
-3.7788057,-45.010124,0.14999999,1.98669e-06,121.76868,50.010124,545.1847,5.058547e-21,-121.76868,,28.980644,6.6666665,98.904526,110,60,554.5833333333334,18.998383283615112,0.686018,1.0300869,7.192376,60,-2700.6074,,-3.8364856,121.76868,545.8707,1.5,92.529755,0.33333334,-3.881808,33275,1.9363856e-07,16
-3.795335,-44.06572,0.14999999,1.9220863e-06,121.76868,49.06572,543.83374,3.0552183e-09,-121.76868,,23.19363,,98.904526,110,61,561.8688524590164,19.509031057357788,-0.8578419,0.75705296,-1.9175612,61,-2688.0088,,-3.5214431,121.76868,542.9759,1.5,-7.5985,-0.33333334,-3.8781142,34274,4.6929016,16
-3.7374785,-43.217064,0.14999999,1.8605837e-06,121.76868,48.217064,446.2594,1.61184e-20,-121.76868,,17.846197,13.333333,98.904526,110,62,568.9193548387096,20.04529643058777,96.12294,0.9966285,15.491418,62,-2679.458,,-3.9285688,121.76868,542.3823,1.5,-3.551028,-0.33333334,-3.8838944,35273,3.178311e-21,16
-3.753479,-43.9465,0.14999999,1.8019862e-06,121.76868,48.9465,542.743,1.5536147e-26,-121.76868,,29.666683,,98.904526,110,63,564.5873015873016,20.267154455184937,-6.1320314,0.7356021,-0.71409935,63,-2768.6294,,-4.412194,121.76868,536.61096,1.5,94.17148,0.33333334,-3.893856,35569,0.36201283,16
-3.7634974,-43.09838,0.14999999,1.7461142e-06,121.76868,48.09838,547.8862,2.0617419e-18,-121.76868,,31.858673,,98.904526,110,64,571.375,20.79445767402649,-14.562125,0.994107,-2.28331,64,-2758.2964,,-3.7482386,121.76868,533.3241,1.5,-5.3327627,-1.0,-3.8972583,36568,1.4910636e-07,16
-3.7790017,-42.152103,0.14999999,1.1068314e-06,121.76868,47.152103,7019.7666,2.7263902e-09,-121.76868,,7.051443,5.0,98.904526,110,65,577.9538461538461,21.316882610321045,12.009592,0.32051805,3.864389,65,-2739.8867,,-4.6564493,121.76868,7031.7764,1.5,-13.409738,,-3.9117877,37567,0.001912539,25
-3.7942398,-42.91616,0.14999999,1.073545e-06,121.76868,47.91616,7027.662,2.0550896e-08,-121.76868,,5.441202,10.0,98.904526,110,66,580.2121212121212,22.803181648254395,10.908912,0.1826154,11.091311,66,-2832.4666,,-4.6263595,121.76868,7038.571,1.5,97.57973,0.5,-3.932947,38294,2.0954754e-15,25
-3.8092775,-41.95487,0.14999999,1.0417382e-06,121.76868,46.95487,6510.125,2.8474576e-08,-121.76868,,142.51808,10.0,98.904526,110,67,586.4626865671642,23.336347103118896,227.86601,2.3846848,10.383591,67,-2810.976,,-4.239647,121.76868,6737.991,1.5,-16.49036,-0.5,-3.949676,39293,9.3244124e-14,25
-3.8240926,-42.695213,0.14999999,1.011324e-06,121.76868,47.695213,6517.106,0.06737356,-121.76868,,56.290253,15.0,98.904526,110,68,582.7794117647059,23.597368955612183,168.3551,1.7580007,17.085012,68,-2903.2744,,-4.0106726,121.76868,6685.461,1.5,97.297966,,-3.944773,39629,1.0212051e-25,25
-3.8386915,-43.410835,0.14999999,9.822227e-07,121.76868,48.410835,1570.3163,4.06937e-15,-121.76868,,58.49393,5.0,98.904526,110,69,576.5942028985507,23.76592779159546,41.331146,1.3192121,8.048976,69,-2995.3477,,-4.472946,121.76868,1611.6475,1.5,97.07349,-0.5,-3.9460378,39785,5.1962546e-05,25
-3.8530793,-44.05699,0.14999999,9.543596e-07,121.76868,49.05699,1571.9629,7.9120364e-13,-121.76868,,24.184752,15.0,98.904526,110,70,578.1571428571428,24.151224374771118,38.716595,0.44875893,14.589269,70,-3083.9895,,-4.242712,121.76868,1610.6794,1.5,93.64191,0.5,-3.9498975,40471,6.138354e-29,25
-3.867264,-44.71509,0.14999999,9.276656e-07,121.76868,49.71509,1573.57,1.0045846e-07,-121.76868,,46.234196,5.0,98.904526,110,71,574.5211267605633,24.401859283447266,-24.968946,0.94691145,4.5935907,71,-3174.7715,,-3.475849,121.76868,1548.601,1.5,95.78204,0.5,-3.9516087,40791,1.2198052e-06,25
-3.8812504,-43.91932,0.14999999,9.020761e-07,121.76868,48.91932,1364.1406,1.2391652e-18,-121.76868,,28.565468,15.0,98.904526,110,72,580.4166666666666,24.94689917564392,97.70381,1.0273715,13.459742,72,-3162.191,,-4.2536116,121.76868,1461.8445,1.5,-7.5804253,-0.5,-3.9587293,41790,2.7675357e-27,25
-3.8950436,-44.512676,0.14999999,8.775309e-07,121.76868,49.512676,1041.6738,7.782798e-34,-121.76868,,45.519104,5.0,98.904526,110,73,575.972602739726,25.176103830337524,-32.521965,0.7735226,5.6254187,73,-3249.4253,,-4.663452,121.76868,1009.15186,1.5,92.23436,1.0,-3.9696355,42046,1.0944797e-14,25
-3.9086492,-43.12152,0.14999999,8.539741e-07,121.76868,48.12152,1042.6765,2.3904694e-09,-121.76868,,48.003296,15.0,98.904526,110,74,581.6891891891892,25.69892954826355,-79.229324,1.0764269,15.075218,74,-3190.9927,,-4.182164,121.76868,963.4472,1.5,-53.4326,1.0,-3.9774475,43045,5.6628807e-37,25
-3.9220724,-41.725166,0.14999999,8.3135325e-07,121.76868,46.725166,790.4107,1.8575843e-17,-121.76868,,50.74839,10.0,98.904526,110,75,587.2533333333333,26.219871282577515,153.35799,1.6089506,9.762451,75,-3129.3875,,-4.3771887,121.76868,943.7687,1.5,-56.605255,-0.5,-3.984176,44044,1.0437789e-13,25
