Iteration,DenMISEMeanLog,IWLastEpisode,TimeElapsed,IWMin,LQGmu1_higher,ReturnMax,Regret/t,ReturnAbsMax,Regret,ReturnLastEpisode,DenMISELogFirst,IWMean,IWMax,ReturnMean,LQGmu1_actor,IWFirstEpisode,Bound,LQGsigma_higher,ReturnStepMax,Delta,DenMISELogLast,TimestepsSoFar,ReturnMin
64,-0.81913173,6.8009354e-07,71.49984931945801,,-0.13131313,17.420668,4.9755125,17.420668,318.4328,17.22167,-0.77107835,0.99747497,5.6882877,12.424487,-0.26775724,4.4381886,56.99119,0.14999999,19.20974,1.484197e-07,-0.69076085,1280,
65,-0.81815875,3.8774054,75.6620523929596,,-0.3939394,17.420668,4.9039793,17.420668,318.75867,17.074135,-0.71953464,0.7873054,5.638778,12.49602,-0.29736704,3.2095523,56.997257,0.14999999,19.20974,1.4388809e-07,-0.73080564,1300,
66,-0.81963253,2.0418133e-08,79.83663034439087,,0.6363636,17.420668,4.835291,17.420668,319.12927,17.029455,-0.68660474,0.9527871,8.366177,12.564709,0.64478165,2.1047028e-07,56.644245,0.14999999,19.20974,1.3956085e-07,-0.6894897,1320,
67,-0.82413983,0.45737666,82.89504814147949,,1.0,17.420668,4.943429,17.420668,331.20972,5.3194537,-0.70164263,1.0206271,14.94088,12.456571,1.0503017,8.0823875e-15,56.540546,0.14999999,19.20974,1.3542595e-07,-1.0435729,1340,
68,-0.8345532,1.2604961e-32,85.89005589485168,,-0.7979798,17.420668,5.1266146,17.420668,348.60974,,-0.7164577,1.1986587,4.33284,12.273385,-0.79533553,0.0052893003,55.975033,0.14999999,19.20974,1.3147212e-07,-1.4849207,1360,
69,-0.82627517,0.0059128427,88.87441992759705,,-0.25252524,17.420668,5.052807,17.420668,348.64368,17.366035,-0.7309787,0.92170525,5.5038857,12.347193,-0.31482774,5.5028067,55.73538,0.14999999,19.20974,1.2768895e-07,-0.43881488,1380,
70,-0.82553023,0.00013905168,91.76519346237183,,0.37373737,17.420668,4.984396,17.420668,348.9077,17.136002,-0.66863716,1.0091255,7.2891393,12.415604,0.61288095,0.0012260951,55.44922,0.14999999,19.20974,1.2406676e-07,-0.6771981,1400,
71,-0.8289925,5.0830954e-13,94.75229716300964,,-0.5555556,17.420668,5.079196,17.420668,360.623,5.6847353,-0.6828043,0.89112693,5.054768,12.320804,-0.6606859,0.57007396,54.927197,0.14999999,19.20974,1.2059652e-07,-1.0528901,1420,
72,-0.8259265,0.3356294,97.78642702102661,,-1.0,17.420668,5.0088997,17.420668,360.64075,17.38215,-0.68879336,0.822592,8.854256,12.3911,-0.63770676,1.3768769e-05,54.860703,0.14999999,19.20974,1.1726989e-07,-0.48860607,1440,
73,-0.8243748,4.1236935,100.792551279068,,-0.6969697,17.420668,4.940422,17.420668,360.65082,17.38997,-0.70258653,1.2100642,4.2764287,12.459578,-0.9035451,0.05107517,55.27501,0.14999999,19.20974,1.1407902e-07,-0.5166144,1460,
74,-0.81795996,1.1217524e-28,103.78306365013123,,0.8181818,17.420668,4.8753204,17.420668,360.77368,17.277184,-0.7154927,0.9539457,8.9249325,12.524679,0.9226336,8.783915e-11,54.50124,0.14999999,19.20974,1.1101664e-07,-0.53863776,1480,
