DenMISEMeanLog,ReturnMax,Regret/t,ReturnMin,Bound,LQGmu1_actor,TimeElapsed,IWMin,TimestepsSoFar,ReturnLastEpisode,IWMax,ReturnMean,LQGsigma_higher,IWLastEpisode,LQGmu1_higher,Regret,ReturnAbsMax,ReturnStepMax,IWFirstEpisode,DenMISELogFirst,IWMean,Iteration,DenMISELogLast,Delta
-0.8203299,17.409286,4.2942095,,61.864597,0.55162287,47.812016010284424,,1060,17.08178,7.89949,13.10579,0.14999999,3.975616e-05,0.47474748,227.59308,17.409286,19.197643,0.00032059132,-0.59353644,0.9724853,53,-0.57270855,2.1642118e-07
-0.8246751,17.409286,4.419609,,61.54924,0.7053853,48.799864768981934,,1080,6.3342185,8.441751,12.980391,0.14999999,1.8568743,0.7979798,238.65887,17.409286,19.197643,2.5199602e-09,-0.61222255,1.0814211,54,-0.9894181,2.0847979e-07
-0.82738703,17.409286,4.572444,,61.249275,-0.9299312,50.04174590110779,,1100,4.574465,7.35623,12.827556,0.14999999,6.2214085e-28,-1.0,251.48444,17.409286,19.197643,1.8128927e-06,-0.63057166,1.1527948,55,-1.0071912,2.0096763e-07
-0.81994957,17.409286,4.493266,,60.830875,0.45258236,51.55919313430786,,1120,17.26156,7.618751,12.9067335,0.14999999,3.2103365e-12,0.1919192,251.62286,17.409286,19.197643,0.22344169,-0.64859015,0.73710144,56,-0.52491534,1.9385428e-07
-0.82785016,17.409286,4.5926867,,60.467754,-0.61552984,54.911030530929565,,1140,7.23974,5.4738727,12.807313,0.14999999,8.152989e-08,-0.45454547,261.78314,17.409286,19.197643,1.0031424,-0.6623076,0.8489843,57,-0.9857653,1.8711206e-07
-0.8276159,17.409286,4.513584,,60.478775,0.85676056,57.024003982543945,,1160,17.395205,11.718782,12.8864155,0.14999999,3.3030232e-25,1.0,261.78784,17.409286,19.197643,1.5981586e-13,-0.66225344,0.7674737,58,-0.6506176,1.8071556e-07
-0.8365578,17.409286,4.690956,,60.03075,-0.84179974,58.612653732299805,,1180,2.4214857,5.003887,12.7090435,0.14999999,3.9469065e-23,-0.6969697,276.76642,17.409286,19.197643,0.014839842,-0.6793479,1.0476896,59,-1.0814648,1.7464151e-07
-0.8308866,17.409286,4.614044,,59.479355,-0.9238705,60.44440531730652,,1200,17.323788,4.5340896,12.785955,0.14999999,4.346282,-0.8787879,276.84265,17.409286,19.197643,0.00011381216,-0.69590354,1.2152538,60,-0.521542,1.6886865e-07
-0.8225191,17.409286,4.5407305,,59.106037,0.17734228,62.19953536987305,,1220,17.258085,5.4165554,12.859269,0.14999999,2.9840889e-05,-0.1919192,276.98462,17.409286,19.197643,5.4134426,-0.7124309,1.0970553,61,-0.50780416,1.6337734e-07
-0.8245398,17.409286,4.6059065,,58.143528,-0.6739565,64.45618104934692,,1240,8.818309,7.1260514,12.794093,0.14999999,3.0777299e-13,-1.0,285.56616,17.409286,19.197643,1.8367867e-06,-0.6436658,1.1498967,62,-1.015404,1.581496e-07
-0.8188984,17.409286,4.5329714,,58.189274,0.82758963,67.88427448272705,,1260,17.38904,7.996007,12.867028,0.14999999,1.231867e-14,0.5555556,285.57715,17.409286,19.197643,2.7897413e-05,-0.6596661,1.1879615,63,-0.5874934,1.5316883e-07
-0.82149136,17.409286,4.6891937,,57.83014,-0.56491035,71.2369499206543,,1280,2.8688343,4.9816613,12.710806,0.14999999,4.531651e-21,-0.65656567,300.1084,17.409286,19.197643,0.035868898,-0.675414,1.0182514,64,-1.1278839,1.484197e-07
-0.81870246,17.409286,4.616932,,57.24408,0.15882924,73.46095108985901,,1300,17.407839,6.851223,12.783068,0.14999999,0.0019172762,0.030303031,300.1006,17.409286,19.197643,1.9280101,-0.6903579,0.791727,65,-0.6378365,1.4388809e-07
-0.8246873,17.409286,4.6761446,,57.420486,0.32684183,75.61464929580688,,1320,8.874972,7.5487885,12.723855,0.14999999,4.790004,0.2929293,308.6256,17.409286,19.197643,0.034008775,-0.6763951,0.90380305,66,-0.98796815,1.3956085e-07
-0.8286652,17.409286,4.7446795,,57.076206,-0.07533714,77.85672378540039,,1340,8.132043,5.4566593,12.65532,0.14999999,8.976452e-06,-0.45454547,317.8935,17.409286,19.197643,1.0322571,-0.69091785,0.8456888,67,-0.9690501,1.3542595e-07
-0.8303418,17.409286,4.7071915,,56.09977,-0.5299766,79.96777963638306,,1360,15.204507,4.409699,12.692808,0.14999999,2.734995e-05,-0.8181818,320.089,17.409286,19.197643,0.0006795046,-0.6904436,1.1338793,68,-0.77765065,1.3147212e-07
-0.82596356,17.409286,4.6394463,,55.99324,1.0138968,81.98820352554321,,1380,17.367188,8.29181,12.760553,0.14999999,5.067618e-16,0.75757575,320.12183,17.409286,19.197643,1.5526425e-08,-0.7050324,1.2157902,69,-0.6431323,1.2768895e-07
-0.83256954,17.409286,4.82174,,55.955444,0.111261696,84.06318235397339,,1400,,5.487602,12.578259,0.14999999,8.9295026e-13,-0.15151516,337.52185,17.409286,19.197643,5.341086,-0.71942115,1.0273108,70,-1.4594647,1.2406676e-07
-0.83414316,17.409286,4.8722515,,55.367874,-0.67658865,86.13631558418274,,1420,8.991945,5.079665,12.527748,0.14999999,0.00019129128,-0.57575756,345.92993,17.409286,19.197643,0.16731009,-0.66007537,0.93861026,71,-0.9488959,1.2059652e-07
-0.8309762,17.409286,4.804489,,55.192024,0.059766106,88.18638134002686,,1440,17.40668,7.1710496,12.5955105,0.14999999,1.0865097e-06,0.15151516,345.92316,17.409286,19.197643,0.43243518,-0.6717079,0.94376236,72,-0.52830106,1.1726989e-07
-0.8324511,17.409286,4.8527546,,54.84416,0.8862108,90.26024270057678,,1460,9.072131,11.885494,12.547245,0.14999999,1.8424375e-08,1.0,354.25104,17.409286,19.197643,1.6259815e-13,-0.67951316,0.91585153,73,-0.85755736,1.1407902e-07
-0.83827204,17.409286,4.995905,,54.224174,-1.0046294,92.43942093849182,,1480,1.9541355,4.541083,12.404095,0.14999999,1.2806003e-24,-0.7171717,369.69696,17.409286,19.197643,0.009399274,-0.6931188,1.0687169,74,-1.1367888,1.1101664e-07
-0.83622164,17.409286,4.9319944,,55.037895,-0.92874414,94.55938673019409,,1500,17.197369,7.6587067,12.468005,0.14999999,5.5537314,-1.0,369.8996,17.409286,19.197643,1.9557378e-06,-0.7064148,1.0745841,75,-0.7367648,1.0807592e-07
-0.831485,17.409286,4.8689423,,54.252277,0.39884165,96.69124269485474,,1520,17.259977,7.8105803,12.531057,0.14999999,1.7730673e-17,0.41414142,370.03967,17.409286,19.197643,0.0019717098,-0.71966004,0.9751067,76,-0.52484596,1.0525054e-07
-0.8341883,17.409286,4.93225,,54.037846,-0.34168524,98.77076077461243,,1540,7.6563334,5.4704823,12.46775,0.14999999,4.791915e-05,-0.33333334,379.7832,17.409286,19.197643,3.351316,-0.7327062,0.8898779,77,-0.98871803,1.02534514e-07
-0.8336427,17.409286,4.871147,,53.63689,-0.065908216,100.74071288108826,,1560,17.233763,6.244794,12.528852,0.14999999,0.60063106,-0.030303031,379.94946,17.409286,19.197643,3.1974218,-0.7030065,0.9409993,78,-0.6666858,9.9922275e-08
-0.83355546,17.409286,4.844141,,53.42446,-1.1414589,102.76061511039734,,1580,14.662375,7.3197107,12.555859,0.14999999,2.1373058e-08,-1.0,382.68713,17.409286,19.197643,1.8963347e-06,-0.6755709,1.0634049,79,-0.75018615,9.74086e-08
-0.83920276,17.409286,4.7860985,,52.62585,-0.45378673,104.80873942375183,,1600,17.199236,5.2093697,12.613901,0.14999999,5.209552e-07,-0.27272728,382.88794,17.409286,19.197643,4.427488,-0.68814963,0.9721915,80,-1.3252107,9.49886e-08
-0.8376801,17.409286,4.727442,,53.086124,-0.48151064,106.91101694107056,,1620,17.365114,5.1132684,12.672558,0.14999999,4.781588,-0.5151515,382.92285,17.409286,19.197643,0.4381273,-0.64670575,0.8915085,81,-0.670272,9.265769e-08
-0.83651155,17.409286,4.6701174,,52.466496,-0.7221805,109.25408720970154,,1640,17.373163,6.953383,12.729882,0.14999999,0.01259811,-1.0,382.9496,17.409286,19.197643,1.8550916e-06,-0.65358144,1.0824604,82,-0.6216378,9.041153e-08
-0.8321625,17.409286,4.6142864,,52.477333,-0.72497,111.32813739776611,,1660,17.363888,4.699011,12.785713,0.14999999,4.1256485,-0.65656567,382.98572,17.409286,19.197643,0.035522252,-0.6657028,1.0281065,83,-0.53471524,8.8246054e-08
-0.8280204,17.409286,4.5596695,,52.334087,0.48621452,113.63541841506958,,1680,17.37356,8.542919,12.84033,0.14999999,5.6923476e-18,0.6363636,383.0122,17.409286,19.197643,1.730031e-06,-0.6772511,1.0759541,84,-0.49728197,8.6157456e-08
-0.830191,17.409286,4.6289406,,52.135063,-0.8615568,115.8809552192688,,1700,6.9522715,4.3317704,12.771059,0.14999999,2.910732e-16,-0.8181818,393.45996,17.409286,19.197643,0.00067858247,-0.68908554,1.0989019,85,-1.0588597,8.4142165e-08
-0.8248218,17.409286,4.5761614,,52.0625,0.4216376,118.40191340446472,,1720,17.309937,7.336247,12.823838,0.14999999,1.602451e-12,0.27272728,393.54993,17.409286,19.197643,0.05294966,-0.7007736,0.9679473,86,-0.45345843,8.219674e-08
-0.8277954,17.409286,4.637516,,51.5804,-0.27616566,119.90320038795471,,1740,7.486044,5.14855,12.762484,0.14999999,6.316852e-07,-0.43434343,403.46387,17.409286,19.197643,1.3326886,-0.7117189,0.8804153,87,-1.0292447,8.031802e-08
-0.82728904,17.409286,4.587265,,51.531254,-0.06326671,121.37190794944763,,1760,17.18457,6.04344,12.812735,0.14999999,2.0013115,-0.07070707,403.67932,17.409286,19.197643,4.077138,-0.70794547,0.94692636,88,-0.65369326,7.850298e-08
-0.8274043,17.409286,4.5678797,,51.095932,-0.698679,123.52407932281494,,1780,14.538041,4.311472,12.83212,0.14999999,9.126979e-06,-0.83838385,406.54126,17.409286,19.197643,0.00037449872,-0.67395514,1.1052046,89,-0.7688015,7.674878e-08
-0.82270235,17.409286,4.517212,,51.04595,0.33428863,125.53130888938904,,1800,17.392225,7.776807,12.882788,0.14999999,6.379388e-13,0.45454547,406.54907,17.409286,19.197643,0.00062850735,-0.6851243,1.0918629,90,-0.49521494,7.505273e-08
-0.82379544,17.409286,4.569911,,50.9628,1.2695777,127.14624547958374,,1820,8.087218,12.664323,12.830089,0.14999999,0.00037650054,1.0,415.86194,17.409286,19.197643,1.6532858e-13,-0.6961671,0.8793857,91,-0.9854901,7.3412274e-08
-0.8525714,17.409286,4.7093687,,50.78543,-0.20243159,129.0658848285675,,1840,,5.2545223,12.690631,0.14999999,3.2019073e-21,-0.25252524,433.26184,17.409286,19.197643,4.846127,-0.70709616,0.9919163,92,-3.3156614,7.182504e-08
-0.85070425,17.409286,4.666692,,50.53679,-0.734328,131.01144981384277,,1860,16.659529,4.6463737,12.733308,0.14999999,0.052342273,-0.65656567,434.00232,17.409286,19.197643,0.035553154,-0.6665723,1.0231918,93,-0.6549294,7.028872e-08
-0.8466299,17.409286,4.6173162,,50.550636,0.08875758,132.97171878814697,,1880,17.374584,7.008151,12.782683,0.14999999,1.1475709e-06,0.09090909,434.0277,17.409286,19.197643,0.98664933,-0.67688537,0.9079502,94,-0.47765103,6.880116e-08
-0.84834015,17.409286,4.656787,,50.03724,-0.7002072,134.98150753974915,,1900,9.0329275,4.2799015,12.743213,0.14999999,7.546426e-08,-0.8181818,442.39478,17.409286,19.197643,0.00067044806,-0.6770259,1.1075741,95,-0.90085757,6.736033e-08
-0.8435132,17.409286,4.608492,,49.932426,0.5494801,137.28321743011475,,1920,17.379618,9.199434,12.791508,0.14999999,9.349842e-22,0.7979798,442.41516,17.409286,19.197643,2.7169529e-09,-0.6874901,1.0647784,96,-0.47950628,6.5964315e-08
-0.8456581,17.409286,4.67484,,49.780724,-0.09874207,139.23785138130188,,1940,6.3557,5.4996595,12.72516,0.14999999,0.00026488985,-0.13131313,453.45947,17.409286,19.197643,5.0350795,-0.6978529,1.0077444,97,-1.0851666,6.461123e-08
-0.8443786,17.409286,4.6446486,,49.54211,-0.68854743,141.0940752029419,,1960,15.683927,4.62931,12.755351,0.14999999,0.00880911,-0.6363636,455.17554,17.409286,19.197643,0.053409982,-0.6575037,1.0213791,98,-0.71289325,6.329935e-08
-0.840571,17.409286,4.5977707,,49.08442,0.3532028,143.4135823249817,,1980,17.396185,7.585483,12.802229,0.14999999,5.5084732e-11,0.37373737,455.17932,17.409286,19.197643,0.005272832,-0.6671112,1.082706,99,-0.47631758,6.2027055e-08
-0.8414682,17.409286,4.646106,,49.063618,-0.33817053,145.43015813827515,,2000,7.9688277,5.0859814,12.753894,0.14999999,5.6773406e-05,-0.37373737,464.6106,17.409286,19.197643,2.3342829,-0.67710835,0.8705554,100,-0.9885343,6.079271e-08
-0.8407599,17.409286,4.6017103,,49.01538,-1.0192089,147.56092476844788,,2020,17.237684,7.727164,12.798289,0.14999999,0.00029627775,-1.0,464.7727,17.409286,19.197643,1.8744902e-06,-0.6639841,0.97957873,101,-0.6313447,5.9594853e-08
-0.84014785,17.409286,4.558545,,48.792854,-0.8830013,149.6505081653595,,2040,17.201353,4.101202,12.8414545,0.14999999,1.527553,-0.7777778,464.97156,17.409286,19.197643,0.002016082,-0.67383635,1.101211,102,-0.74079645,5.8432047e-08
