IWMean,ReturnMean,IWFirstEpisode,Regret,TimeElapsed,IWLastEpisode,IWMin,Delta,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,DenMISEMeanLog,Iteration,Regret/t,DenMISELogLast,ReturnStepMax,LQGsigma_higher,Bound,ReturnAbsMax,ReturnLastEpisode,DenMISELogFirst,ReturnMax,ReturnMin,IWMax
1.1952266,12.505015,5.9957533,225.16925,46.812387466430664,3.2285538,,2.8730017e-07,-0.21607406,920,0.07070707,-0.82191896,46,4.8949842,-0.7163615,19.194098,0.14999999,64.99333,17.406137,15.221217,-0.8330511,17.406137,,6.2712226
1.0532053,12.596816,4.2222774e-07,225.74963,47.34215974807739,0.0015401156,,2.7520463e-07,-0.76624095,940,-0.8181818,-0.8141338,47,4.8031836,-0.60222787,19.194098,0.14999999,64.370674,17.406137,16.819613,-0.73203665,17.406137,,5.087132
0.6924762,12.696439,0.08562198,225.77087,48.342883348464966,6.29457e-15,,2.6385726e-07,0.61471003,960,0.47474748,-0.8080867,48,4.703561,-0.5461196,19.194098,0.14999999,64.32194,17.406137,17.378736,-0.75309,17.406137,,7.946611
1.1438562,12.552926,2.114104,237.50659,49.9991819858551,7.868819e-06,,2.531974e-07,-0.112653315,980,-0.17171717,-0.81901497,49,4.8470736,-1.0129459,19.194098,0.14999999,63.525307,17.406137,5.6642923,-0.7719271,17.406137,,5.188204
0.81359845,12.613273,7.35745e-09,239.33636,52.55354356765747,5.576529e-12,,2.4317083e-07,0.8818127,1000,1.0,-0.8127893,50,4.786727,-0.6204165,19.194098,0.14999999,63.23107,17.406137,15.57029,-0.7498897,17.406137,,13.05868
0.8276805,12.405659,2.0375436e-10,254.71136,55.22010612487793,5.3275296e-34,,2.3372819e-07,-1.0057282,1020,-1.0,-0.82298064,51,4.994341,-1.1005772,19.194098,0.14999999,62.641224,17.406137,2.0249329,-0.7696923,17.406137,,9.15222
1.0741057,12.497831,0.0001194378,254.91278,57.62812256813049,0.40990883,,2.248251e-07,-0.45406756,1040,-0.65656567,-0.8272476,52,4.9021683,-0.83920944,19.194098,0.14999999,62.429527,17.406137,17.198606,-0.78911036,17.406137,,4.995389
1.0383431,12.588942,0.03972572,254.98602,59.283122062683105,5.0231977,,2.1642118e-07,-0.527239,1060,-0.43434343,-0.82289815,53,4.811058,-0.6445306,19.194098,0.14999999,62.863106,17.406137,17.326723,-0.80815625,17.406137,,5.063472
1.3193184,12.678058,1.766573e-05,254.98486,62.187180519104004,5.2680996e-17,,2.0847979e-07,0.72117555,1080,0.7979798,-0.8178585,54,4.721942,-0.56631285,19.194098,0.14999999,61.145893,17.406137,17.401192,-0.82609916,17.406137,,8.333421
1.1388866,12.526991,4.699487,268.0155,64.89077544212341,6.562179e-06,,2.0096763e-07,-0.42924327,1100,-0.07070707,-0.81697977,55,4.8730087,-1.0227005,19.194098,0.14999999,60.770584,17.406137,4.369376,-0.844448,17.406137,,5.512168
1.1100408,12.613283,0.015882527,268.0561,67.78127336502075,4.649372,,1.9385428e-07,-0.4318736,1120,-0.47474748,-0.8112331,56,4.7867165,-0.6045648,19.194098,0.14999999,61.621094,17.406137,17.359407,-0.7804762,17.406137,,4.8536077
1.138155,12.696043,0.264292,268.12555,70.65134811401367,3.6864696,,1.8711206e-07,-0.45902908,1140,-0.33333334,-0.8050008,57,4.7039566,-0.5422696,19.194098,0.14999999,59.87062,17.406137,17.330584,-0.7978922,17.406137,,4.64648
0.83925295,12.775759,2.122747e-10,268.20593,73.52554154396057,0.006590493,,1.8071556e-07,-1.2137511,1160,-1.0,-0.79781795,58,4.624241,-0.5030152,19.194098,0.14999999,59.628506,17.406137,17.319572,-0.810658,17.406137,,8.817318
1.1058153,12.850753,0.0013130073,268.40558,76.39063882827759,0.0025978065,,1.7464151e-07,-0.46017426,1180,-0.57575756,-0.8233647,59,4.549247,-2.113969,19.194098,0.14999999,59.447014,17.406137,17.200356,-0.8277524,17.406137,,4.6244845
0.62197113,12.92583,0.92133015,268.4502,79.28855061531067,3.6097372e-06,,1.6886865e-07,0.10680908,1200,0.33333334,-0.81625074,60,4.4741697,-0.48226374,19.194098,0.14999999,59.201225,17.406137,17.355383,-0.84453726,17.406137,,6.4605036
1.005679,12.861485,0.0065350938,276.8495,82.18581056594849,0.03250696,,1.6337734e-07,0.39971572,1220,0.5959596,-0.82423705,61,4.538515,-0.9125904,19.194098,0.14999999,58.771774,17.406137,9.000786,-0.84582776,17.406137,,8.208258
