ReturnMax,DenMISELogLast,IWMax,ReturnAbsMax,IWMean,IWLastEpisode,DenMISELogFirst,ReturnMean,Regret,LQGsigma_higher,TimestepsSoFar,Iteration,DenMISEMeanLog,Bound,LQGmu1_actor,ReturnMin,IWFirstEpisode,LQGmu1_higher,ReturnStepMax,TimeElapsed,Delta,Regret/t,ReturnLastEpisode,IWMin
17.398935,-0.9466089,8.864179,17.398935,0.84520334,1.8680393e-15,-0.7191906,12.495801,328.58124,0.14999999,1340,67,-0.87007546,56.50856,-0.89748454,,1.644895e-08,-1.0,19.1871,74.9385175704956,1.3542595e-07,4.9041986,8.441233,
17.398935,-0.6465788,4.703985,17.398935,1.1012846,0.018135995,-0.7340057,12.566212,328.69757,0.14999999,1360,68,-0.86944336,56.513725,-0.35888976,,0.4674116,-0.3939394,19.1871,76.75536942481995,1.3147212e-07,4.833788,17.28367,
17.398935,-0.52657634,4.9159245,17.398935,1.0007291,0.04146099,-0.7417543,12.634573,328.81445,0.14999999,1380,69,-0.8633059,55.79609,-0.7846036,,1.6014148e-05,-0.8181818,19.1871,78.81433415412903,1.2768895e-07,4.7654266,17.283161,
17.398935,-0.5482903,5.109865,17.398935,1.0788884,0.0018740828,-0.7561428,12.7019825,328.8612,0.14999999,1400,70,-0.85906863,55.531113,-0.34732848,,3.8563685,-0.1919192,19.1871,81.71174597740173,1.2406676e-07,4.698017,17.353233,
17.398935,-0.5210853,16.676834,17.398935,1.0662092,1.3543799e-17,-0.71670043,12.766022,329.0125,0.14999999,1420,71,-0.85345346,55.458794,0.95320445,,7.669889e-11,1.0,19.1871,84.56776332855225,1.2059652e-07,4.633978,17.248772,
17.398935,-1.2252631,7.1312895,17.398935,1.0693599,4.5349992e-05,-0.7306867,12.600274,345.5802,0.14999999,1440,72,-0.8586344,55.482834,0.22364786,,1.0606853,0.21212122,19.1871,87.43725061416626,1.1726989e-07,4.7997255,0.83217686,
17.398935,-0.9090245,4.6057997,17.398935,1.1239969,0.00078310515,-0.7298557,12.546151,354.33093,0.14999999,1460,73,-0.85881287,55.294075,-0.2549171,,0.3418882,-0.41414142,19.1871,90.2909803390503,1.1407902e-07,4.8538485,8.649253,
17.398935,-0.5543655,5.9420156,17.398935,1.1053711,0.9721723,-0.7387889,12.604936,354.83472,0.14999999,1480,74,-0.8532881,54.279804,-0.05645701,,4.9859886,0.01010101,19.1871,93.16119718551636,1.1101664e-07,4.795064,16.896275,
17.398935,-0.6896803,4.980628,17.398935,1.0064111,1.3322946e-05,-0.68700653,12.62368,358.224,0.14999999,1500,75,-0.85001034,54.283653,-1.077403,,1.516098e-05,-0.8181818,19.1871,96.00043416023254,1.0807592e-07,4.7763195,14.010726,
17.398935,-1.1708835,8.686863,17.398935,0.8893402,7.507683,-0.7002516,12.683892,358.4242,0.14999999,1520,76,-0.8543931,54.318455,-1.0204319,,1.614034e-08,-1.0,19.1871,98.867844581604,1.0525054e-07,4.7161074,17.199852,
17.398935,-0.8485512,4.722927,17.398935,1.1283401,2.4994013e-05,-0.71332365,12.742571,358.62195,0.14999999,1540,77,-0.85606116,54.12464,-0.23322745,,1.9923565,-0.27272728,19.1871,101.74030804634094,1.02534514e-07,4.6574287,17.202171,
17.398935,-0.54833806,8.692239,17.398935,0.88116956,2.3173445e-07,-0.7006814,12.797368,359.00525,0.14999999,1560,78,-0.8506996,54.127968,0.39189613,,0.00011072727,0.6363636,19.1871,104.56996440887451,9.9922275e-08,4.6026316,17.016788,
17.398935,-1.0854667,7.2967925,17.398935,0.91242874,7.2967925,-0.713419,12.732924,368.6989,0.14999999,1580,79,-0.85553414,52.99894,0.4351447,,0.17329136,0.33333334,19.1871,107.4435076713562,9.74086e-08,4.667075,7.706337,
17.398935,-1.0401002,4.90463,17.398935,1.1106594,0.0012069009,-0.7238066,12.666021,378.71826,0.14999999,1600,80,-0.8592123,52.96823,-0.18323682,,3.7336633,-0.1919192,19.1871,110.32108998298645,9.49886e-08,4.7339783,7.3806787,
17.398935,-0.56575966,8.308678,17.398935,0.9104671,1.7073809e-06,-0.6906147,12.7148285,379.4989,0.14999999,1620,81,-0.8544276,52.975197,-0.7154655,,1.598556e-08,-1.0,19.1871,113.20458507537842,9.265769e-08,4.685171,16.619375,
17.398935,-0.619427,4.9964595,17.398935,0.967275,4.2997704,-0.7028848,12.7713175,379.55188,0.14999999,1640,82,-0.8529298,53.59266,-0.9646299,,0.003373719,-0.6363636,19.1871,116.07441258430481,9.041153e-08,4.628682,17.346859,
