Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
44,3.140119e-07,17.400105,,0.49568334,17.400105,65.82992,5.0970707,-0.7414277,0.14999999,12.302929,,224.27112,7.4373994,1.0406035,19.188356,-0.68271106,-0.8923366,17.217794,29.961178064346313,6.4433425e-06,0.47474748,1.4956123e-20,880
45,3.0021093e-07,17.400105,,-0.5036494,17.400105,65.732864,5.2178574,-0.8956205,0.14999999,12.182142,,234.80359,4.9849133,1.13599,19.188356,-0.70518374,-0.8924545,6.867622,30.711485862731934,3.7746482,-0.43434343,2.9252368e-08,900
46,2.8730017e-07,17.400105,,-0.7860671,17.400105,65.09162,5.10538,-0.5361096,0.14999999,12.29462,,234.84747,5.1156716,1.0306618,19.188356,-0.6466145,-0.8824664,17.356066,31.78579592704773,0.12285403,-0.7171717,1.6506023,920
47,2.7520463e-07,17.400105,,-0.16934015,17.400105,64.165146,4.9976234,-0.60454625,0.14999999,12.402376,,234.8883,5.771206,0.8826115,19.188356,-0.6654535,-0.8765162,17.359169,32.39121198654175,4.2190237,-0.21212122,0.0032225535,940
48,2.6385726e-07,17.400105,,-1.1257643,17.400105,63.112343,4.9086905,-0.7214713,0.14999999,12.491309,,235.61713,7.5768576,0.9966323,19.188356,-0.6005435,-0.87615424,16.671122,33.16967225074768,0.00011569907,-1.0,1.1995203e-06,960
49,2.531974e-07,17.400105,,0.996517,17.400105,63.0494,4.8125534,-1.2451862,0.14999999,12.587446,,235.81512,14.857357,0.75934196,19.188356,-0.6211604,-0.88469744,17.202034,33.919920444488525,1.5294951e-16,1.0,,980
50,2.4317083e-07,17.400105,,-0.7245877,17.400105,62.472717,5.063037,-1.23675,0.14999999,12.336963,,253.15186,4.7238874,1.1087584,19.188356,-0.6413631,-0.8977789,0.063312516,34.49736952781677,1.025969,-0.57575756,1.2712558e-23,1000
51,2.3372819e-07,17.400105,,-0.8072898,17.400105,62.33641,4.9641237,-0.57558185,0.14999999,12.435876,,253.17029,4.7968802,0.9521219,19.188356,-0.640854,-0.8898466,17.381529,35.11834120750427,0.015507538,-0.8181818,3.8926868,1020
52,2.248251e-07,17.400105,,-0.023493595,17.400105,62.00031,4.8697767,-0.5496456,0.14999999,12.530223,,253.2284,6.777243,0.9734679,19.188356,-0.6599681,-0.8846128,17.34191,35.68394231796265,0.71666116,-0.01010101,3.390216e-06,1040
53,2.1642118e-07,17.400105,,0.15027653,17.400105,61.34309,4.859021,-0.82108796,0.14999999,12.540978,,257.52808,7.441255,0.8467164,19.188356,-0.66532844,-0.8845988,13.10025,36.20961928367615,0.001695611,0.2929293,0.65331477,1060
