ReturnMin,InvPendulum_mu0_higher,Iteration,NumTrajectories,ReturnLastEpisode,InvPendulum_mu3_higher,BoundMISE,ReturnAbsMax,ReturnMean,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu2_higher,InvPendulum_std3_higher,TimeElapsed,DenMISEMeanLog,ActionIn1,Bound,InvPendulum_mu1_higher,IWMean,GridSize,AvgEpLen,TimestepsSoFar,BoundBonus,IWFirstEpisode,Regret/t,Regret,InvPendulum_std2_higher,IWLastEpisode,InvPendulum_std0_higher,DenMISELogFirst,NumTrainableParams,IWMax,Delta,IWMin,MinEpLen,ReturnMax
-290.9842,,44,44,-110.85959,0.2,-5.7772626e-10,290.9842,-121.52308,0.03,4.5980906,-0.2,0.03,14.787385940551758,5.1568856,-0.024821475,inf,,5.0334767e-12,81,45.40909090909091,1998,inf,,126.52308,5567.0156,0.03,4.174195e-36,0.03,5.6023154,,1.9347784e-10,7.658827e-07,,13,-100.93208
-290.9842,,45,45,-106.716545,,-1.5950025e-10,290.9842,-121.19405,0.03,4.0745664,,0.03,15.247856140136719,5.1108603,0.04379097,inf,,1.4816785e-12,81,44.68888888888889,2011,inf,,126.19405,5678.7324,0.03,5.658378e-11,0.03,5.5798426,,5.658378e-11,7.3222174e-07,,13,-100.93208
-311.42258,,46,46,-311.42258,-0.2,-3.398351e-12,311.42258,-125.32946,0.03,5.673453,0.2,0.03,16.02547335624695,5.1015897,0.031328157,inf,,3.066148e-14,81,48.54347826086956,2233,inf,,130.32947,5995.1553,0.03,4.1936964e-22,0.03,5.5578637,,1.1687879e-12,7.0073213e-07,,13,-100.93208
-311.42258,,47,47,-109.42047,0.2,-2.1462642e-11,311.42258,-124.99096,0.03,5.770469,0.2,0.03,16.501157522201538,5.094773,0.48148116,inf,,1.4102261e-13,81,48.42553191489362,2276,inf,,129.99097,6109.575,0.03,1.0450222e-35,0.03,5.5363574,,4.649652e-12,6.7123085e-07,,13,-100.93208
-311.42258,0.2,48,48,-115.34425,,-5.8456623e-10,311.42258,-124.79,0.03,3.4893203,-0.2,0.03,16.95700478553772,5.040711,0.023905363,inf,,5.4774345e-12,81,47.8125,2295,inf,,129.79001,6229.92,0.03,,0.03,5.515304,,2.6279806e-10,6.435543e-07,,13,-100.93208
-311.42258,0.2,49,49,-114.091484,-0.2,-5.018735e-10,311.42258,-124.571655,0.03,4.7174993,,0.03,17.496323108673096,5.013916,-0.011786953,inf,,4.7422014e-12,81,47.204081632653065,2313,inf,,129.57166,6349.011,0.03,4.4402974e-25,0.03,5.4946847,,2.3229302e-10,6.175547e-07,,13,-100.93208
-311.42258,0.2,50,50,-104.46512,0.2,-6.920223e-09,311.42258,-124.16953,0.03,5.3396144,,0.03,18.047536373138428,5.0006313,0.32580537,inf,,6.0725154e-11,81,47.24,2362,inf,,129.16953,6458.4766,0.03,,0.03,5.474482,,3.036228e-09,5.930996e-07,,13,-100.93208
-311.42258,0.2,51,51,-124.09068,,-1.7780504e-11,311.42258,-124.16799,0.03,1.676393,0.2,0.03,18.525128602981567,4.916036,0.3347164,inf,,1.4341158e-13,81,46.86274509803921,2390,inf,,129.168,6587.5674,0.03,7.265525e-12,0.03,5.4546795,,7.265525e-12,5.700688e-07,,13,-100.93208
-311.42258,-0.2,52,52,-111.39729,,-1.4701682e-08,311.42258,-123.9224,0.03,4.583403,,0.03,18.980502128601074,4.8905945,0.031053293,inf,0.2,1.3352844e-10,81,46.28846153846154,2407,inf,,128.9224,6703.965,0.03,,0.03,5.4352612,,6.943476e-09,5.483539e-07,,13,-100.93208
-311.42258,,53,53,-119.04757,,-1.1198465e-12,311.42258,-123.83042,0.03,4.4083586,-0.2,0.03,19.481571912765503,4.862807,0.071878284,inf,0.2,1.044814e-14,81,45.867924528301884,2431,inf,,128.83041,6828.012,0.03,7.368418e-24,0.03,5.416213,,5.2929167e-13,5.2785657e-07,,13,-100.93208
