BoundBonus,Bound,InvPendulum_mu3_higher,Regret/t,InvPendulum_std3_higher,AvgEpLen,InvPendulum_std0_higher,MinEpLen,ReturnLastEpisode,TimeElapsed,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_std2_higher,IWMean,InvPendulum_std1_higher,DenMISEMeanLog,ReturnMean,GridSize,ReturnMax,InvPendulum_mu0_higher,Iteration,NumTrainableParams,IWFirstEpisode,InvPendulum_mu2_higher,Regret,ActionIn1,BoundMISE,DenMISELogLast,IWMin,IWMax,ReturnMin,Delta,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,NumTrajectories
inf,inf,-0.2,146.48682,0.01,57.73684210526316,0.01,12,-109.38421,33.178141832351685,4388,,0.01,,0.01,8.587877,-141.48682,81,-93.29875,0.2,76,,,0.2,11132.998,0.21755666,,7.004467,,,-499.03806,2.5670863e-07,,499.03806,9.810699,76
inf,inf,,146.0247,0.01,57.18181818181818,0.01,12,-105.90439,33.68354272842407,4403,,0.01,,0.01,8.588779,-141.0247,81,-93.29875,0.2,77,,,0.2,11243.902,0.414891,,9.650853,,,-499.03806,2.5008418e-07,,499.03806,9.797627,77
inf,inf,0.2,145.67247,0.01,56.67948717948718,0.01,12,-113.549545,34.2094829082489,4421,,0.01,,0.01,8.534332,-140.67247,81,-93.29875,0.2,78,,,0.2,11362.452,0.61190045,,5.335502,,,-499.03806,2.4371286e-07,,499.03806,9.784724,78
inf,inf,,145.57632,0.01,56.48101265822785,0.01,12,-133.07748,34.732032775878906,4462,0.2,0.01,,0.01,8.51348,-140.57632,81,-93.29875,-0.2,79,,,-0.2,11500.529,-0.20445664,,7.8805923,,,-499.03806,2.3758197e-07,,499.03806,9.771985,79
inf,inf,-0.2,145.13773,0.01,55.9625,0.01,12,-105.48886,35.22404146194458,4477,0.2,0.01,,0.01,8.521746,-140.13773,81,-93.29875,-0.2,80,,,,11611.019,-0.19423532,,10.168426,,,-499.03806,2.3167952e-07,,499.03806,9.759406,80
inf,inf,,144.71094,0.01,55.44444444444444,0.01,12,-105.56703,35.730183839797974,4491,0.2,0.01,,0.01,8.485763,-139.71094,81,-93.29875,-0.2,81,,,,11721.586,0.0117382435,,6.60102,,,-499.03806,2.2599437e-07,,499.03806,9.746984,81
inf,inf,0.2,144.70908,0.01,55.52439024390244,0.01,12,-139.55876,36.30717897415161,4553,0.2,0.01,,0.01,8.474371,-139.70908,81,-93.29875,-0.2,82,,,,11866.145,0.23692453,,8.545497,,,-499.03806,2.2051593e-07,,499.03806,9.734714,82
inf,inf,,144.71376,0.01,55.373493975903614,0.01,12,-140.09818,36.82648301124573,4596,0.2,0.01,,0.01,8.45263,-139.71376,81,-93.29875,-0.2,83,,,0.2,12011.242,0.24423696,,7.6638165,,,-499.03806,2.1523427e-07,,499.03806,9.722592,83
inf,inf,-0.2,144.3211,0.01,54.88095238095238,0.01,12,-106.730255,37.314701318740845,4610,0.2,0.01,,0.01,8.387259,-139.3211,81,-93.29875,,84,,,-0.2,12122.973,-0.23889102,,3.9554899,,,-499.03806,2.1014014e-07,,499.03806,9.710616,84
inf,inf,,143.91513,0.01,54.50588235294118,0.01,12,-104.81339,37.837631940841675,4633,0.2,0.01,,0.01,8.370918,-138.91513,81,-93.29875,,85,,,-0.2,12232.786,0.018538319,,7.9923587,,,-499.03806,2.052248e-07,,499.03806,9.698782,85
